date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,16.7800172013,16.9990940041,16.7,16.8605417025,16.8605417025,4916604.0,4916604.0,0.08052,0.48,16.85321,"October 09, 22",0.0048
2022-10-08,16.896458,16.999428,16.634354,16.79,16.79,5965933.0,5965933.0,-0.10646,-0.63,16.80793,"October 08, 22",-0.0063
2022-10-07,17.047054,17.163511,16.71001,16.900602,16.900602,1.5324926E7,1.5324926E7,-0.14645,-0.859,16.92471,"October 07, 22",-0.00859
2022-10-06,17.386694,17.677624,16.992522,17.048243,17.048243,1.9670632E7,1.9670632E7,-0.33845,-1.947,17.23946,"October 06, 22",-0.01947
2022-10-05,17.441679,17.478608,16.945034,17.382954,17.382954,1.9469339E7,1.9469339E7,-0.05873,-0.337,17.26887,"October 05, 22",-0.00337
2022-10-04,17.153975,17.553511,17.07218,17.445437,17.445437,2.1635128E7,2.1635128E7,0.29146,1.699,17.35704,"October 04, 22",0.01699
2022-10-03,16.536158,17.305165,16.337837,17.154283,17.154283,2.3970807E7,2.3970807E7,0.61812,3.738,16.93243,"October 03, 22",0.03738
2022-10-02,16.951006,17.168181,16.473503,16.529743,16.529743,1.7017463E7,1.7017463E7,-0.42126,-2.485,16.72381,"October 02, 22",-0.02485
2022-10-01,17.20101,17.304692,16.879663,16.954557,16.954557,1.1248757E7,1.1248757E7,-0.24645,-1.433,17.0463,"October 01, 22",-0.01433
2022-09-30,17.350874,17.740949,17.017085,17.205592,17.205592,3.5102302E7,3.5102302E7,-0.14528,-0.837,17.32121,"September 30, 22",-0.00837
2022-09-29,17.264026,17.385877,16.878467,17.349557,17.349557,2.2256526E7,2.2256526E7,0.08553,0.495,17.20463,"September 29, 22",0.00495
2022-09-28,17.29908,17.453584,16.731456,17.251183,17.251183,2.7517434E7,2.7517434E7,-0.0479,-0.277,17.14541,"September 28, 22",-0.00277
2022-09-27,17.570308,18.48341,17.044214,17.295665,17.295665,4.5688703E7,4.5688703E7,-0.27464,-1.563,17.60776,"September 27, 22",-0.01563
2022-09-26,17.321102,17.601573,16.975858,17.570284,17.570284,2.35435E7,2.35435E7,0.24918,1.439,17.38257,"September 26, 22",0.01439
2022-09-25,17.604828,17.870562,17.139559,17.321241,17.321241,1.4137943E7,1.4137943E7,-0.28359,-1.611,17.44379,"September 25, 22",-0.01611
2022-09-24,17.970497,18.198689,17.550894,17.600238,17.600238,1.8181374E7,1.8181374E7,-0.37026,-2.06,17.78327,"September 24, 22",-0.0206
2022-09-23,17.686604,18.253986,17.150395,17.970486,17.970486,3.9656531E7,3.9656531E7,0.28388,1.605,17.79162,"September 23, 22",0.01605
2022-09-22,16.539089,17.88846,16.406916,17.69092,17.69092,3.3546956E7,3.3546956E7,1.15183,6.964,17.32877,"September 22, 22",0.06964
2022-09-21,16.651999,17.957384,16.132531,16.543512,16.543512,4.4050277E7,4.4050277E7,-0.10849,-0.652,16.87781,"September 21, 22",-0.00652
2022-09-20,17.28195,17.442331,16.580788,16.656949,16.656949,3.2328588E7,3.2328588E7,-0.625,-3.616,16.89336,"September 20, 22",-0.03616
2022-09-19,16.708811,17.375018,16.38118,17.285293,17.285293,3.2316362E7,3.2316362E7,0.57648,3.45,17.01383,"September 19, 22",0.0345
2022-09-18,18.478277,18.772708,16.40576,16.714077,16.714077,3.8986538E7,3.8986538E7,-1.7642,-9.547,17.29751,"September 18, 22",-0.09547
