date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.12623304,0.12926856,0.12499292,0.12836833,0.12836833,1.5122688E8,1.5122688E8,0.00214,1.695,0.12754,"October 09, 22",0.01695
2022-10-08,0.122305,0.127863,0.121815,0.126116,0.126116,3.0528812E7,3.0528812E7,0.00381,3.115,0.12526,"October 08, 22",0.03115
2022-10-07,0.119539,0.123903,0.116667,0.122255,0.122255,2.4365801E7,2.4365801E7,0.00272,2.275,0.12094,"October 07, 22",0.02275
2022-10-06,0.118924,0.121547,0.118339,0.119547,0.119547,2.1317537E7,2.1317537E7,6.2E-4,0.521,0.11981,"October 06, 22",0.00521
2022-10-05,0.119188,0.120566,0.116867,0.118916,0.118916,2.1611525E7,2.1611525E7,-2.7E-4,-0.227,0.11878,"October 05, 22",-0.00227
2022-10-04,0.116732,0.122183,0.115407,0.119156,0.119156,2.6239461E7,2.6239461E7,0.00242,2.073,0.11892,"October 04, 22",0.02073
2022-10-03,0.118466,0.120469,0.113616,0.11678,0.11678,2.1766167E7,2.1766167E7,-0.00169,-1.427,0.11695,"October 03, 22",-0.01427
2022-10-02,0.121397,0.123096,0.117623,0.11847,0.11847,2.4278352E7,2.4278352E7,-0.00293,-2.414,0.11973,"October 02, 22",-0.02414
2022-10-01,0.114632,0.122424,0.114115,0.121453,0.121453,3.8500068E7,3.8500068E7,0.00682,5.949,0.11933,"October 01, 22",0.05949
2022-09-30,0.115508,0.117377,0.112816,0.114617,0.114617,2.4654689E7,2.4654689E7,-8.9E-4,-0.771,0.11494,"September 30, 22",-0.00771
2022-09-29,0.108173,0.119812,0.106665,0.115454,0.115454,3.2043844E7,3.2043844E7,0.00728,6.73,0.11398,"September 29, 22",0.0673
2022-09-28,0.110157,0.110844,0.106724,0.108205,0.108205,2.0942851E7,2.0942851E7,-0.00195,-1.77,0.10859,"September 28, 22",-0.0177
2022-09-27,0.11377,0.116959,0.109517,0.110165,0.110165,2.3654625E7,2.3654625E7,-0.00361,-3.173,0.11221,"September 27, 22",-0.03173
2022-09-26,0.117305,0.11824,0.112472,0.11376,0.11376,1.9962553E7,1.9962553E7,-0.00355,-3.026,0.11482,"September 26, 22",-0.03026
2022-09-25,0.118034,0.123438,0.115959,0.117338,0.117338,2.2814098E7,2.2814098E7,-7.0E-4,-0.593,0.11891,"September 25, 22",-0.00593
2022-09-24,0.123114,0.127024,0.117595,0.118031,0.118031,2.8455722E7,2.8455722E7,-0.00508,-4.126,0.12088,"September 24, 22",-0.04126
2022-09-23,0.122918,0.133055,0.116783,0.123173,0.123173,6.6642372E7,6.6642372E7,2.5E-4,0.203,0.12434,"September 23, 22",0.00203
