date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,54.428112,55.09292,53.983513,54.704872,54.704872,6.7513416E7,6.7513416E7,0.27676,0.508,54.59377,"October 09, 22",0.00508
2022-10-08,54.7,55.40923,53.995775,54.417356,54.417356,1795319.0,1795319.0,-0.28264,-0.517,54.60745,"October 08, 22",-0.00517
2022-10-07,55.112066,55.691754,54.101726,54.707598,54.707598,2581882.0,2581882.0,-0.40447,-0.734,54.83369,"October 07, 22",-0.00734
2022-10-06,56.626136,57.478524,55.092826,55.188003,55.188003,4479657.0,4479657.0,-1.43813,-2.54,55.91978,"October 06, 22",-0.0254
2022-10-05,56.808099,58.187245,56.127975,56.69565,56.69565,5044237.0,5044237.0,-0.11245,-0.198,57.00362,"October 05, 22",-0.00198
2022-10-04,55.884309,57.281256,55.715489,56.787889,56.787889,3921620.0,3921620.0,0.90358,1.617,56.59488,"October 04, 22",0.01617
2022-10-03,53.594663,56.535211,52.98651,55.887899,55.887899,3068696.0,3068696.0,2.29324,4.279,55.13654,"October 03, 22",0.04279
2022-10-02,55.214569,55.695205,53.500179,53.607051,53.607051,2372312.0,2372312.0,-1.60752,-2.911,54.26748,"October 02, 22",-0.02911
2022-10-01,55.69157,57.300853,55.204756,55.301149,55.301149,3176411.0,3176411.0,-0.39042,-0.701,55.93559,"October 01, 22",-0.00701
2022-09-30,56.711175,57.12074,55.56283,55.632504,55.632504,4137038.0,4137038.0,-1.07867,-1.902,56.10536,"September 30, 22",-0.01902
2022-09-29,55.427429,56.884523,54.511037,56.696132,56.696132,3102223.0,3102223.0,1.2687,2.289,56.03056,"September 29, 22",0.02289
2022-09-28,57.037543,57.404849,53.420005,55.419337,55.419337,5635914.0,5635914.0,-1.61821,-2.837,55.41473,"September 28, 22",-0.02837
2022-09-27,58.938267,61.575076,56.195898,57.029064,57.029064,7212105.0,7212105.0,-1.9092,-3.239,58.26668,"September 27, 22",-0.03239
2022-09-26,56.193605,59.205729,55.097791,58.928272,58.928272,7643464.0,7643464.0,2.73467,4.867,57.74393,"September 26, 22",0.04867
2022-09-25,55.669822,57.175995,55.169952,56.201016,56.201016,2584144.0,2584144.0,0.53119,0.954,56.18232,"September 25, 22",0.00954
2022-09-24,56.019601,58.371006,55.320497,55.687767,55.687767,3276449.0,3276449.0,-0.33183,-0.592,56.45976,"September 24, 22",-0.00592
2022-09-23,56.729948,58.534144,54.384578,56.016335,56.016335,5980288.0,5980288.0,-0.71361,-1.258,56.31169,"September 23, 22",-0.01258
2022-09-22,53.493293,57.096216,53.238724,56.71876,56.71876,3852409.0,3852409.0,3.22547,6.03,55.68457,"September 22, 22",0.0603
2022-09-21,53.498025,57.586627,52.188118,53.515867,53.515867,6705550.0,6705550.0,0.01784,0.033,54.4302,"September 21, 22",3.3E-4
2022-09-20,55.308362,55.901984,53.214475,53.49687,53.49687,2775430.0,2775430.0,-1.81149,-3.275,54.20444,"September 20, 22",-0.03275
2022-09-19,53.317171,55.606917,51.812403,55.2231,55.2231,5730357.0,5730357.0,1.90593,3.575,54.21414,"September 19, 22",0.03575
2022-09-18,58.799837,58.803997,51.918839,53.390835,53.390835,5131112.0,5131112.0,-5.409,-9.199,54.70456,"September 18, 22",-0.09199
2022-09-17,56.714397,58.805477,56.627112,58.702125,58.702125,2641694.0,2641694.0,1.98773,3.505,58.0449,"September 17, 22",0.03505
