,Date
0,2017-11-30
1,2017-12-31
2,2018-01-31
3,2018-02-28
4,2018-03-31
5,2018-04-30
6,2018-05-31
7,2018-06-30
8,2018-07-31
9,2018-08-31
10,2018-09-30
11,2018-10-31
12,2018-11-30
13,2018-12-31
14,2019-01-31
15,2019-02-28
16,2019-03-31
17,2019-04-30
18,2019-05-31
19,2019-06-30
20,2019-07-31
21,2019-08-31
22,2019-09-30
23,2019-10-31
24,2019-11-30
25,2019-12-31
26,2020-01-31
27,2020-02-29
28,2020-03-31
29,2020-04-30
30,2020-05-31
31,2020-06-30
32,2020-07-31
33,2020-08-31
34,2020-09-30
35,2020-10-31
36,2020-11-30
37,2020-12-31
38,2021-01-31
39,2021-02-28
40,2021-03-31
41,2021-04-30
42,2021-05-31
43,2021-06-30
44,2021-07-31
45,2021-08-31
46,2021-09-30
47,2021-10-31
48,2021-11-30
49,2021-12-31
50,2022-01-31
51,2022-02-28
52,2022-03-31
53,2022-04-30
54,2022-05-31
55,2022-06-30
56,2022-07-31
57,2022-08-31
58,2022-09-30
59,2022-10-31
60,2022-11-30
61,2017-06-30
62,2017-07-31
63,2017-08-31
64,2017-09-30
65,2017-10-31
66,2017-11-30
67,2017-12-31
68,2018-01-31
69,2018-01-28
