date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,19418.700210314,19559.51506095,19318.1885346424,19416.6003380441,19416.6003380441,2.294158582E9,2.294158582E9,-2.09987,-0.011,19431.43464,"October 09, 22",-1.1E-4
2022-10-08,19532.000786,19627.493834,19241.308154,19418.851102,19418.851102,2.117073134E9,2.117073134E9,-113.14968,-0.579,19429.2177,"October 08, 22",-0.00579
2022-10-07,19963.736855,20069.585984,19321.220159,19532.213283,19532.213283,5.140060889E9,5.140060889E9,-431.52357,-2.162,19641.00648,"October 07, 22",-0.02162
2022-10-06,20163.907324,20461.665575,19855.292188,19964.048179,19964.048179,7.452392182E9,7.452392182E9,-199.85915,-0.991,20093.66865,"October 06, 22",-0.00991
2022-10-05,20344.047149,20371.430833,19735.887047,20163.894906,20163.894906,7.163841246E9,7.163841246E9,-180.15224,-0.886,20090.40426,"October 05, 22",-0.00886
2022-10-04,19631.274337,20482.255693,19491.424934,20344.044101,20344.044101,7.564141434E9,7.564141434E9,712.76976,3.631,20105.90824,"October 04, 22",0.03631
2022-10-03,19058.196974,19718.515087,18960.362225,19631.302539,19631.302539,6.587408445E9,6.587408445E9,573.10556,3.007,19436.72662,"October 03, 22",0.03007
2022-10-02,19314.241399,19396.41308,18920.94791,19057.097389,19057.097389,4.267805899E9,4.267805899E9,-257.14401,-1.331,19124.81946,"October 02, 22",-0.01331
2022-10-01,19422.704649,19485.931177,19161.322913,19313.019328,19313.019328,3.378567952E9,3.378567952E9,-109.68532,-0.565,19320.09114,"October 01, 22",-0.00565
2022-09-30,19592.714929,20186.401638,19155.305032,19423.073312,19423.073312,9.599004881E9,9.599004881E9,-169.64162,-0.866,19588.25999,"September 30, 22",-0.00866
2022-09-29,19412.822646,19647.430996,18845.210324,19593.57087,19593.57087,8.875140653E9,8.875140653E9,180.74822,0.931,19362.07073,"September 29, 22",0.00931
2022-09-28,19078.653012,19788.61198,18472.821142,19413.277265,19413.277265,1.1421068318E10,1.1421068318E10,334.62425,1.754,19224.90346,"September 28, 22",0.01754
2022-09-27,19225.159468,20385.527982,18817.361853,19079.480517,19079.480517,1.2715524484E10,1.2715524484E10,-145.67895,-0.758,19427.45678,"September 27, 22",-0.00758
2022-09-26,18809.878556,19321.832824,18683.528703,19226.814452,19226.814452,9.980154893E9,9.980154893E9,416.9359,2.217,19077.39199,"September 26, 22",0.02217
2022-09-25,18923.889526,19182.2924,18630.669722,18809.35758,18809.35758,3.968968595E9,3.968968595E9,-114.53195,-0.605,18874.10657,"September 25, 22",-0.00605
2022-09-24,19290.228553,19317.536546,18807.395563,18922.532404,18922.532404,4.915800242E9,4.915800242E9,-367.69615,-1.906,19015.8215,"September 24, 22",-0.01906
2022-09-23,19401.874716,19500.310177,18531.988716,19291.648845,19291.648845,8.371574884E9,8.371574884E9,-110.22587,-0.568,19107.98258,"September 23, 22",-0.00568
2022-09-22,18462.235047,19547.311834,18357.967094,19402.328123,19402.328123,8.758273185E9,8.758273185E9,940.09308,5.092,19102.53568,"September 22, 22",0.05092
2022-09-21,18878.744785,19957.193322,18134.518968,18461.765469,18461.765469,8.158405243E9,8.158405243E9,-416.97932,-2.209,18851.15925,"September 21, 22",-0.02209
2022-09-20,19540.783409,19638.409377,18717.24359,18878.82392,18878.82392,6.865871624E9,6.865871624E9,-661.95949,-3.388,19078.15896,"September 20, 22",-0.03388
2022-09-19,19419.262106,19690.093278,18234.908142,19539.615312,19539.615312,8.343773091E9,8.343773091E9,120.35321,0.62,19154.87224,"September 19, 22",0.0062
2022-09-18,20114.659557,20119.313564,19337.60847,19418.13002,19418.13002,5.324266042E9,5.324266042E9,-696.52954,-3.463,19625.01735,"September 18, 22",-0.03463
2022-09-17,19803.74374,20190.201056,19750.507197,20116.129814,20116.129814,4.143662289E9,4.143662289E9,312.38607,1.577,20018.94602,"September 17, 22",0.01577
2022-09-16,19704.071681,19891.912532,19321.216487,19803.312571,19803.312571,6.295398538E9,6.295398538E9,99.24089,0.504,19672.1472,"September 16, 22",0.00504
2022-09-15,20229.205061,20332.371505,19499.117015,19703.956939,19703.956939,7.116956383E9,7.116956383E9,-525.24812,-2.596,19845.14849,"September 15, 22",-0.02596
2022-09-14,20171.950226,20541.467646,19620.236851,20228.821993,20228.821993,7.629674313E9,7.629674313E9,56.87177,0.282,20130.1755,"September 14, 22",0.00282
2022-09-13,22401.911193,22802.841556,19864.043826,20171.932397,20171.932397,9.756539826E9,9.756539826E9,-2229.9788,-9.954,20946.27259,"September 13, 22",-0.09954
2022-09-12,21833.213076,22494.087531,21545.880992,22402.334999,22402.334999,9.742176463E9,9.742176463E9,569.12192,2.607,22147.43451,"September 12, 22",0.02607
2022-09-11,21647.734008,21864.308454,21354.455359,21833.391374,21833.391374,6.523075669E9,6.523075669E9,185.65737,0.858,21684.05173,"September 11, 22",0.00858
2022-09-10,21362.745982,21810.826456,21114.50425,21648.648195,21648.648195,7.211450016E9,7.211450016E9,285.90221,1.338,21524.65963,"September 10, 22",0.01338
2022-09-09,19322.498942,21598.555781,19293.668276,21364.159392,21364.159392,1.0372132727E10,1.0372132727E10,2041.66045,10.566,20752.12782,"September 09, 22",0.10566
2022-09-08,19294.393143,19458.392088,19012.845786,19321.730995,19321.730995,5.672795033E9,5.672795033E9,27.33785,0.142,19264.32296,"September 08, 22",0.00142
2022-09-07,18792.393018,19465.893739,18514.691967,19295.570808,19295.570808,6.217430619E9,6.217430619E9,503.17779,2.678,19092.05217,"September 07, 22",0.02678
2022-09-06,19796.786443,20181.57749,18652.535327,18792.293004,18792.293004,7.671509639E9,7.671509639E9,-1004.49344,-5.074,19208.80194,"September 06, 22",-0.05074
2022-09-05,20002.408889,20059.230223,19633.879754,19798.417646,19798.417646,4.760965378E9,4.760965378E9,-203.99124,-1.02,19830.50921,"September 05, 22",-0.0102
2022-09-04,19833.861537,20030.915728,19585.414474,20002.470651,20002.470651,2.970819543E9,2.970819543E9,168.60911,0.85,19872.93362,"September 04, 22",0.0085
2022-09-03,19952.153216,20055.84964,19652.831472,19833.993495,19833.993495,3.147989059E9,3.147989059E9,-118.15972,-0.592,19847.5582,"September 03, 22",-0.00592
2022-09-02,20132.791821,20443.231213,19755.548051,19951.631991,19951.631991,5.477293814E9,5.477293814E9,-181.15983,-0.9,20050.13708,"September 02, 22",-0.009
2022-09-01,20048.627589,20208.121753,19567.33211,20131.88286,20131.88286,5.598350715E9,5.598350715E9,83.25527,0.415,19969.11224,"September 01, 22",0.00415
2022-08-31,19815.064746,20489.87377,19800.178716,20049.974456,20049.974456,6.429928256E9,6.429928256E9,234.90971,1.186,20113.34231,"August 31, 22",0.01186
2022-08-30,20284.051661,20577.355309,19542.323792,19813.694429,19813.694429,6.160681107E9,6.160681107E9,-470.35723,-2.319,19977.79118,"August 30, 22",-0.02319
2022-08-29,19553.669414,20430.56523,19548.559483,20282.953892,20282.953892,5.098823633E9,5.098823633E9,729.28448,3.73,20087.35953,"August 29, 22",0.0373
2022-08-28,20033.990651,20166.770141,19516.41134,19553.972593,19553.972593,3.147480341E9,3.147480341E9,-480.01806,-2.396,19745.71802,"August 28, 22",-0.02396
