date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,5.395024,5.46044,5.386707,5.4074154,5.4074154,6.0676216E7,6.0676216E7,0.01239,0.23,5.41819,"October 09, 22",0.0023
2022-10-08,5.470352,5.509494,5.351331,5.393173,5.393173,5801519.0,5801519.0,-0.07718,-1.411,5.418,"October 08, 22",-0.01411
2022-10-07,5.48925,5.531128,5.386665,5.478842,5.478842,9790611.0,9790611.0,-0.01041,-0.19,5.46555,"October 07, 22",-0.0019
2022-10-06,5.590703,5.651924,5.461169,5.482127,5.482127,1.669716E7,1.669716E7,-0.10858,-1.942,5.53174,"October 06, 22",-0.01942
2022-10-05,5.601835,5.659428,5.432839,5.582929,5.582929,1.5640871E7,1.5640871E7,-0.01891,-0.338,5.5584,"October 05, 22",-0.00338
2022-10-04,5.521141,5.659774,5.482017,5.602293,5.602293,1.8216575E7,1.8216575E7,0.08115,1.47,5.58136,"October 04, 22",0.0147
2022-10-03,5.380008,5.550438,5.283112,5.520461,5.520461,1.3914749E7,1.3914749E7,0.14045,2.611,5.45134,"October 03, 22",0.02611
2022-10-02,5.520442,5.570766,5.331681,5.37154,5.37154,1.6979382E7,1.6979382E7,-0.1489,-2.697,5.42466,"October 02, 22",-0.02697
2022-10-01,5.68085,5.699853,5.463011,5.520143,5.520143,1.3541599E7,1.3541599E7,-0.16071,-2.829,5.561,"October 01, 22",-0.02829
2022-09-30,5.782262,5.84057,5.604125,5.687997,5.687997,2.3289549E7,2.3289549E7,-0.09427,-1.63,5.7109,"September 30, 22",-0.0163
2022-09-29,5.850517,5.949447,5.661327,5.788846,5.788846,2.024222E7,2.024222E7,-0.06167,-1.054,5.79987,"September 29, 22",-0.01054
2022-09-28,5.730044,6.058931,5.550336,5.851192,5.851192,2.9449673E7,2.9449673E7,0.12115,2.114,5.82015,"September 28, 22",0.02114
2022-09-27,5.69848,6.158135,5.590509,5.730368,5.730368,4.7394798E7,4.7394798E7,0.03189,0.56,5.82634,"September 27, 22",0.0056
2022-09-26,5.710833,5.808742,5.510438,5.698454,5.698454,2.591125E7,2.591125E7,-0.01238,-0.217,5.67254,"September 26, 22",-0.00217
2022-09-25,5.570264,5.909051,5.510338,5.711494,5.711494,2.6497414E7,2.6497414E7,0.14123,2.535,5.71029,"September 25, 22",0.02535
2022-09-24,5.693044,5.800023,5.501911,5.571164,5.571164,2.2821625E7,2.2821625E7,-0.12188,-2.141,5.62437,"September 24, 22",-0.02141
2022-09-23,5.520706,5.829652,5.321661,5.691633,5.691633,3.2260103E7,3.2260103E7,0.17093,3.096,5.61432,"September 23, 22",0.03096
2022-09-22,5.241056,5.569969,5.230511,5.520358,5.520358,2.6012093E7,2.6012093E7,0.2793,5.329,5.44028,"September 22, 22",0.05329
2022-09-21,5.319722,5.628882,5.099986,5.241889,5.241889,3.1957415E7,3.1957415E7,-0.07783,-1.463,5.32359,"September 21, 22",-0.01463
2022-09-20,5.480448,5.520539,5.262173,5.320093,5.320093,1.9921856E7,1.9921856E7,-0.16036,-2.926,5.3676,"September 20, 22",-0.02926
2022-09-19,5.259798,5.529873,5.140278,5.480933,5.480933,3.1428828E7,3.1428828E7,0.22114,4.204,5.38369,"September 19, 22",0.04204
2022-09-18,5.910457,5.920343,5.128295,5.260948,5.260948,2.5572669E7,2.5572669E7,-0.64951,-10.989,5.43653,"September 18, 22",-0.10989
2022-09-17,5.828954,5.95931,5.790739,5.909839,5.909839,1.4511749E7,1.4511749E7,0.08089,1.388,5.88663,"September 17, 22",0.01388
2022-09-16,5.729489,5.859673,5.642241,5.820721,5.820721,2.0043774E7,2.0043774E7,0.09123,1.592,5.77421,"September 16, 22",0.01592
2022-09-15,5.959876,5.979612,5.6319,5.721383,5.721383,2.7954141E7,2.7954141E7,-0.23849,-4.002,5.77763,"September 15, 22",-0.04002
2022-09-14,5.868952,6.020114,5.742918,5.958956,5.958956,2.708996E7,2.708996E7,0.09,1.533,5.90733,"September 14, 22",0.01533
2022-09-13,6.549175,6.559762,5.802753,5.861828,5.861828,4.9230439E7,4.9230439E7,-0.68735,-10.495,6.07478,"September 13, 22",-0.10495
2022-09-12,6.411118,6.792279,6.323236,6.552511,6.552511,5.4138526E7,5.4138526E7,0.14139,2.205,6.55601,"September 12, 22",0.02205
2022-09-11,6.360597,6.990489,6.161499,6.412081,6.412081,5.0328609E7,5.0328609E7,0.05148,0.809,6.52136,"September 11, 22",0.00809
2022-09-10,6.380899,6.562342,6.20939,6.360063,6.360063,3.715052E7,3.715052E7,-0.02084,-0.327,6.37727,"September 10, 22",-0.00327
2022-09-09,5.869873,6.489344,5.859571,6.380506,6.380506,6.5566666E7,6.5566666E7,0.51063,8.699,6.24314,"September 09, 22",0.08699
2022-09-08,5.851857,5.958914,5.702026,5.86924,5.86924,2.7316505E7,2.7316505E7,0.01738,0.297,5.84339,"September 08, 22",0.00297
2022-09-07,5.593034,5.948594,5.520813,5.850897,5.850897,2.7774786E7,2.7774786E7,0.25786,4.61,5.77343,"September 07, 22",0.0461
2022-09-06,6.148872,6.300371,5.523347,5.600071,5.600071,4.3518303E7,4.3518303E7,-0.5488,-8.925,5.80793,"September 06, 22",-0.08925
2022-09-05,6.269522,6.339195,5.920471,6.140474,6.140474,3.0230654E7,3.0230654E7,-0.12905,-2.058,6.13338,"September 05, 22",-0.02058
2022-09-04,6.509865,6.649565,6.158702,6.269087,6.269087,2.1756077E7,2.1756077E7,-0.24078,-3.699,6.35912,"September 04, 22",-0.03699
2022-09-03,5.829849,6.773229,5.791617,6.510256,6.510256,7.7737752E7,7.7737752E7,0.68041,11.671,6.35837,"September 03, 22",0.11671
2022-09-02,5.779386,5.989877,5.689711,5.830098,5.830098,2.296427E7,2.296427E7,0.05071,0.877,5.83656,"September 02, 22",0.00877
2022-09-01,5.749333,5.809972,5.591788,5.778242,5.778242,1.7850591E7,1.7850591E7,0.02891,0.503,5.72667,"September 01, 22",0.00503
2022-08-31,5.718372,5.889364,5.672662,5.748553,5.748553,2.0492618E7,2.0492618E7,0.03018,0.528,5.77019,"August 31, 22",0.00528
2022-08-30,6.010997,6.108062,5.571883,5.718291,5.718291,2.9251436E7,2.9251436E7,-0.29271,-4.87,5.79941,"August 30, 22",-0.0487
2022-08-29,5.640326,6.058087,5.521425,6.010348,6.010348,2.6109954E7,2.6109954E7,0.37002,6.56,5.86329,"August 29, 22",0.0656
2022-08-28,5.828783,5.888022,5.590711,5.631002,5.631002,1.7147735E7,1.7147735E7,-0.19778,-3.393,5.70324,"August 28, 22",-0.03393
2022-08-27,5.667936,5.868509,5.581467,5.828848,5.828848,2.4810238E7,2.4810238E7,0.16091,2.839,5.75961,"August 27, 22",0.02839
2022-08-26,6.349413,6.359193,5.561014,5.660825,5.660825,4.9204768E7,4.9204768E7,-0.68859,-10.845,5.86034,"August 26, 22",-0.10845
2022-08-25,6.270993,6.490127,6.258486,6.358977,6.358977,2.8059867E7,2.8059867E7,0.08798,1.403,6.3692,"August 25, 22",0.01403
2022-08-24,6.379746,6.59849,6.170365,6.278928,6.278928,3.6773852E7,3.6773852E7,-0.10082,-1.58,6.34926,"August 24, 22",-0.0158
2022-08-23,6.32937,6.448982,6.118965,6.379115,6.379115,2.7411752E7,2.7411752E7,0.04974,0.786,6.31569,"August 23, 22",0.00786
2022-08-22,6.411098,6.429712,6.029784,6.327747,6.327747,3.1153322E7,3.1153322E7,-0.08335,-1.3,6.26241,"August 22, 22",-0.013
2022-08-21,6.250884,6.579858,6.210733,6.411069,6.411069,2.9923651E7,2.9923651E7,0.16018,2.563,6.40055,"August 21, 22",0.02563
