date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,1.6856039,1.706768,1.6768074,1.6898767,1.6898767,2.317133E7,2.317133E7,0.00427,0.253,1.69115,"October 09, 22",0.00253
2022-10-08,1.684,1.710171,1.668,1.685188,1.685188,1777747.0,1777747.0,0.00119,0.071,1.68779,"October 08, 22",7.1E-4
2022-10-07,1.69603,1.700261,1.659885,1.684145,1.684145,2728576.0,2728576.0,-0.01189,-0.701,1.68143,"October 07, 22",-0.00701
2022-10-06,1.700411,1.724597,1.670651,1.694939,1.694939,1.0455002E7,1.0455002E7,-0.00547,-0.322,1.69673,"October 06, 22",-0.00322
2022-10-05,1.714903,1.720382,1.654609,1.700594,1.700594,4297976.0,4297976.0,-0.01431,-0.834,1.69186,"October 05, 22",-0.00834
2022-10-04,1.681269,1.72439,1.663158,1.714365,1.714365,4982538.0,4982538.0,0.0331,1.969,1.70064,"October 04, 22",0.01969
2022-10-03,1.622742,1.694,1.603813,1.680372,1.680372,4094155.0,4094155.0,0.05763,3.551,1.65939,"October 03, 22",0.03551
2022-10-02,1.683152,1.696174,1.615085,1.624245,1.624245,4435256.0,4435256.0,-0.05891,-3.5,1.64517,"October 02, 22",-0.035
2022-10-01,1.686214,1.704826,1.669327,1.684155,1.684155,3443620.0,3443620.0,-0.00206,-0.122,1.6861,"October 01, 22",-0.00122
2022-09-30,1.692777,1.74079,1.662168,1.686849,1.686849,1.1429502E7,1.1429502E7,-0.00593,-0.35,1.6966,"September 30, 22",-0.0035
2022-09-29,1.64098,1.79633,1.604102,1.69294,1.69294,1.9111908E7,1.9111908E7,0.05196,3.166,1.69779,"September 29, 22",0.03166
2022-09-28,1.652686,1.663964,1.574406,1.639815,1.639815,7066119.0,7066119.0,-0.01287,-0.779,1.62606,"September 28, 22",-0.00779
2022-09-27,1.661625,1.733462,1.624754,1.652725,1.652725,1.0309073E7,1.0309073E7,-0.0089,-0.536,1.67031,"September 27, 22",-0.00536
2022-09-26,1.642606,1.665921,1.591455,1.661955,1.661955,6869796.0,6869796.0,0.01935,1.178,1.63978,"September 26, 22",0.01178
2022-09-25,1.676475,1.700129,1.621573,1.644124,1.644124,4332445.0,4332445.0,-0.03235,-1.93,1.65528,"September 25, 22",-0.0193
2022-09-24,1.707953,1.741529,1.672479,1.677508,1.677508,5209122.0,5209122.0,-0.03044,-1.782,1.69717,"September 24, 22",-0.01782
2022-09-23,1.70863,1.759962,1.63113,1.70734,1.70734,8745098.0,8745098.0,-0.00129,-0.075,1.69948,"September 23, 22",-7.5E-4
2022-09-22,1.620023,1.72045,1.618227,1.706689,1.706689,8250205.0,8250205.0,0.08667,5.35,1.68179,"September 22, 22",0.0535
2022-09-21,1.676765,1.768117,1.595509,1.621455,1.621455,8776638.0,8776638.0,-0.05531,-3.299,1.66169,"September 21, 22",-0.03299
2022-09-20,1.696828,1.719084,1.634259,1.678656,1.678656,8769709.0,8769709.0,-0.01817,-1.071,1.67733,"September 20, 22",-0.01071
2022-09-19,1.653723,1.712258,1.592286,1.697397,1.697397,8788350.0,8788350.0,0.04367,2.641,1.66731,"September 19, 22",0.02641
2022-09-18,1.839936,1.845239,1.577367,1.653139,1.653139,5931159.0,5931159.0,-0.1868,-10.153,1.69192,"September 18, 22",-0.10153
2022-09-17,1.778886,1.84934,1.777158,1.840115,1.840115,5352914.0,5352914.0,0.06123,3.442,1.8222,"September 17, 22",0.03442
2022-09-16,1.755548,1.791714,1.723935,1.780787,1.780787,9594584.0,9594584.0,0.02524,1.438,1.76548,"September 16, 22",0.01438
2022-09-15,1.869331,1.870091,1.73955,1.755442,1.755442,1.2394909E7,1.2394909E7,-0.11389,-6.093,1.78836,"September 15, 22",-0.06093
2022-09-14,1.862177,1.882108,1.793416,1.869824,1.869824,1.499007E7,1.499007E7,0.00765,0.411,1.84845,"September 14, 22",0.00411
2022-09-13,2.102035,2.103309,1.842263,1.863024,1.863024,1.3185783E7,1.3185783E7,-0.23901,-11.37,1.9362,"September 13, 22",-0.1137
2022-09-12,2.115014,2.301142,2.054819,2.103485,2.103485,1.7372795E7,1.7372795E7,-0.01153,-0.545,2.15315,"September 12, 22",-0.00545
2022-09-11,2.109171,2.146595,2.058519,2.116566,2.116566,1.0036406E7,1.0036406E7,0.00739,0.35,2.10723,"September 11, 22",0.0035
2022-09-10,2.111005,2.193776,2.061526,2.108252,2.108252,1.3885455E7,1.3885455E7,-0.00275,-0.13,2.12118,"September 10, 22",-0.0013
2022-09-09,1.954465,2.219926,1.94543,2.111296,2.111296,2.5024147E7,2.5024147E7,0.15683,8.024,2.09222,"September 09, 22",0.08024
2022-09-08,1.8603,2.03279,1.848353,1.954363,1.954363,1.176458E7,1.176458E7,0.09406,5.056,1.94517,"September 08, 22",0.05056
2022-09-07,1.770185,1.885082,1.731699,1.860279,1.860279,5818065.0,5818065.0,0.09009,5.089,1.82569,"September 07, 22",0.05089
2022-09-06,1.919311,1.971948,1.748156,1.770609,1.770609,9573377.0,9573377.0,-0.1487,-7.748,1.83024,"September 06, 22",-0.07748
2022-09-05,1.95074,1.966043,1.847048,1.919169,1.919169,9116151.0,9116151.0,-0.03157,-1.618,1.91075,"September 05, 22",-0.01618
2022-09-04,1.951066,1.983019,1.916298,1.948298,1.948298,5056528.0,5056528.0,-0.00277,-0.142,1.94921,"September 04, 22",-0.00142
2022-09-03,1.967146,1.972516,1.884309,1.951161,1.951161,9595689.0,9595689.0,-0.01599,-0.813,1.936,"September 03, 22",-0.00813
2022-09-02,2.046635,2.061282,1.933547,1.967499,1.967499,1.352737E7,1.352737E7,-0.07914,-3.867,1.98744,"September 02, 22",-0.03867
2022-09-01,2.069686,2.090802,1.958176,2.046047,2.046047,1.3930031E7,1.3930031E7,-0.02364,-1.142,2.03168,"September 01, 22",-0.01142
2022-08-31,2.012212,2.172587,1.978261,2.069352,2.069352,2.5058567E7,2.5058567E7,0.05714,2.84,2.0734,"August 31, 22",0.0284
2022-08-30,1.917469,2.08435,1.871645,2.012057,2.012057,2.7021866E7,2.7021866E7,0.09459,4.933,1.98935,"August 30, 22",0.04933
2022-08-29,1.693991,2.069074,1.671046,1.916685,1.916685,2.2547921E7,2.2547921E7,0.22269,13.146,1.8856,"August 29, 22",0.13146
2022-08-28,1.825388,1.844703,1.675498,1.693507,1.693507,6545688.0,6545688.0,-0.13188,-7.225,1.7379,"August 28, 22",-0.07225
2022-08-27,1.849363,1.910489,1.793756,1.825455,1.825455,8325148.0,8325148.0,-0.02391,-1.293,1.84323,"August 27, 22",-0.01293
2022-08-26,2.137223,2.137223,1.818603,1.850692,1.850692,1.4523342E7,1.4523342E7,-0.28653,-13.407,1.93551,"August 26, 22",-0.13407
2022-08-25,2.145334,2.218573,2.125493,2.136771,2.136771,8496637.0,8496637.0,-0.00856,-0.399,2.16028,"August 25, 22",-0.00399
2022-08-24,2.14545,2.237919,2.06692,2.144158,2.144158,1.1386744E7,1.1386744E7,-0.00129,-0.06,2.14967,"August 24, 22",-6.0E-4
2022-08-23,2.128569,2.170806,2.033715,2.14646,2.14646,9893204.0,9893204.0,0.01789,0.84,2.11699,"August 23, 22",0.0084
2022-08-22,2.164798,2.179595,2.023684,2.129134,2.129134,1.040886E7,1.040886E7,-0.03566,-1.647,2.1108,"August 22, 22",-0.01647
2022-08-21,2.123115,2.199992,2.087137,2.163942,2.163942,1.3353202E7,1.3353202E7,0.04083,1.923,2.15036,"August 21, 22",0.01923
2022-08-20,2.119354,2.269156,2.036047,2.124871,2.124871,1.8482956E7,1.8482956E7,0.00552,0.26,2.14336,"August 20, 22",0.0026
2022-08-19,2.528854,2.58632,2.092992,2.118554,2.118554,2.3728965E7,2.3728965E7,-0.4103,-16.225,2.26596,"August 19, 22",-0.16225
2022-08-18,2.56753,2.811557,2.432059,2.528953,2.528953,3.6577335E7,3.6577335E7,-0.03858,-1.503,2.59086,"August 18, 22",-0.01503
2022-08-17,2.683658,2.748726,2.533677,2.566578,2.566578,1.7391427E7,1.7391427E7,-0.11708,-4.363,2.61633,"August 17, 22",-0.04363
2022-08-16,2.706884,2.759388,2.638244,2.684145,2.684145,1.2362181E7,1.2362181E7,-0.02274,-0.84,2.69393,"August 16, 22",-0.0084
2022-08-15,2.83271,2.91208,2.670668,2.707057,2.707057,1.4828657E7,1.4828657E7,-0.12565,-4.436,2.76327,"August 15, 22",-0.04436
2022-08-14,2.920545,2.938455,2.798754,2.834063,2.834063,7172643.0,7172643.0,-0.08648,-2.961,2.85709,"August 14, 22",-0.02961
2022-08-13,2.937322,3.04916,2.904988,2.920368,2.920368,7102423.0,7102423.0,-0.01695,-0.577,2.95817,"August 13, 22",-0.00577
2022-08-12,2.960356,2.972179,2.845727,2.944494,2.944494,1.0170312E7,1.0170312E7,-0.01586,-0.536,2.9208,"August 12, 22",-0.00536
2022-08-11,3.048159,3.180973,2.936953,2.973763,2.973763,2.0281063E7,2.0281063E7,-0.0744,-2.441,3.03056,"August 11, 22",-0.02441
2022-08-10,2.994193,3.135571,2.785317,3.072491,3.072491,2.341384E7,2.341384E7,0.0783,2.615,2.99779,"August 10, 22",0.02615
2022-08-09,3.02184,3.142977,2.809879,2.995714,2.995714,2.6805989E7,2.6805989E7,-0.02613,-0.865,2.98286,"August 09, 22",-0.00865
2022-08-08,2.612926,3.143326,2.610303,3.021694,3.021694,4.6522366E7,4.6522366E7,0.40877,15.644,2.92511,"August 08, 22",0.15644
2022-08-07,2.573766,2.772336,2.51201,2.626237,2.626237,1.9576855E7,1.9576855E7,0.05247,2.039,2.63686,"August 07, 22",0.02039
2022-08-06,2.738832,2.866609,2.565808,2.573455,2.573455,3.0743836E7,3.0743836E7,-0.16538,-6.038,2.66862,"August 06, 22",-0.06038
2022-08-05,2.638355,2.989397,2.502023,2.737557,2.737557,7.6844267E7,7.6844267E7,0.0992,3.76,2.74299,"August 05, 22",0.0376
2022-08-04,1.842666,2.986111,1.839182,2.588822,2.588822,6.5248168E7,6.5248168E7,0.74616,40.493,2.47137,"August 04, 22",0.40493
2022-08-03,1.877019,1.943289,1.814837,1.843183,1.843183,4431503.0,4431503.0,-0.03384,-1.803,1.8671,"August 03, 22",-0.01803
2022-08-02,2.02604,2.06394,1.811517,1.873831,1.873831,7102204.0,7102204.0,-0.15221,-7.513,1.91643,"August 02, 22",-0.07513
2022-08-01,1.921146,2.102964,1.909893,2.026272,2.026272,4356157.0,4356157.0,0.10513,5.472,2.01304,"August 01, 22",0.05472
2022-07-31,1.905276,2.082971,1.902886,1.9295,1.9295,4927582.0,4927582.0,0.02422,1.271,1.97179,"July 31, 22",0.01271
2022-07-30,1.870227,2.051093,1.862537,1.913594,1.913594,6590713.0,6590713.0,0.04337,2.319,1.94241,"July 30, 22",0.02319
2022-07-29,1.87976,1.969645,1.820577,1.861066,1.861066,3284258.0,3284258.0,-0.01869,-0.994,1.88376,"July 29, 22",-0.00994
2022-07-28,1.770736,1.954655,1.732545,1.878883,1.878883,3155455.0,3155455.0,0.10815,6.108,1.85536,"July 28, 22",0.06108
2022-07-27,1.591133,1.780892,1.550463,1.771845,1.771845,4662074.0,4662074.0,0.18071,11.357,1.70107,"July 27, 22",0.11357
2022-07-26,1.621675,1.627806,1.521127,1.592612,1.592612,2525800.0,2525800.0,-0.02906,-1.792,1.58051,"July 26, 22",-0.01792
2022-07-25,1.831,1.849693,1.620659,1.621598,1.621598,2477095.0,2477095.0,-0.2094,-11.436,1.69732,"July 25, 22",-0.11436
2022-07-24,1.851171,1.931253,1.819957,1.830569,1.830569,4239236.0,4239236.0,-0.0206,-1.113,1.86059,"July 24, 22",-0.01113
2022-07-23,1.839774,1.909313,1.752202,1.850038,1.850038,1998004.0,1998004.0,0.01026,0.558,1.83718,"July 23, 22",0.00558
2022-07-22,1.877604,2.001496,1.812036,1.847545,1.847545,3052555.0,3052555.0,-0.03006,-1.601,1.88703,"July 22, 22",-0.01601
2022-07-21,1.867754,1.89831,1.749773,1.871986,1.871986,3602139.0,3602139.0,0.00423,0.226,1.84002,"July 21, 22",0.00226
2022-07-20,1.928359,2.112292,1.798793,1.867832,1.867832,9559091.0,9559091.0,-0.06053,-3.139,1.92631,"July 20, 22",-0.03139
2022-07-19,1.683902,1.971054,1.659644,1.920375,1.920375,1.0598922E7,1.0598922E7,0.23647,14.043,1.85036,"July 19, 22",0.14043
2022-07-18,1.576783,1.71996,1.568992,1.681878,1.681878,3794299.0,3794299.0,0.10509,6.665,1.65694,"July 18, 22",0.06665
2022-07-17,1.606833,1.628772,1.559545,1.569354,1.569354,1707532.0,1707532.0,-0.03748,-2.333,1.58589,"July 17, 22",-0.02333
2022-07-16,1.54152,1.609107,1.509637,1.600134,1.600134,2119693.0,2119693.0,0.05861,3.802,1.57296,"July 16, 22",0.03802
2022-07-15,1.558201,1.598823,1.530861,1.548412,1.548412,2070191.0,2070191.0,-0.00979,-0.628,1.55937,"July 15, 22",-0.00628
2022-07-14,1.517818,1.566645,1.439516,1.566531,1.566531,3734370.0,3734370.0,0.04871,3.209,1.52423,"July 14, 22",0.03209
2022-07-13,1.434405,1.51794,1.388049,1.510151,1.510151,1871716.0,1871716.0,0.07575,5.281,1.47205,"July 13, 22",0.05281
2022-07-12,1.500248,1.518335,1.421308,1.428275,1.428275,1013389.0,1013389.0,-0.07197,-4.797,1.45597,"July 12, 22",-0.04797
2022-07-11,1.639237,1.645556,1.499636,1.508541,1.508541,1463619.0,1463619.0,-0.1307,-7.973,1.55124,"July 11, 22",-0.07973
2022-07-10,1.68323,1.69747,1.600736,1.646781,1.646781,1994658.0,1994658.0,-0.03645,-2.165,1.64833,"July 10, 22",-0.02165
2022-07-09,1.639405,1.727301,1.638781,1.698547,1.698547,1668949.0,1668949.0,0.05914,3.607,1.68821,"July 09, 22",0.03607
2022-07-08,1.668344,1.70883,1.589227,1.646811,1.646811,2101636.0,2101636.0,-0.02153,-1.291,1.64829,"July 08, 22",-0.01291
2022-07-07,1.598273,1.677957,1.568655,1.66858,1.66858,1642555.0,1642555.0,0.07031,4.399,1.6384,"July 07, 22",0.04399
2022-07-06,1.606865,1.617847,1.540283,1.598815,1.598815,2351510.0,2351510.0,-0.00805,-0.501,1.58565,"July 06, 22",-0.00501
2022-07-05,1.598599,1.668246,1.537852,1.607295,1.607295,3018097.0,3018097.0,0.0087,0.544,1.60446,"July 05, 22",0.00544
2022-07-04,1.547471,1.616086,1.489765,1.599632,1.599632,2089231.0,2089231.0,0.05216,3.371,1.56849,"July 04, 22",0.03371
2022-07-03,1.529105,1.58676,1.487127,1.539852,1.539852,2906626.0,2906626.0,0.01075,0.703,1.53791,"July 03, 22",0.00703
2022-07-02,1.45759,1.56764,1.439683,1.52966,1.52966,2648422.0,2648422.0,0.07207,4.944,1.51233,"July 02, 22",0.04944
2022-07-01,1.506614,1.549005,1.437134,1.458112,1.458112,2048279.0,2048279.0,-0.0485,-3.219,1.48142,"July 01, 22",-0.03219
2022-06-30,1.558965,1.568159,1.389023,1.508272,1.508272,2317630.0,2317630.0,-0.05069,-3.252,1.48848,"June 30, 22",-0.03252
2022-06-29,1.615899,1.695843,1.520181,1.558056,1.558056,4273382.0,4273382.0,-0.05784,-3.579,1.59136,"June 29, 22",-0.03579
2022-06-28,1.679951,1.807976,1.614563,1.615169,1.615169,5257861.0,5257861.0,-0.06478,-3.856,1.67924,"June 28, 22",-0.03856
