date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,52.7992686781,54.0632288699,52.6933315085,53.5252107813,53.5252107813,1.4544206E7,1.4544206E7,0.72594,1.375,53.42726,"October 09, 22",0.01375
2022-10-08,52.844171,53.55227,52.388061,52.816895,52.816895,1.9202405E7,1.9202405E7,-0.02728,-0.052,52.91908,"October 08, 22",-5.2E-4
2022-10-07,53.540218,53.861833,52.275567,52.844634,52.844634,2.7742968E7,2.7742968E7,-0.69558,-1.299,52.99401,"October 07, 22",-0.01299
2022-10-06,54.6397,55.067041,53.349578,53.543616,53.543616,3.26024E7,3.26024E7,-1.09608,-2.006,53.98675,"October 06, 22",-0.02006
2022-10-05,55.29664,55.319698,53.311184,54.64327,54.64327,2.9665651E7,2.9665651E7,-0.65337,-1.182,54.42472,"October 05, 22",-0.01182
2022-10-04,54.168049,55.759918,53.884822,55.303861,55.303861,3.1608394E7,3.1608394E7,1.13581,2.097,54.98287,"October 04, 22",0.02097
2022-10-03,51.817591,54.370039,51.495594,54.178544,54.178544,3.1291394E7,3.1291394E7,2.36095,4.556,53.34806,"October 03, 22",0.04556
2022-10-02,52.915397,53.462567,51.670852,51.818265,51.818265,2.1108997E7,2.1108997E7,-1.09713,-2.073,52.31723,"October 02, 22",-0.02073
2022-10-01,53.486355,53.831586,52.454851,52.926492,52.926492,2.0843329E7,2.0843329E7,-0.55986,-1.047,53.07098,"October 01, 22",-0.01047
2022-09-30,53.976527,55.105953,52.861582,53.479176,53.479176,3.3841797E7,3.3841797E7,-0.49735,-0.921,53.81557,"September 30, 22",-0.00921
2022-09-29,53.291137,54.151773,52.247697,53.970384,53.970384,3.4238787E7,3.4238787E7,0.67925,1.275,53.45662,"September 29, 22",0.01275
2022-09-28,52.659081,53.829969,51.003637,53.28797,53.28797,3.709453E7,3.709453E7,0.62889,1.194,52.70719,"September 28, 22",0.01194
2022-09-27,53.432897,55.63188,51.803934,52.659595,52.659595,4.4713414E7,4.4713414E7,-0.7733,-1.447,53.36514,"September 27, 22",-0.01447
