date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.6911462336,0.69543358,0.6880561804,0.6897511481,0.6897511481,2399288.0,2399288.0,-0.0014,-0.203,0.69108,"October 09, 22",-0.00203
2022-10-08,0.695158,0.700645,0.682645,0.691219,0.691219,3854070.0,3854070.0,-0.00394,-0.567,0.6915,"October 08, 22",-0.00567
2022-10-07,0.695286,0.700198,0.684209,0.695202,0.695202,7100968.0,7100968.0,-8.0E-5,-0.012,0.6932,"October 07, 22",-1.2E-4
2022-10-06,0.703161,0.712607,0.692458,0.695352,0.695352,1.4316441E7,1.4316441E7,-0.00781,-1.111,0.70014,"October 06, 22",-0.01111
2022-10-05,0.70474,0.715179,0.689053,0.703081,0.703081,1.1706193E7,1.1706193E7,-0.00166,-0.236,0.70244,"October 05, 22",-0.00236
2022-10-04,0.696805,0.708526,0.693008,0.704591,0.704591,9528492.0,9528492.0,0.00779,1.118,0.70204,"October 04, 22",0.01118
2022-10-03,0.682718,0.698321,0.673596,0.696807,0.696807,9665459.0,9665459.0,0.01409,2.064,0.68957,"October 03, 22",0.02064
2022-10-02,0.692742,0.697157,0.678967,0.682645,0.682645,5762160.0,5762160.0,-0.0101,-1.458,0.68626,"October 02, 22",-0.01458
2022-10-01,0.698307,0.703076,0.690369,0.692765,0.692765,4349948.0,4349948.0,-0.00554,-0.793,0.6954,"October 01, 22",-0.00793
2022-09-30,0.709108,0.718408,0.692586,0.698439,0.698439,1.4481804E7,1.4481804E7,-0.01067,-1.505,0.70314,"September 30, 22",-0.01505
2022-09-29,0.703405,0.710798,0.687145,0.70907,0.70907,9804913.0,9804913.0,0.00567,0.806,0.70234,"September 29, 22",0.00806
2022-09-28,0.692532,0.709045,0.671446,0.703394,0.703394,1.2059426E7,1.2059426E7,0.01086,1.568,0.69463,"September 28, 22",0.01568
2022-09-27,0.703568,0.724502,0.683906,0.692577,0.692577,1.5738886E7,1.5738886E7,-0.01099,-1.562,0.70033,"September 27, 22",-0.01562
2022-09-26,0.697799,0.705975,0.681452,0.70342,0.70342,1.1957429E7,1.1957429E7,0.00562,0.805,0.69695,"September 26, 22",0.00805
2022-09-25,0.707279,0.718333,0.690417,0.69814,0.69814,8282893.0,8282893.0,-0.00914,-1.292,0.7023,"September 25, 22",-0.01292
2022-09-24,0.720449,0.730988,0.704605,0.70738,0.70738,8501939.0,8501939.0,-0.01307,-1.814,0.71432,"September 24, 22",-0.01814
2022-09-23,0.721072,0.734472,0.688683,0.720513,0.720513,1.7972893E7,1.7972893E7,-5.6E-4,-0.078,0.71456,"September 23, 22",-7.8E-4
2022-09-22,0.680372,0.725912,0.680155,0.721076,0.721076,1.4420638E7,1.4420638E7,0.0407,5.982,0.70905,"September 22, 22",0.05982
2022-09-21,0.707016,0.740179,0.669012,0.680621,0.680621,2.1834881E7,2.1834881E7,-0.0264,-3.734,0.6966,"September 21, 22",-0.03734
2022-09-20,0.726929,0.734192,0.703597,0.707045,0.707045,1.5111206E7,1.5111206E7,-0.01988,-2.735,0.71494,"September 20, 22",-0.02735
2022-09-19,0.703998,0.732165,0.685629,0.726933,0.726933,1.7854421E7,1.7854421E7,0.02293,3.257,0.71491,"September 19, 22",0.03257
2022-09-18,0.751984,0.755116,0.69637,0.703762,0.703762,1.3563459E7,1.3563459E7,-0.04822,-6.412,0.71842,"September 18, 22",-0.06412
2022-09-17,0.741044,0.753923,0.733491,0.751904,0.751904,7225360.0,7225360.0,0.01086,1.466,0.74644,"September 17, 22",0.01466
2022-09-16,0.719765,0.753306,0.710374,0.741058,0.741058,1.1852196E7,1.1852196E7,0.02129,2.958,0.73491,"September 16, 22",0.02958
2022-09-15,0.744052,0.744999,0.708958,0.719723,0.719723,1.4113806E7,1.4113806E7,-0.02433,-3.27,0.72456,"September 15, 22",-0.0327
2022-09-14,0.730741,0.749472,0.719341,0.744234,0.744234,1.2095427E7,1.2095427E7,0.01349,1.846,0.73768,"September 14, 22",0.01846
2022-09-13,0.794442,0.802918,0.727909,0.730851,0.730851,2.1838306E7,2.1838306E7,-0.06359,-8.004,0.75389,"September 13, 22",-0.08004
2022-09-12,0.803838,0.823247,0.782599,0.79464,0.79464,2.1646468E7,2.1646468E7,-0.0092,-1.145,0.80016,"September 12, 22",-0.01145
2022-09-11,0.814383,0.821712,0.791584,0.803851,0.803851,1.3351752E7,1.3351752E7,-0.01053,-1.293,0.80572,"September 11, 22",-0.01293
2022-09-10,0.806212,0.831954,0.799132,0.81393,0.81393,2.2804487E7,2.2804487E7,0.00772,0.958,0.81501,"September 10, 22",0.00958
2022-09-09,0.773108,0.822747,0.772097,0.806192,0.806192,2.2738417E7,2.2738417E7,0.03308,4.279,0.80035,"September 09, 22",0.04279
2022-09-08,0.764151,0.775833,0.749789,0.772633,0.772633,1.4024457E7,1.4024457E7,0.00848,1.11,0.76609,"September 08, 22",0.0111
2022-09-07,0.737171,0.771785,0.721654,0.76408,0.76408,1.3414581E7,1.3414581E7,0.02691,3.65,0.75251,"September 07, 22",0.0365
2022-09-06,0.78982,0.81433,0.727222,0.737516,0.737516,2.2602661E7,2.2602661E7,-0.0523,-6.622,0.75969,"September 06, 22",-0.06622
2022-09-05,0.808251,0.81477,0.779841,0.789872,0.789872,1.447285E7,1.447285E7,-0.01838,-2.274,0.79483,"September 05, 22",-0.02274
2022-09-04,0.787873,0.82263,0.781821,0.808346,0.808346,1.3910067E7,1.3910067E7,0.02047,2.598,0.80427,"September 04, 22",0.02598
2022-09-03,0.775527,0.789971,0.761747,0.787849,0.787849,7776032.0,7776032.0,0.01232,1.589,0.77986,"September 03, 22",0.01589
2022-09-02,0.780341,0.799841,0.766367,0.775757,0.775757,1.2469414E7,1.2469414E7,-0.00458,-0.587,0.78065,"September 02, 22",-0.00587
2022-09-01,0.772509,0.781443,0.74907,0.780017,0.780017,1.2061145E7,1.2061145E7,0.00751,0.972,0.77018,"September 01, 22",0.00972
2022-08-31,0.773058,0.798737,0.768236,0.772728,0.772728,1.3261267E7,1.3261267E7,-3.3E-4,-0.043,0.7799,"August 31, 22",-4.3E-4
2022-08-30,0.796061,0.805719,0.751314,0.77274,0.77274,1.734913E7,1.734913E7,-0.02332,-2.929,0.77659,"August 30, 22",-0.02929
2022-08-29,0.750427,0.800085,0.738674,0.796093,0.796093,1.6499086E7,1.6499086E7,0.04567,6.086,0.77828,"August 29, 22",0.06086
2022-08-28,0.776887,0.791981,0.745034,0.750179,0.750179,1.4248094E7,1.4248094E7,-0.02671,-3.438,0.7624,"August 28, 22",-0.03438
2022-08-27,0.776621,0.780897,0.754997,0.776553,0.776553,1.8505353E7,1.8505353E7,-7.0E-5,-0.009,0.77082,"August 27, 22",-9.0E-5
2022-08-26,0.83789,0.847956,0.764185,0.776715,0.776715,2.5375586E7,2.5375586E7,-0.06118,-7.302,0.79629,"August 26, 22",-0.07302
2022-08-25,0.831972,0.85361,0.824713,0.838225,0.838225,1.1578476E7,1.1578476E7,0.00625,0.751,0.83885,"August 25, 22",0.00751
2022-08-24,0.836422,0.857148,0.811668,0.831901,0.831901,1.5469708E7,1.5469708E7,-0.00452,-0.54,0.83357,"August 24, 22",-0.0054
2022-08-23,0.831093,0.838092,0.803792,0.836394,0.836394,1.8935676E7,1.8935676E7,0.0053,0.638,0.82609,"August 23, 22",0.00638
2022-08-22,0.852823,0.853747,0.802407,0.830687,0.830687,1.9961573E7,1.9961573E7,-0.02214,-2.596,0.82895,"August 22, 22",-0.02596
2022-08-21,0.832149,0.861954,0.825713,0.852488,0.852488,1.5410484E7,1.5410484E7,0.02034,2.444,0.84672,"August 21, 22",0.02444
2022-08-20,0.841945,0.866256,0.811155,0.832148,0.832148,1.971075E7,1.971075E7,-0.0098,-1.164,0.83652,"August 20, 22",-0.01164
2022-08-19,0.924015,0.92744,0.830644,0.841858,0.841858,3.3795458E7,3.3795458E7,-0.08216,-8.892,0.86665,"August 19, 22",-0.08892
