date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.06204618,0.06273507,0.06199856,0.06237179,0.06237179,2.24522528E8,2.24522528E8,3.3E-4,0.532,0.06237,"October 09, 22",0.00532
2022-10-08,0.062506,0.062749,0.06177,0.062056,0.062056,1.6029485E7,1.6029485E7,-4.5E-4,-0.72,0.06219,"October 08, 22",-0.0072
2022-10-07,0.062787,0.06331,0.062001,0.062516,0.062516,2.2935954E7,2.2935954E7,-2.7E-4,-0.43,0.06261,"October 07, 22",-0.0043
2022-10-06,0.062459,0.06323,0.061899,0.062776,0.062776,3.1842637E7,3.1842637E7,3.2E-4,0.512,0.06264,"October 06, 22",0.00512
2022-10-05,0.062379,0.062752,0.061943,0.062468,0.062468,2.092732E7,2.092732E7,9.0E-5,0.144,0.06239,"October 05, 22",0.00144
2022-10-04,0.061368,0.062493,0.061066,0.062371,0.062371,2.4318617E7,2.4318617E7,0.001,1.63,0.06198,"October 04, 22",0.0163
2022-10-03,0.06093,0.0615,0.060681,0.061376,0.061376,2.0983074E7,2.0983074E7,4.5E-4,0.739,0.06119,"October 03, 22",0.00739
2022-10-02,0.060506,0.061986,0.060387,0.06093,0.06093,2.8479526E7,2.8479526E7,4.2E-4,0.694,0.0611,"October 02, 22",0.00694
2022-10-01,0.06101,0.061495,0.060057,0.060496,0.060496,1.9878585E7,1.9878585E7,-5.1E-4,-0.836,0.06068,"October 01, 22",-0.00836
2022-09-30,0.060996,0.06232,0.060226,0.06101,0.06101,3.4011196E7,3.4011196E7,1.0E-5,0.016,0.06119,"September 30, 22",1.6E-4
2022-09-29,0.059542,0.062006,0.059331,0.060997,0.060997,3.7287155E7,3.7287155E7,0.00145,2.435,0.06078,"September 29, 22",0.02435
2022-09-28,0.059382,0.05991,0.058351,0.059541,0.059541,2.7393957E7,2.7393957E7,1.6E-4,0.269,0.05927,"September 28, 22",0.00269
2022-09-27,0.059591,0.060875,0.059,0.059381,0.059381,2.7159051E7,2.7159051E7,-2.1E-4,-0.352,0.05975,"September 27, 22",-0.00352
2022-09-26,0.059705,0.059906,0.058967,0.059584,0.059584,2.6539212E7,2.6539212E7,-1.2E-4,-0.201,0.05949,"September 26, 22",-0.00201
2022-09-25,0.059856,0.060296,0.05945,0.059706,0.059706,1.3406175E7,1.3406175E7,-1.5E-4,-0.251,0.05982,"September 25, 22",-0.00251
2022-09-24,0.060438,0.06094,0.059576,0.059857,0.059857,1.947277E7,1.947277E7,-5.8E-4,-0.96,0.06012,"September 24, 22",-0.0096
2022-09-23,0.06022,0.06117,0.059231,0.060427,0.060427,2.8327898E7,2.8327898E7,2.1E-4,0.349,0.06028,"September 23, 22",0.00349
2022-09-22,0.059041,0.060466,0.05872,0.060221,0.060221,2.6483906E7,2.6483906E7,0.00118,1.999,0.0598,"September 22, 22",0.01999
2022-09-21,0.059792,0.062205,0.058691,0.059051,0.059051,3.5975115E7,3.5975115E7,-7.4E-4,-1.238,0.05998,"September 21, 22",-0.01238
2022-09-20,0.060293,0.060672,0.059432,0.059792,0.059792,2.3385287E7,2.3385287E7,-5.0E-4,-0.829,0.05997,"September 20, 22",-0.00829
2022-09-19,0.060776,0.061228,0.059277,0.060292,0.060292,3.3085513E7,3.3085513E7,-4.8E-4,-0.79,0.06027,"September 19, 22",-0.0079
2022-09-18,0.062279,0.062649,0.060776,0.060776,0.060776,1.9704057E7,1.9704057E7,-0.0015,-2.409,0.0614,"September 18, 22",-0.02409
2022-09-17,0.061321,0.06236,0.061316,0.062281,0.062281,1.5127049E7,1.5127049E7,9.6E-4,1.566,0.06199,"September 17, 22",0.01566
2022-09-16,0.061325,0.061627,0.060558,0.06132,0.06132,2.4517081E7,2.4517081E7,0.0,0.0,0.06117,"September 16, 22",0.0
2022-09-15,0.061626,0.061975,0.060571,0.061314,0.061314,2.8039841E7,2.8039841E7,-3.1E-4,-0.503,0.06129,"September 15, 22",-0.00503
2022-09-14,0.060674,0.061756,0.060554,0.061627,0.061627,2.4262999E7,2.4262999E7,9.5E-4,1.566,0.06131,"September 14, 22",0.01566
2022-09-13,0.063864,0.063989,0.060654,0.060675,0.060675,3.0997773E7,3.0997773E7,-0.00319,-4.995,0.06177,"September 13, 22",-0.04995
