date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,147.7679353424,148.97,145.25,145.5,145.5,630112.0,630112.0,-2.26794,-1.535,146.57333,"October 09, 22",-0.01535
2022-10-08,146.59111,148.45,145.08,147.848978,147.848978,506698.0,506698.0,1.25787,0.858,147.12633,"October 08, 22",0.00858
2022-10-07,149.016618,149.520036,143.816582,146.635764,146.635764,1332877.0,1332877.0,-2.38085,-1.598,146.65746,"October 07, 22",-0.01598
2022-10-06,146.372194,152.506516,143.493484,149.125436,149.125436,2155403.0,2155403.0,2.75324,1.881,148.37515,"October 06, 22",0.01881
2022-10-05,146.762971,148.260272,143.738096,146.209979,146.209979,609831.0,609831.0,-0.55299,-0.377,146.06945,"October 05, 22",-0.00377
2022-10-04,141.822568,147.764401,141.822568,146.864109,146.864109,548467.0,548467.0,5.04154,3.555,145.48369,"October 04, 22",0.03555
2022-10-03,137.09832,141.900169,136.634959,141.789749,141.789749,766767.0,766767.0,4.69143,3.422,140.10829,"October 03, 22",0.03422
2022-10-02,141.12192,141.993595,136.496057,137.084433,137.084433,547792.0,547792.0,-4.03749,-2.861,138.5247,"October 02, 22",-0.02861
2022-10-01,147.356925,150.274654,140.930804,141.264847,141.264847,973525.0,973525.0,-6.09208,-4.134,144.15677,"October 01, 22",-0.04134
2022-09-30,148.372702,150.81827,146.27946,147.446108,147.446108,462810.0,462810.0,-0.92659,-0.625,148.18128,"September 30, 22",-0.00625
2022-09-29,147.2,149.432055,146.133075,148.390387,148.390387,442783.0,442783.0,1.19039,0.809,147.98517,"September 29, 22",0.00809
2022-09-28,144.386655,148.273164,140.330073,147.243382,147.243382,756384.0,756384.0,2.85673,1.979,145.28221,"September 28, 22",0.01979
2022-09-27,145.801696,153.033796,143.180517,144.364023,144.364023,1436425.0,1436425.0,-1.43767,-0.986,146.85945,"September 27, 22",-0.00986
2022-09-26,141.046175,146.050231,139.733318,145.860738,145.860738,561284.0,561284.0,4.81456,3.413,143.88143,"September 26, 22",0.03413
2022-09-25,141.914086,144.708405,140.08681,141.241828,141.241828,355167.0,355167.0,-0.67226,-0.474,142.01235,"September 25, 22",-0.00474
2022-09-24,141.51948,144.124933,140.612036,141.897534,141.897534,482236.0,482236.0,0.37805,0.267,142.2115,"September 24, 22",0.00267
2022-09-23,144.243342,146.053528,138.257691,141.465438,141.465438,972223.0,972223.0,-2.7779,-1.926,141.92555,"September 23, 22",-0.01926
2022-09-22,135.437277,144.301709,134.263163,144.100317,144.100317,771610.0,771610.0,8.66304,6.396,140.8884,"September 22, 22",0.06396
2022-09-21,142.357264,145.059112,134.691424,135.37464,135.37464,928863.0,928863.0,-6.98262,-4.905,138.37506,"September 21, 22",-0.04905
2022-09-20,140.553292,143.346462,139.599878,142.513048,142.513048,647511.0,647511.0,1.95976,1.394,141.8198,"September 20, 22",0.01394
2022-09-19,140.503675,141.818692,135.143151,140.381843,140.381843,770124.0,770124.0,-0.12183,-0.087,139.11456,"September 19, 22",-8.7E-4
2022-09-18,147.526117,149.004078,137.802428,140.497961,140.497961,925669.0,925669.0,-7.02816,-4.764,142.43482,"September 18, 22",-0.04764
2022-09-17,149.023028,151.65601,147.309083,147.550917,147.550917,1320240.0,1320240.0,-1.47211,-0.988,148.83867,"September 17, 22",-0.00988
2022-09-16,145.713526,149.354029,144.068741,149.159245,149.159245,576315.0,576315.0,3.44572,2.365,147.52734,"September 16, 22",0.02365
