date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.51707,0.5485416948,0.5059608155,0.535,0.535,5476298.0,5476298.0,0.01793,3.468,0.52983,"October 09, 22",0.03468
2022-10-08,0.51794,0.529271,0.511428,0.517246,0.517246,3896429.0,3896429.0,-6.9E-4,-0.133,0.51932,"October 08, 22",-0.00133
2022-10-07,0.49306,0.533691,0.482075,0.518027,0.518027,1.1043498E7,1.1043498E7,0.02497,5.064,0.51126,"October 07, 22",0.05064
2022-10-06,0.489015,0.505745,0.488633,0.493481,0.493481,5084149.0,5084149.0,0.00447,0.914,0.49595,"October 06, 22",0.00914
2022-10-05,0.479372,0.501688,0.472197,0.489111,0.489111,7385281.0,7385281.0,0.00974,2.032,0.48767,"October 05, 22",0.02032
2022-10-04,0.462284,0.485438,0.45163,0.479757,0.479757,5775744.0,5775744.0,0.01747,3.779,0.47227,"October 04, 22",0.03779
2022-10-03,0.448724,0.469372,0.43794,0.462454,0.462454,6943802.0,6943802.0,0.01373,3.06,0.45659,"October 03, 22",0.0306
2022-10-02,0.475234,0.478552,0.443546,0.448579,0.448579,6410290.0,6410290.0,-0.02666,-5.61,0.45689,"October 02, 22",-0.0561
2022-10-01,0.479932,0.48642,0.467141,0.475367,0.475367,4231767.0,4231767.0,-0.00457,-0.952,0.47631,"October 01, 22",-0.00952
2022-09-30,0.487423,0.498815,0.467364,0.480172,0.480172,9729697.0,9729697.0,-0.00725,-1.487,0.48212,"September 30, 22",-0.01487
2022-09-29,0.449125,0.508966,0.426821,0.487043,0.487043,1.1631389E7,1.1631389E7,0.03792,8.443,0.47428,"September 29, 22",0.08443
2022-09-28,0.446287,0.455564,0.417202,0.449078,0.449078,7467277.0,7467277.0,0.00279,0.625,0.44061,"September 28, 22",0.00625
2022-09-27,0.468392,0.489547,0.43523,0.445889,0.445889,1.0416363E7,1.0416363E7,-0.0225,-4.804,0.45689,"September 27, 22",-0.04804
2022-09-26,0.492333,0.501893,0.457974,0.468206,0.468206,1.0678768E7,1.0678768E7,-0.02413,-4.901,0.47602,"September 26, 22",-0.04901
2022-09-25,0.487941,0.521164,0.475624,0.49161,0.49161,1.0943266E7,1.0943266E7,0.00367,0.752,0.49613,"September 25, 22",0.00752
2022-09-24,0.507639,0.519551,0.471969,0.48808,0.48808,1.1211152E7,1.1211152E7,-0.01956,-3.853,0.4932,"September 24, 22",-0.03853
2022-09-23,0.486226,0.559341,0.456838,0.507039,0.507039,2.4880616E7,2.4880616E7,0.02081,4.28,0.50774,"September 23, 22",0.0428
2022-09-22,0.393994,0.500278,0.393945,0.485641,0.485641,1.7752791E7,1.7752791E7,0.09165,23.262,0.45995,"September 22, 22",0.23262
2022-09-21,0.414144,0.432791,0.383802,0.393697,0.393697,1.1713727E7,1.1713727E7,-0.02045,-4.938,0.40343,"September 21, 22",-0.04938
2022-09-20,0.385415,0.423848,0.37097,0.414081,0.414081,9429931.0,9429931.0,0.02867,7.439,0.40297,"September 20, 22",0.07439
2022-09-19,0.357687,0.393361,0.340104,0.384807,0.384807,7278340.0,7278340.0,0.02712,7.582,0.37276,"September 19, 22",0.07582
2022-09-18,0.376401,0.397954,0.355626,0.357574,0.357574,8901369.0,8901369.0,-0.01883,-5.003,0.37038,"September 18, 22",-0.05003
2022-09-17,0.355124,0.380856,0.346547,0.376588,0.376588,3110673.0,3110673.0,0.02146,6.043,0.368,"September 17, 22",0.06043
2022-09-16,0.326272,0.358146,0.32178,0.355774,0.355774,3166673.0,3166673.0,0.0295,9.042,0.34523,"September 16, 22",0.09042
2022-09-15,0.341645,0.342473,0.324411,0.326471,0.326471,2379620.0,2379620.0,-0.01517,-4.44,0.33112,"September 15, 22",-0.0444
2022-09-14,0.332487,0.344216,0.331424,0.342032,0.342032,1773584.0,1773584.0,0.00955,2.872,0.33922,"September 14, 22",0.02872
2022-09-13,0.359792,0.360167,0.330845,0.332604,0.332604,2468357.0,2468357.0,-0.02719,-7.557,0.34121,"September 13, 22",-0.07557
2022-09-12,0.354956,0.360036,0.347778,0.359957,0.359957,1427889.0,1427889.0,0.005,1.409,0.35592,"September 12, 22",0.01409
2022-09-11,0.357686,0.360424,0.348698,0.355025,0.355025,832881.0,832881.0,-0.00266,-0.744,0.35472,"September 11, 22",-0.00744
2022-09-10,0.356365,0.361724,0.351664,0.35753,0.35753,2576680.0,2576680.0,0.00116,0.326,0.35697,"September 10, 22",0.00326
2022-09-09,0.3395,0.359689,0.339485,0.357077,0.357077,3819286.0,3819286.0,0.01758,5.178,0.35208,"September 09, 22",0.05178
2022-09-08,0.336981,0.343435,0.328336,0.339557,0.339557,1888878.0,1888878.0,0.00258,0.766,0.33711,"September 08, 22",0.00766
2022-09-07,0.321093,0.338402,0.31276,0.336781,0.336781,3424160.0,3424160.0,0.01569,4.886,0.32931,"September 07, 22",0.04886
2022-09-06,0.332981,0.342998,0.318719,0.321202,0.321202,3090471.0,3090471.0,-0.01178,-3.538,0.32764,"September 06, 22",-0.03538
2022-09-05,0.331817,0.333663,0.322506,0.332926,0.332926,1773397.0,1773397.0,0.00111,0.335,0.3297,"September 05, 22",0.00335
2022-09-04,0.329673,0.332668,0.327511,0.331745,0.331745,494586.0,494586.0,0.00207,0.628,0.33064,"September 04, 22",0.00628
2022-09-03,0.3317,0.335636,0.326512,0.32961,0.32961,1011560.0,1011560.0,-0.00209,-0.63,0.33059,"September 03, 22",-0.0063
2022-09-02,0.333398,0.335292,0.325347,0.331526,0.331526,1807210.0,1807210.0,-0.00187,-0.561,0.33072,"September 02, 22",-0.00561
2022-09-01,0.32796,0.333514,0.321686,0.333406,0.333406,1378124.0,1378124.0,0.00545,1.662,0.32954,"September 01, 22",0.01662
2022-08-31,0.326897,0.333902,0.323471,0.327734,0.327734,1228741.0,1228741.0,8.4E-4,0.257,0.32837,"August 31, 22",0.00257
2022-08-30,0.334029,0.335808,0.320142,0.326571,0.326571,1694309.0,1694309.0,-0.00746,-2.233,0.32751,"August 30, 22",-0.02233
2022-08-29,0.322261,0.334318,0.318769,0.334133,0.334133,1785914.0,1785914.0,0.01187,3.683,0.32907,"August 29, 22",0.03683
2022-08-28,0.334917,0.337476,0.321445,0.322524,0.322524,889757.0,889757.0,-0.01239,-3.699,0.32715,"August 28, 22",-0.03699
2022-08-27,0.33924,0.345195,0.327926,0.33511,0.33511,1985082.0,1985082.0,-0.00413,-1.217,0.33608,"August 27, 22",-0.01217
2022-08-26,0.348995,0.370786,0.332707,0.339095,0.339095,4105715.0,4105715.0,-0.0099,-2.837,0.34753,"August 26, 22",-0.02837
2022-08-25,0.345795,0.352032,0.343646,0.34909,0.34909,1340019.0,1340019.0,0.0033,0.954,0.34826,"August 25, 22",0.00954
2022-08-24,0.347177,0.352602,0.338836,0.345497,0.345497,1803678.0,1803678.0,-0.00168,-0.484,0.34564,"August 24, 22",-0.00484
2022-08-23,0.344051,0.347891,0.332658,0.347021,0.347021,1728860.0,1728860.0,0.00297,0.863,0.34252,"August 23, 22",0.00863
2022-08-22,0.344708,0.345132,0.331476,0.344071,0.344071,1751386.0,1751386.0,-6.4E-4,-0.186,0.34023,"August 22, 22",-0.00186
2022-08-21,0.337019,0.356759,0.335627,0.344721,0.344721,3230298.0,3230298.0,0.0077,2.285,0.3457,"August 21, 22",0.02285
2022-08-20,0.334673,0.342826,0.332027,0.336874,0.336874,1914229.0,1914229.0,0.0022,0.657,0.33724,"August 20, 22",0.00657
2022-08-19,0.370222,0.370383,0.329169,0.334556,0.334556,5284757.0,5284757.0,-0.03567,-9.635,0.3447,"August 19, 22",-0.09635
2022-08-18,0.379637,0.38129,0.369386,0.370347,0.370347,1483407.0,1483407.0,-0.00929,-2.447,0.37367,"August 18, 22",-0.02447
2022-08-17,0.377351,0.392347,0.365951,0.379418,0.379418,2775243.0,2775243.0,0.00207,0.549,0.37924,"August 17, 22",0.00549
2022-08-16,0.375429,0.378146,0.367088,0.377022,0.377022,1729103.0,1729103.0,0.00159,0.424,0.37408,"August 16, 22",0.00424
2022-08-15,0.375589,0.384969,0.366517,0.375124,0.375124,1281311.0,1281311.0,-4.7E-4,-0.125,0.37554,"August 15, 22",-0.00125
2022-08-14,0.377807,0.392094,0.374016,0.375905,0.375905,935746.0,935746.0,-0.0019,-0.503,0.38067,"August 14, 22",-0.00503
2022-08-13,0.380032,0.386849,0.376318,0.377909,0.377909,792024.0,792024.0,-0.00212,-0.558,0.38036,"August 13, 22",-0.00558
2022-08-12,0.380106,0.380276,0.370163,0.379998,0.379998,931346.0,931346.0,-1.1E-4,-0.029,0.37681,"August 12, 22",-2.9E-4
2022-08-11,0.381331,0.385768,0.377084,0.38014,0.38014,1161961.0,1161961.0,-0.00119,-0.312,0.381,"August 11, 22",-0.00312
2022-08-10,0.367072,0.381457,0.358507,0.381409,0.381409,1239627.0,1239627.0,0.01434,3.907,0.37379,"August 10, 22",0.03907
2022-08-09,0.378793,0.37986,0.360937,0.367306,0.367306,1712271.0,1712271.0,-0.01149,-3.033,0.36937,"August 09, 22",-0.03033
2022-08-08,0.372323,0.384724,0.371065,0.3786,0.3786,1378507.0,1378507.0,0.00628,1.687,0.37813,"August 08, 22",0.01687
2022-08-07,0.371117,0.377014,0.368345,0.37211,0.37211,490112.0,490112.0,9.9E-4,0.267,0.37249,"August 07, 22",0.00267
2022-08-06,0.376497,0.377984,0.370417,0.37116,0.37116,858892.0,858892.0,-0.00534,-1.418,0.37319,"August 06, 22",-0.01418
2022-08-05,0.371274,0.378423,0.367377,0.376065,0.376065,2020611.0,2020611.0,0.00479,1.29,0.37396,"August 05, 22",0.0129
2022-08-04,0.369687,0.374651,0.364444,0.370709,0.370709,1328573.0,1328573.0,0.00102,0.276,0.36993,"August 04, 22",0.00276
2022-08-03,0.371195,0.377385,0.363186,0.369564,0.369564,1329912.0,1329912.0,-0.00163,-0.439,0.37004,"August 03, 22",-0.00439
2022-08-02,0.379318,0.392949,0.36699,0.371516,0.371516,1972480.0,1972480.0,-0.0078,-2.056,0.37715,"August 02, 22",-0.02056
2022-08-01,0.379142,0.385859,0.371017,0.379365,0.379365,2429429.0,2429429.0,2.2E-4,0.058,0.37875,"August 01, 22",5.8E-4
2022-07-31,0.387775,0.398714,0.378333,0.37918,0.37918,2543514.0,2543514.0,-0.0086,-2.218,0.38541,"July 31, 22",-0.02218
2022-07-30,0.368044,0.409972,0.363048,0.38793,0.38793,8098857.0,8098857.0,0.01989,5.404,0.38698,"July 30, 22",0.05404
2022-07-29,0.373794,0.380115,0.35984,0.368143,0.368143,3024714.0,3024714.0,-0.00565,-1.512,0.36937,"July 29, 22",-0.01512
2022-07-28,0.359355,0.378899,0.349614,0.373746,0.373746,2757366.0,2757366.0,0.01439,4.004,0.36742,"July 28, 22",0.04004
2022-07-27,0.337373,0.359541,0.33042,0.359261,0.359261,2281660.0,2281660.0,0.02189,6.488,0.34974,"July 27, 22",0.06488
2022-07-26,0.335655,0.338471,0.325525,0.33745,0.33745,1760633.0,1760633.0,0.00179,0.533,0.33382,"July 26, 22",0.00533
2022-07-25,0.358648,0.359859,0.335385,0.335912,0.335912,3827237.0,3827237.0,-0.02274,-6.34,0.34372,"July 25, 22",-0.0634
2022-07-24,0.359518,0.366708,0.355979,0.358508,0.358508,1140287.0,1140287.0,-0.00101,-0.281,0.3604,"July 24, 22",-0.00281
