date,open,high,low,close,volume
1/3/1977,0.9947,1.0062,0.9947,0.9969,2168000
1/4/1977,0.9969,1.004,0.9761,0.9808,1606400
1/5/1977,0.9808,1.0018,0.9761,0.9783,1430400
1/6/1977,0.9783,1.0018,0.9761,0.9808,2126400
1/7/1977,0.9808,0.9854,0.9715,0.9832,2707200
1/10/1977,0.9832,0.9969,0.9832,0.9901,2297600
1/11/1977,0.9901,0.9969,0.9808,0.9854,2340800
1/12/1977,0.9854,0.9854,0.9739,0.9783,3732800
1/13/1977,0.9783,0.9854,0.9783,0.9808,2276800
1/14/1977,0.9808,0.9808,0.969,0.9783,3102400
1/17/1977,0.9761,0.9761,0.9668,0.969,2334400
1/18/1977,0.969,0.9715,0.9668,0.969,1716800
1/19/1977,0.969,0.9761,0.9622,0.9739,2534400
1/20/1977,0.9739,0.9783,0.9622,0.969,2712000
1/21/1977,0.969,0.9715,0.9553,0.9622,3480000
1/24/1977,0.9622,0.9739,0.9575,0.9715,2281600
1/25/1977,0.9761,0.9925,0.9761,0.9876,2707200
1/26/1977,0.9876,0.9925,0.9854,0.9876,1569600
1/27/1977,0.9876,0.9993,0.9808,0.9876,2929600
1/28/1977,0.9876,0.9925,0.9808,0.9925,2896000
1/31/1977,0.9925,0.9969,0.9876,0.9947,2848000
2/1/1977,0.9947,1.0133,0.9947,1.0086,2633600
2/2/1977,1.0133,1.0248,1.0133,1.0179,3579200
2/3/1977,1.0179,1.0226,1.0062,1.0062,2350400
2/4/1977,0.9969,0.9969,0.9854,0.9854,2788800
2/7/1977,0.9876,1.0018,0.9876,0.9947,2430400
2/8/1977,0.9947,0.9993,0.9854,0.9901,3465600
2/9/1977,0.9854,0.9854,0.969,0.9739,2787200
2/10/1977,0.9715,0.9715,0.9622,0.9646,2089600
2/11/1977,0.9646,0.969,0.9553,0.9622,1889600
2/14/1977,0.9622,0.9761,0.9597,0.9715,2038400
2/15/1977,0.9715,0.9739,0.9668,0.9715,3377600
2/16/1977,0.9715,0.9783,0.9668,0.9668,4060800
2/17/1977,0.9668,0.969,0.9504,0.9553,2283200
2/18/1977,0.9553,0.9622,0.9319,0.9319,4089600
2/22/1977,0.9319,0.9412,0.9319,0.9367,1766400
2/23/1977,0.9367,0.9436,0.9367,0.9389,1462400
2/24/1977,0.9389,0.9436,0.9343,0.9412,1491200
2/25/1977,0.9412,0.946,0.9343,0.9389,1524800
2/28/1977,0.9389,0.946,0.9367,0.946,1704000
3/1/1977,0.946,0.9668,0.9436,0.9668,2452800
3/2/1977,0.9668,0.9715,0.9597,0.969,1971200
3/3/1977,0.969,0.9739,0.9646,0.969,2185600
3/4/1977,0.969,0.9739,0.9622,0.9715,2230400
3/7/1977,0.9715,0.9739,0.9668,0.969,2257600
3/8/1977,0.969,0.9761,0.9529,0.9668,2014400
3/9/1977,0.9646,0.9646,0.9575,0.9622,2510400
3/10/1977,0.9622,0.9715,0.9553,0.9715,3180800
3/11/1977,0.9715,0.9783,0.969,0.9739,2432000
3/14/1977,0.9739,0.9761,0.9668,0.9761,1832000
3/15/1977,0.9761,0.9876,0.9739,0.9739,2419200
3/16/1977,0.9739,0.9761,0.9646,0.9668,1790400
3/17/1977,0.9668,0.9668,0.9553,0.9622,1443200
3/18/1977,0.9622,0.9622,0.9504,0.9529,1291200
3/21/1977,0.9529,0.9575,0.9482,0.9504,1310400
3/22/1977,0.9504,0.9529,0.9319,0.9529,2104000
3/23/1977,0.9389,0.9389,0.9226,0.925,2601600
3/24/1977,0.925,0.9343,0.925,0.9296,3246400
3/25/1977,0.9296,0.9367,0.9296,0.9319,1668800
3/28/1977,0.9319,0.9412,0.9274,0.9367,3235200
3/29/1977,0.9389,0.9504,0.9389,0.9504,2243200
3/30/1977,0.9504,0.9504,0.9367,0.9389,2196800
3/31/1977,0.9389,0.9482,0.9319,0.9436,1188800
4/1/1977,0.9436,0.9482,0.9436,0.9482,1272000
4/4/1977,0.9482,0.9482,0.9412,0.9412,1308800
4/5/1977,0.9412,0.9436,0.9343,0.9412,1931200
4/6/1977,0.9412,0.9436,0.9367,0.9367,1217600
4/7/1977,0.9367,0.9436,0.9296,0.9436,1843200
4/11/1977,0.9436,0.9553,0.9389,0.9553,2857600
4/12/1977,0.9553,0.9761,0.9319,0.9668,2572800
4/13/1977,0.9668,0.9739,0.9597,0.9622,2102400
4/14/1977,0.969,0.9854,0.969,0.9761,2118400
4/15/1977,0.9761,0.9876,0.969,0.9783,3169600
4/18/1977,0.9783,0.9808,0.9715,0.9761,1793600
4/19/1977,0.9761,0.9783,0.969,0.9739,4412800
4/20/1977,0.9739,0.9783,0.9597,0.9715,3409600
4/21/1977,0.9715,0.9832,0.9715,0.9715,2012800
4/22/1977,0.9715,0.9715,0.9622,0.9646,1624000
4/25/1977,0.9597,0.9597,0.9412,0.946,1830400
4/26/1977,0.946,0.9553,0.946,0.9529,1872000
4/27/1977,0.9529,0.9646,0.9504,0.9575,1532800
4/28/1977,0.9575,0.9668,0.9575,0.9597,1740800
4/29/1977,0.9597,0.9646,0.9529,0.9597,1291200
5/2/1977,0.9597,0.9715,0.9575,0.9715,1737600
5/3/1977,0.9739,0.9832,0.9739,0.9761,1684800
5/4/1977,0.9761,0.9832,0.9715,0.9783,1446400
5/5/1977,0.9783,0.9876,0.9739,0.9832,1374400
5/6/1977,0.9808,0.9808,0.969,0.9783,1864000
5/9/1977,0.969,0.969,0.9575,0.9597,1843200
5/10/1977,0.9597,0.9668,0.9575,0.9646,2523200
5/11/1977,0.9646,0.9646,0.9482,0.9504,1635200
5/12/1977,0.9504,0.9553,0.9412,0.9504,2459200
5/13/1977,0.9504,0.9597,0.9504,0.9553,1520000
5/16/1977,0.9553,0.9668,0.9553,0.9597,1217600
5/17/1977,0.9597,0.9646,0.9553,0.9622,1201600
5/18/1977,0.9622,0.9761,0.9575,0.9622,2124800
5/19/1977,0.9646,0.9761,0.9646,0.9739,2372800
5/20/1977,0.9739,0.9761,0.969,0.969,1476800
5/23/1977,0.969,0.9761,0.9553,0.9553,1724800
5/24/1977,0.9553,0.9622,0.9482,0.9575,1872000
5/25/1977,0.9575,0.9575,0.946,0.9529,1793600
