date,open,high,low,close,volume
5/23/2002,1.1564,1.2429,1.1457,1.1964,104790000
5/24/2002,1.2143,1.225,1.1971,1.21,11104800
5/28/2002,1.2136,1.2321,1.1571,1.1571,6609400
5/29/2002,1.1643,1.1643,1.0857,1.1036,6757800
5/30/2002,1.1079,1.1079,1.0714,1.0714,10154200
5/31/2002,1.0786,1.0786,1.0714,1.0764,8464400
6/3/2002,1.08,1.1493,1.0764,1.1286,3151400
6/4/2002,1.1357,1.14,1.1107,1.1179,3105200
6/5/2002,1.1107,1.1593,1.1071,1.1471,1531600
6/6/2002,1.15,1.2321,1.1486,1.1821,2305800
6/7/2002,1.1779,1.1779,1.1036,1.1186,1369200
6/10/2002,1.135,1.175,1.135,1.1564,484400
6/11/2002,1.1564,1.1886,1.1286,1.1536,1003800
6/12/2002,1.1536,1.1821,1.0893,1.0929,1799000
6/13/2002,1.1043,1.1221,1.08,1.0829,2567600
6/14/2002,1.0821,1.0857,0.98,0.9864,4783800
6/17/2002,1.0136,1.0593,0.9179,0.9221,4855200
6/18/2002,0.9386,0.9393,0.8421,0.9107,10808000
6/19/2002,0.9114,0.9964,0.8929,0.9514,5482400
6/20/2002,0.9714,1.04,0.95,0.9571,6111000
6/21/2002,0.9821,0.9893,0.9479,0.9793,2346400
6/24/2002,0.9793,1.0143,0.9571,0.9786,2567600
6/25/2002,0.9886,1.0071,0.9471,0.9643,3941000
6/26/2002,0.9636,0.9964,0.9214,0.9886,2924600
6/27/2002,1.0093,1.0186,0.9436,0.9436,3817800
6/28/2002,0.9607,1.0136,0.9607,0.9993,9234400
7/1/2002,1,1.0464,0.9929,1.0279,4585000
7/2/2002,1.0536,1.1957,1.0393,1.1729,9020200
7/3/2002,1.1786,1.2143,1.1179,1.2143,4957400
7/5/2002,1.2143,1.2993,1.2136,1.2764,2003400
7/8/2002,1.2521,1.2521,1.1679,1.1757,1953000
7/9/2002,1.175,1.1964,1.1143,1.1607,2935800
7/10/2002,1.1614,1.1786,1.1321,1.1636,1554000
7/11/2002,1.1543,1.2786,1.1329,1.2693,2529800
7/12/2002,1.2786,1.28,1.2071,1.2079,2837800
7/15/2002,1.2429,1.2486,1.0764,1.1429,4239200
7/16/2002,1.1529,1.1571,1.1043,1.1264,1941800
7/17/2002,1.145,1.1636,1.0757,1.0893,1261400
7/18/2002,1.1171,1.1664,1.1107,1.1493,2899400
7/19/2002,1.1529,1.1607,1.1221,1.16,1792000
7/22/2002,1.1357,1.1793,1.1157,1.1707,1993600
7/23/2002,1.1764,1.2136,1.1307,1.1464,1577800
7/24/2002,1.1464,1.1593,1.0743,1.1143,3355800
7/25/2002,1.125,1.1279,1.035,1.0364,4755800
7/26/2002,1.05,1.0586,0.85,0.8714,7046200
