Date,Open,High,Low,Close,Adj Close,Volume,Daily percent Change
1/4/2000,6000,6110,5660,6110,4651.737793,74195000,0.018333333
1/5/2000,5800,6060,5520,5580,4248.232422,74680000,-0.037931034
1/6/2000,5750,5780,5580,5620,4278.686523,54390000,-0.022608696
1/7/2000,5560,5670,5360,5540,4217.780273,40305000,-0.003597122
1/10/2000,5600,5770,5580,5770,4392.884766,46880000,0.030357143
1/11/2000,5820,6100,5770,5770,4392.884766,59745000,-0.008591065
1/12/2000,5610,5740,5600,5720,4354.818359,29220000,0.019607843
1/13/2000,5600,5740,5560,5710,4347.205078,41190000,0.019642857
1/14/2000,5720,5880,5680,5830,4438.565918,49375000,0.019230769
1/17/2000,6000,6180,5920,6100,4644.125,63505000,0.016666667
1/18/2000,6160,6160,5980,6100,4644.125,45260000,-0.00974026
1/19/2000,6000,6040,5960,5960,4537.538574,40205000,-0.006666667
1/20/2000,5860,6040,5820,6040,4598.444824,37315000,0.030716724
1/21/2000,5950,5980,5880,5880,4476.631836,32535000,-0.011764706
1/24/2000,5800,5900,5700,5700,4339.591309,34355000,-0.017241379
1/25/2000,5520,5640,5440,5440,4141.645996,44250000,-0.014492754
1/26/2000,5500,5520,5410,5480,4172.099121,29285000,-0.003636364
1/27/2000,5480,5620,5430,5520,4202.552734,27900000,0.00729927
1/28/2000,5640,5880,5540,5820,4430.95166,38315000,0.031914894
1/31/2000,5640,5730,5560,5580,4248.232422,39630000,-0.010638298
2/1/2000,5600,5680,5260,5320,4050.285889,71470000,-0.05
2/2/2000,5220,5370,5110,5250,3996.992188,64105000,0.005747126
2/3/2000,5250,5460,4970,5130,3905.632813,142765000,-0.022857143
2/4/2000,5130,5130,5130,5130,3905.632813,0,0
2/7/2000,5140,5330,5040,5240,3989.381104,64140000,0.019455253
2/8/2000,5340,5480,5310,5430,4134.033203,58460000,0.016853933
2/9/2000,5560,5720,5480,5720,4354.818359,51050000,0.028776978
2/10/2000,5660,5880,5600,5760,4385.270508,61845000,0.017667845
2/11/2000,5960,5960,5680,5700,4339.591309,34660000,-0.043624161
2/14/2000,5600,5660,5340,5380,4095.96582,44140000,-0.039285714
2/15/2000,5380,5420,5140,5200,3958.927246,38315000,-0.033457249
