date,open,high,low,close,volume,Daily percent change
5/15/1997,7.5921,7.6528,7.5521,7.6112,1231200,0.00250946
5/16/1997,7.6178,7.6579,7.5184,7.5569,1403600,-0.00805886
5/19/1997,7.5777,7.5986,7.5376,7.5376,1256400,-0.005319996
5/20/1997,7.698,7.9995,7.698,7.8584,10082400,0.02041128
5/21/1997,8.0188,8.0188,7.7173,7.7381,7391200,-0.036275055
5/22/1997,7.7381,7.759,7.6371,7.7173,1531200,-0.002695243
5/23/1997,7.698,7.7173,7.6788,7.698,2010000,0
5/27/1997,7.6178,7.698,7.5986,7.6788,2907600,0.00794395
5/28/1997,7.698,7.759,7.6788,7.698,8310000,0
5/29/1997,7.698,7.759,7.698,7.7381,834800,0.005182151
5/30/1997,7.6788,7.9193,7.6579,7.7173,2105600,0.004988791
6/2/1997,7.7782,8.0589,7.7782,7.9995,3769200,0.027664229
6/3/1997,7.7381,8.038,7.7381,8.0188,4302400,0.035005238
6/4/1997,7.9787,8.1791,7.9787,8.1391,3296000,0.019707339
6/5/1997,8.2192,8.4598,8.1791,8.3588,4014000,0.016700962
6/6/1997,8.4005,8.54,8.3395,8.4598,7227600,0.007009622
6/9/1997,8.4807,8.4807,8.4005,8.4197,2985600,-0.007244914
6/10/1997,8.4197,8.5191,8.4005,8.4598,2218000,0.004740065
6/11/1997,8.4807,8.4807,8.3796,8.439,3458000,-0.004941344
6/12/1997,8.5191,8.54,8.4197,8.54,2769200,0.002447307
6/13/1997,8.54,8.5993,8.5191,8.5801,3122000,0.004673605
6/16/1997,8.6603,8.7806,8.4598,8.4807,3571600,-0.021177497
6/17/1997,8.4999,8.5191,8.4005,8.4807,3666000,-0.002263964
6/18/1997,8.4807,8.5191,8.4598,8.4807,3783600,0
6/19/1997,8.4807,8.641,8.4598,8.6202,8659200,0.016182919
6/20/1997,8.6202,8.6795,8.5801,8.5993,2004800,-0.00243043
6/23/1997,8.5608,8.6603,8.3796,8.3796,1740000,-0.021623944
6/24/1997,8.4598,8.4598,8.3203,8.4197,1613200,-0.00476264
6/25/1997,8.4197,8.4999,8.1984,8.439,1890800,0.002287001
6/26/1997,8.4005,8.5897,8.2497,8.3892,2646000,-0.00134697
6/27/1997,8.6202,8.7806,8.5801,8.7501,1639600,0.014845545
6/30/1997,8.7501,8.7806,8.5191,8.5304,3409200,-0.025754947
7/1/1997,8.5095,8.8511,8.5095,8.7709,2429600,0.029803099
7/2/1997,8.7308,8.8511,8.71,8.8207,3274800,0.010191935
7/3/1997,8.8607,9.0003,8.8607,8.9714,1769200,0.012339211
7/7/1997,9.2617,9.3018,8.9409,8.9506,2299200,-0.034757446
7/8/1997,9.0003,9.0003,8.9008,8.9409,2405200,-0.006643626
7/9/1997,8.9201,9.0612,8.8816,8.9008,2922000,-0.002168344
7/10/1997,8.8816,8.9201,8.7501,8.8207,3788800,-0.006904214
7/11/1997,8.7405,8.8912,8.7405,8.8607,3158800,0.01356552
7/14/1997,8.8607,8.9714,8.8207,8.9714,2883600,0.012339211
7/15/1997,8.981,9.1414,8.9008,9.1414,2662800,0.017546546
7/16/1997,9.1414,9.2023,9.0805,9.1719,1727600,0.003325374
7/17/1997,9.151,9.1606,9.0115,9.1606,1660400,0.001047966
7/18/1997,9.151,9.2825,9.1318,9.1719,2002000,0.002278699
7/21/1997,9.1414,9.1815,8.9409,8.9618,1162000,-0.020040617
7/22/1997,8.9506,9.2216,8.9409,9.212,2809600,0.028376031
7/23/1997,9.212,9.212,9.0708,9.1414,1980000,-0.007723106
7/24/1997,9.1414,9.4012,9.1414,9.382,2678800,0.025644852
7/25/1997,9.3627,9.5423,9.3627,9.4012,2933200,0.004095222
7/28/1997,9.3627,9.5327,9.3114,9.4429,2172400,0.008493154
7/29/1997,9.5824,9.9032,9.5616,9.9032,3223600,0.03239357
7/30/1997,9.9032,10.1742,9.8438,10.1742,4070400,0.026636001
