Date,Open,High,Low,Close,Adj Close,Volume,Daily percent change
5/15/1997,15,15.25,14.9375,15.25,10.027265,7079600,0.016666667
5/16/1997,15.25,15.25,14.9375,14.9375,9.821787,9377800,-0.020491803
5/19/1997,15,15.25,14.9375,15.25,10.027265,4611400,0.016666667
5/20/1997,15.125,15.25,15.125,15.25,10.027265,4256400,0.008264463
5/21/1997,15.25,15.3125,14.9375,15,9.862885,7292000,-0.016393443
5/22/1997,15.0625,15.125,14.75,14.875,9.780691,4103600,-0.012448133
5/23/1997,15,15.0625,14.875,15.0625,9.903981,2977400,0.004166667
5/27/1997,14.8125,15.0625,14.75,14.9375,9.821787,3677000,0.008438819
5/28/1997,14.9375,15.0625,14.875,15,9.862885,5154200,0.0041841
5/29/1997,15,15.1875,14.875,15.0625,9.903981,4498400,0.004166667
5/30/1997,15,15,14.875,14.9375,9.821787,4833200,-0.004166667
6/2/1997,15,15.3125,14.9375,15.1875,9.986171,6997600,0.0125
6/3/1997,15.25,15.5625,15.25,15.4375,10.150555,8021000,0.012295082
6/4/1997,15.375,15.625,15.3125,15.4375,10.150555,7040800,0.004065041
6/5/1997,15.5,15.59375,15.4375,15.5,10.191647,5768400,0
6/6/1997,15.375,15.6875,15.3125,15.6875,10.314932,5191600,0.020325203
6/9/1997,15.8125,15.9375,15.71875,15.9375,10.479314,5852200,0.007905138
6/10/1997,16,16,15.6875,15.6875,10.314932,7141400,-0.01953125
6/11/1997,15.5,15.75,15.4375,15.6875,10.314932,7370200,0.012096774
6/12/1997,15.75,15.875,15.6875,15.8125,10.397126,7285000,0.003968254
6/13/1997,15.875,16.0625,15.875,16,10.520406,7488200,0.007874016
6/16/1997,16.0625,16.5,16.0625,16.4375,10.808076,7177600,0.023346304
6/17/1997,16.5625,16.75,16.5,16.6875,10.972462,8668400,0.00754717
6/18/1997,16.5,16.5625,16.4375,16.5,10.87132,4703400,0
6/19/1997,16.5,16.5625,16.4375,16.5,10.87132,5087200,0
6/20/1997,16.5625,16.875,16.5,16.875,11.118395,11852000,0.018867925
6/23/1997,16.75,16.875,16.3125,16.3125,10.747787,4654600,-0.026119403
6/24/1997,16.3125,16.8125,16.25,16.78125,11.056629,5773800,0.028735632
6/25/1997,16.78125,16.90625,16.125,16.34375,10.768373,9015800,-0.026070764
6/26/1997,16.4375,16.8125,16.34375,16.5,10.87132,6051600,0.003802281
6/27/1997,16.625,16.65625,16.34375,16.34375,10.768373,5120400,-0.016917293
6/30/1997,16.5625,16.96875,16.375,16.90625,11.138982,8478600,0.020754717
7/1/1997,16.96875,17.03125,16.8125,16.96875,11.180163,7282000,0
7/2/1997,17,17.25,16.8125,17.25,11.365478,4709600,0.014705882
7/3/1997,17.40625,17.78125,17.40625,17.71875,11.674317,6471400,0.017953321
7/7/1997,17.84375,18,17.5,17.59375,11.591959,8523600,-0.014010508
7/8/1997,17.53125,17.5625,17.40625,17.5,11.530194,4510800,-0.001782531
7/9/1997,17.53125,17.59375,16.59375,16.8125,11.077218,8805200,-0.040998217
7/10/1997,17,17.75,17,17.53125,11.550778,10703600,0.03125
7/11/1997,17.5625,17.75,17.53125,17.71875,11.674317,6099800,0.008896797
7/14/1997,17.78125,17.875,17.65625,17.84375,11.756667,7645800,0.003514938
7/15/1997,17.84375,17.875,17.53125,17.875,11.777267,5570200,0.001751313
7/16/1997,17.84375,18,17.78125,17.90625,11.797855,6320800,0.003502627
7/17/1997,17.875,17.90625,17.6875,17.75,11.694906,7179800,-0.006993007
7/18/1997,17.625,18.03125,17.3125,17.5,11.530194,8954400,-0.007092199
7/21/1997,17.4375,17.875,17.40625,17.875,11.777267,10963000,0.025089606
7/22/1997,17.875,18.09375,17.71875,18.0625,11.9008,9170000,0.01048951
7/23/1997,18.09375,18.5625,17.78125,18.25,12.024337,13508200,0.008635579
7/24/1997,18.40625,18.625,18.15625,18.5,12.189055,6680200,0.005093379
7/25/1997,18.59375,19.375,18.59375,19.1875,12.642026,10161000,0.031932773
7/28/1997,19.125,19.5625,19.125,19.28125,12.703793,7858600,0.008169935
7/29/1997,19.34375,19.375,18.75,18.875,12.436131,6814400,-0.024232633
7/30/1997,18.96875,19.03125,18.8125,18.9375,12.477309,5946600,-0.001647446
7/31/1997,18.84375,18.9375,18.75,18.75,12.353775,4621800,-0.004975124
8/1/1997,18.75,18.75,18.125,18.34375,12.086109,7329000,-0.021666667
8/4/1997,18.375,19.125,18.375,18.9375,12.477309,6059400,0.030612245
8/5/1997,18.9375,18.96875,18.6875,18.8125,12.394952,3881000,-0.00660066
8/6/1997,18.71875,19.21875,18.6875,19.1875,12.642026,6216800,0.025041736
8/7/1997,19.28125,19.5,18.96875,19.03125,12.539083,6682600,-0.012965964
8/8/1997,18.875,19,18.09375,18.53125,12.209648,5889000,-0.018211921
8/11/1997,18.59375,18.625,18.21875,18.5,12.189055,6363800,-0.005042017
8/12/1997,18.5625,18.75,17.875,17.96875,11.839033,7440400,-0.031986532
8/13/1997,18.25,18.625,17.875,18.46875,12.168464,9353600,0.011986301
8/14/1997,18.53125,18.53125,17.53125,17.90625,11.797855,6712600,-0.033726813
8/15/1997,17.5,17.96875,17.375,17.53125,11.550778,11314000,0.001785714
8/18/1997,17.59375,17.9375,17.40625,17.84375,11.756667,5781600,0.014209591
8/19/1997,17.90625,17.96875,17.59375,17.9375,11.818447,5638200,0.001745201
8/20/1997,17.96875,18.78125,17.96875,18.59375,12.250819,8134600,0.034782609
8/21/1997,18.65625,18.6875,18.21875,18.34375,12.086109,4458800,-0.016750419
8/22/1997,18,18.25,17.5,18.125,11.94198,8065200,0.006944444
8/25/1997,18.125,18.46875,18,18.375,12.106697,4053600,0.013793103
8/26/1997,18.28125,18.46875,17.875,18.03125,11.880212,4279800,-0.013675214
8/27/1997,17.90625,18.15625,17.65625,17.96875,11.839033,4465600,0.003490401
8/28/1997,17.75,18.125,17.625,17.78125,11.715496,4469000,0.001760563
8/29/1997,17.6875,17.90625,17.59375,17.75,11.694906,3977400,0.003533569
9/2/1997,17.96875,18.84375,17.9375,18.84375,12.41554,6798000,0.048695652
9/3/1997,18.8125,19.15625,18.78125,19,12.518491,6731000,0.009966777
9/4/1997,18.96875,19.34375,18.9375,19.03125,12.539083,5832800,0.003294893
9/5/1997,19.0625,19.28125,18.5,18.90625,12.456722,5059000,-0.008196721
9/8/1997,19.21875,19.25,18.96875,19.15625,12.62144,3841200,-0.003252033
9/9/1997,19.21875,19.53125,19.0625,19.3125,12.72439,6373600,0.004878049
9/10/1997,19.25,19.75,18.75,18.8125,12.394952,7342200,-0.022727273
9/11/1997,18.75,19.0625,18.53125,19.0625,12.559669,6923200,0.016666667
9/12/1997,19.0625,19.5,18.59375,19.375,12.765567,5563200,0.016393443
9/15/1997,19.40625,19.53125,19.09375,19.125,12.600852,3221000,-0.014492754
9/16/1997,19.375,19.5,19,19.125,12.600852,8188200,-0.012903226
9/17/1997,19.15625,19.3125,19,19,12.540786,5926600,-0.008156607
9/18/1997,19.09375,19.40625,18.875,18.9375,12.499531,5407800,-0.008183306
9/19/1997,18.9375,19.21875,18.75,19.125,12.623292,10006600,0.00990099
9/22/1997,19.125,19.78125,19.03125,19.203125,12.674859,4088000,0.004084967
9/23/1997,19.09375,19.125,18.4375,18.53125,12.231387,6539400,-0.029459902
9/24/1997,18.65625,18.71875,18.25,18.34375,12.107634,6026800,-0.016750419
9/25/1997,18.34375,18.5,17.90625,17.96875,11.860118,5160800,-0.02044293
9/26/1997,18.03125,18.21875,18.03125,18.125,11.963247,5103600,0.005199307
9/29/1997,18.15625,18.4375,18.125,18.375,12.128259,4080200,0.012048193
9/30/1997,18.34375,18.4375,18.28125,18.3125,12.087005,4639000,-0.001703578
10/1/1997,18.46875,18.53125,18.375,18.46875,12.190133,5960800,0
10/2/1997,18.34375,18.53125,18.25,18.4375,12.169514,5407800,0.005110733
10/3/1997,18.625,18.625,18.28125,18.5,12.210767,5977600,-0.006711409
10/6/1997,18.5,18.5625,18.34375,18.4375,12.169514,4097000,-0.003378378
10/7/1997,18.3125,18.4375,18.28125,18.28125,12.066383,4512200,-0.001706485
10/8/1997,18.34375,18.34375,17.75,17.96875,11.860118,6890600,-0.02044293
10/9/1997,17.75,17.9375,17.625,17.65625,11.653855,6177400,-0.00528169
10/10/1997,17.59375,18,17.53125,17.9375,11.839489,5204600,0.019538188
10/13/1997,17.9375,18.03125,17.8125,17.84375,11.777613,3527000,-0.005226481
10/14/1997,18.125,18.125,17.84375,18,11.880746,5402800,-0.006896552
10/15/1997,17.875,18.34375,17.875,18.0625,11.921999,5505400,0.01048951
10/16/1997,18.25,18.4375,17.53125,17.84375,11.777613,4598000,-0.022260274
10/17/1997,17.75,17.84375,17,17.34375,11.447596,6395600,-0.022887324
10/20/1997,17.34375,17.71875,17.03125,17.71875,11.695103,4094200,0.021621622
10/21/1997,17.6875,18.0625,17.6875,18.03125,11.901369,4833000,0.019434629
10/22/1997,18.125,18.28125,17.71875,17.8125,11.756989,4066800,-0.017241379
10/23/1997,17.3125,17.6875,17.125,17.5625,11.591977,5362800,0.014440433
10/24/1997,17.8125,17.8125,16.84375,17.03125,11.241336,5482000,-0.043859649
10/27/1997,16.90625,17.375,15.46875,16.09375,10.622545,9108600,-0.04805915
10/28/1997,15.1875,17.5,15.125,17.28125,11.40634,15899800,0.137860082
10/29/1997,17.28125,17.9375,17.15625,17.375,11.468223,7589200,0.005424955
10/30/1997,17.0625,18.25,17.0625,17.375,11.468223,8361200,0.018315018
10/31/1997,17.71875,17.90625,17.125,17.5,11.550729,4358200,-0.012345679
11/3/1997,18.3125,18.4375,17.96875,18.15625,11.983876,5115200,-0.008532423
11/4/1997,18.09375,18.21875,17.9375,18.1875,12.004502,3871400,0.005181347
11/5/1997,18.25,18.28125,18.03125,18.03125,11.901369,4265600,-0.011986301
11/6/1997,18.03125,18.5,18.03125,18.4375,12.169514,5898400,0.022530329
11/7/1997,18.125,18.21875,17.875,18.125,11.963247,4713800,0
11/10/1997,18.3125,18.53125,18.25,18.3125,12.087005,4373200,0
11/11/1997,18.5,18.8125,18.4375,18.5625,12.252014,4364200,0.003378378
11/12/1997,18.4375,19.15625,18.40625,18.96875,12.520159,10488800,0.028813559
11/13/1997,19.125,19.3125,19,19.1875,12.664543,6268800,0.003267974
11/14/1997,19.4375,19.8125,19.40625,19.75,13.03581,8622600,0.01607717
11/17/1997,20,20.4375,19.875,19.90625,13.138946,10570200,-0.0046875
11/18/1997,19.90625,19.9375,19.5625,19.625,12.953311,6435400,-0.014128728
11/19/1997,19.5,19.96875,19.375,19.71875,13.015194,6150200,0.011217949
11/20/1997,19.875,20.0625,19.84375,19.96875,13.180195,5102200,0.004716981
11/21/1997,20.125,20.125,19.84375,20,13.200824,5785200,-0.00621118
11/24/1997,19.875,20.09375,19.75,19.78125,13.056441,5182600,-0.004716981
11/25/1997,19.90625,20.09375,19.78125,19.78125,13.056441,5853400,-0.006279435
11/26/1997,19.9375,20.03125,19.90625,19.9375,13.159574,3314600,0
11/28/1997,20.125,20.1875,19.9375,20.03125,13.221449,1746800,-0.004658385
12/1/1997,20.125,20.4375,20,20.4375,13.489601,5108000,0.01552795
12/2/1997,20.5,20.6875,20.28125,20.375,13.448345,5027200,-0.006097561
12/3/1997,20.4375,20.53125,19.9375,20.4375,13.489601,5235000,0
12/4/1997,20.5625,20.625,20.28125,20.53125,13.551474,4813800,-0.001519757
12/5/1997,20.3125,20.5625,20.28125,20.46875,13.510217,4433800,0.007692308
12/8/1997,20.53125,20.53125,20,20.1875,13.324587,3099000,-0.01674277
12/9/1997,20.25,20.3125,19.8125,20.03125,13.221449,3760400,-0.010802469
12/10/1997,19.78125,20.1875,19.78125,20.125,13.283334,4122400,0.017377567
12/11/1997,20,20.0625,19.53125,19.90625,13.138946,6202000,-0.0046875
12/12/1997,20,20.25,19.875,19.96875,13.180195,5912400,-0.0015625
12/15/1997,20.0625,20.625,20.03125,20.5625,13.572097,6761200,0.024922118
12/16/1997,20.84375,20.96875,20.15625,20.375,13.448345,7140200,-0.022488756
12/17/1997,20.5625,20.5625,19.96875,20.03125,13.243561,4561600,-0.025835866
12/18/1997,20.0625,20.0625,19.6875,19.78125,13.078258,6095200,-0.014018692
12/19/1997,19.59375,19.65625,19.0625,19.3125,12.768357,9996600,-0.014354067
12/22/1997,19.21875,19.5,19,19.0625,12.603072,3639200,-0.008130081
12/23/1997,19.1875,19.1875,18.5,18.59375,12.293156,4059200,-0.030944625
12/24/1997,19.0625,19.0625,18.375,18.59375,12.293156,3163600,-0.024590164
12/26/1997,18.5625,18.875,18.5625,18.78125,12.417124,1533400,0.011784512
12/29/1997,19,19.25,18.9375,18.96875,12.541078,2664200,-0.001644737
