date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,73.78,74.9,73.42,74.75,74.75,4627636.0,4627636.0,0.97,1.315,74.35667,"October 28, 22",0.01315
2022-10-27,74.31,74.89,73.87,74.01,74.01,4977436.0,4977436.0,-0.3,-0.404,74.25667,"October 27, 22",-0.00404
2022-10-26,74.1,74.97,73.58,74.2,74.2,6765951.0,6765951.0,0.1,0.135,74.25,"October 26, 22",0.00135
2022-10-25,71.95,73.73,71.86,73.68,73.68,6001250.0,6001250.0,1.73,2.404,73.09,"October 25, 22",0.02404
2022-10-24,72.61,73.0,71.76,71.9,71.9,6553095.0,6553095.0,-0.71,-0.978,72.22,"October 24, 22",-0.00978
2022-10-21,69.77,72.42,69.7,72.32,72.32,8309546.0,8309546.0,2.55,3.655,71.48,"October 21, 22",0.03655
2022-10-20,70.51,71.78,69.73,69.9,69.9,5708662.0,5708662.0,-0.61,-0.865,70.47,"October 20, 22",-0.00865
2022-10-19,70.73,71.32,69.98,70.41,70.41,4345493.0,4345493.0,-0.32,-0.452,70.57,"October 19, 22",-0.00452
2022-10-18,71.56,72.0,70.46,71.25,71.25,7979623.0,7979623.0,-0.31,-0.433,71.23667,"October 18, 22",-0.00433
2022-10-17,69.56,70.35,69.47,69.88,69.88,5735996.0,5735996.0,0.32,0.46,69.9,"October 17, 22",0.0046
2022-10-14,71.02,71.17,68.06,68.18,68.18,8293804.0,8293804.0,-2.84,-3.999,69.13667,"October 14, 22",-0.03999
2022-10-13,67.21,70.88,66.86,70.56,70.56,9712478.0,9712478.0,3.35,4.984,69.43333,"October 13, 22",0.04984
2022-10-12,69.09,69.16,68.51,68.55,68.55,8015249.0,8015249.0,-0.54,-0.782,68.74,"October 12, 22",-0.00782
2022-10-11,69.03,70.2,68.575,69.07,69.07,6955359.0,6955359.0,0.04,0.058,69.28167,"October 11, 22",5.8E-4
2022-10-10,69.73,70.02,69.15,69.61,69.61,5195914.0,5195914.0,-0.12,-0.172,69.59333,"October 10, 22",-0.00172
2022-10-07,70.63,70.78,69.01,69.46,69.46,5092259.0,5092259.0,-1.17,-1.657,69.75,"October 07, 22",-0.01657
2022-10-06,71.42,72.18,71.04,71.22,71.22,1.1976847E7,1.1976847E7,-0.2,-0.28,71.48,"October 06, 22",-0.0028
2022-10-05,71.78,72.57,71.17,71.98,71.98,9214760.0,9214760.0,0.2,0.279,71.90667,"October 05, 22",0.00279
2022-10-04,71.63,72.88,71.51,72.8,72.8,1.4500977E7,1.4500977E7,1.17,1.633,72.39667,"October 04, 22",0.01633
2022-10-03,69.1,70.74,68.71,70.22,70.22,9929203.0,9929203.0,1.12,1.621,69.89,"October 03, 22",0.01621
2022-09-30,68.1399994,69.2699966,67.8000031,68.0100021,68.0100021,5410400.0,5410400.0,-0.13,-0.191,68.36,"September 30, 22",-0.00191
2022-09-29,68.5500031,68.5500031,67.1999969,68.1900024,68.1900024,5727300.0,5727300.0,-0.36,-0.525,67.98,"September 29, 22",-0.00525
2022-09-28,67.8300018,69.5299988,67.5699997,69.2099991,69.2099991,6753900.0,6753900.0,1.38,2.034,68.77,"September 28, 22",0.02034
2022-09-27,68.1800003,68.5699997,66.8499985,67.4700012,67.4700012,7078900.0,7078900.0,-0.71,-1.041,67.63,"September 27, 22",-0.01041
2022-09-26,67.9400024,68.8099976,66.9800034,67.3199997,67.3199997,7489000.0,7489000.0,-0.62,-0.913,67.70333,"September 26, 22",-0.00913
2022-09-23,68.6600037,68.75,67.4100037,68.4300003,68.4300003,7005100.0,7005100.0,-0.23,-0.335,68.19667,"September 23, 22",-0.00335
2022-09-22,71.0,71.1999969,69.8099976,69.8600006,69.8600006,5876500.0,5876500.0,-1.14,-1.606,70.29,"September 22, 22",-0.01606
2022-09-21,72.8099976,72.9599991,70.6800003,70.7099991,70.7099991,8883700.0,8883700.0,-2.1,-2.884,71.45,"September 21, 22",-0.02884
2022-09-20,72.6900024,72.6900024,71.75,72.2900009,72.2900009,4774800.0,4774800.0,-0.4,-0.55,72.24333,"September 20, 22",-0.0055
2022-09-19,71.6999969,73.7900009,71.6100006,73.6900024,73.6900024,5161700.0,5161700.0,1.99001,2.775,73.03,"September 19, 22",0.02775
2022-09-16,73.0699997,73.1800003,72.1100006,72.9000015,72.4900055,8132700.0,8132700.0,-0.57999,-0.794,72.59334,"September 16, 22",-0.00794
2022-09-15,74.7699966,75.5500031,73.9400024,74.0699997,73.6534195,5208700.0,5208700.0,-1.11658,-1.493,74.38114,"September 15, 22",-0.01493
2022-09-14,75.6500015,75.7300034,74.3300018,75.0599976,74.6378479,5781200.0,5781200.0,-1.01215,-1.338,74.89928,"September 14, 22",-0.01338
2022-09-13,76.7900009,77.6600037,75.8000031,75.9899979,75.5626221,4702000.0,4702000.0,-1.22738,-1.598,76.34088,"September 13, 22",-0.01598
2022-09-12,78.8700027,79.1800003,78.3199997,78.8000031,78.3568192,4049500.0,4049500.0,-0.51318,-0.651,78.61894,"September 12, 22",-0.00651
2022-09-09,77.6800003,78.2900009,77.4700012,78.0699997,77.630928,3648300.0,3648300.0,-0.04907,-0.063,77.79698,"September 09, 22",-6.3E-4
2022-09-08,75.4100037,76.9700012,75.1399994,76.9100037,76.4774551,4398300.0,4398300.0,1.06745,1.416,76.19582,"September 08, 22",0.01416
2022-09-07,73.9199982,76.3000031,73.75,76.1699982,75.7416077,6096000.0,6096000.0,1.82161,2.464,75.26387,"September 07, 22",0.02464
2022-09-06,74.7799988,75.0500031,73.7900009,74.1200027,73.7031403,6275600.0,6275600.0,-1.07686,-1.44,74.18105,"September 06, 22",-0.0144
2022-09-02,75.5199966,76.1100006,74.0199966,74.3499985,73.9318466,7067100.0,7067100.0,-1.58815,-2.103,74.68728,"September 02, 22",-0.02103
2022-09-01,74.5,74.6299973,73.5100021,74.4199982,74.0014496,5898000.0,5898000.0,-0.49855,-0.669,74.04715,"September 01, 22",-0.00669
