date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,48.05,49.07,47.94,49.03,49.03,8190543.0,8190543.0,0.98,2.04,48.68,"October 28, 22",0.0204
2022-10-27,48.4,49.02,47.79,47.82,47.82,6867051.0,6867051.0,-0.58,-1.198,48.21,"October 27, 22",-0.01198
2022-10-26,50.58,51.3727,50.12,50.2,50.2,5772908.0,5772908.0,-0.38,-0.751,50.56423,"October 26, 22",-0.00751
2022-10-25,50.74,51.95,50.73,51.84,51.84,4645036.0,4645036.0,1.1,2.168,51.50667,"October 25, 22",0.02168
2022-10-24,50.29,50.77,49.7,50.5,50.5,6334891.0,6334891.0,0.21,0.418,50.32333,"October 24, 22",0.00418
2022-10-21,49.03,50.19,48.8794,50.15,50.15,7079340.0,7079340.0,1.12,2.284,49.7398,"October 21, 22",0.02284
2022-10-20,49.83,50.805,49.68,49.83,49.83,6769459.0,6769459.0,0.0,0.0,50.105,"October 20, 22",0.0
2022-10-19,49.78,50.425,49.42,49.71,49.71,5254288.0,5254288.0,-0.07,-0.141,49.85167,"October 19, 22",-0.00141
2022-10-18,50.37,50.49,49.23,49.67,49.67,5482470.0,5482470.0,-0.7,-1.39,49.79667,"October 18, 22",-0.0139
2022-10-17,48.8,49.62,48.76,49.3,49.3,6105462.0,6105462.0,0.5,1.025,49.22667,"October 17, 22",0.01025
2022-10-14,49.17,49.37,47.88,47.98,47.98,8173796.0,8173796.0,-1.19,-2.42,48.41,"October 14, 22",-0.0242
2022-10-13,46.65,48.975,46.473,48.78,48.78,1.0305673E7,1.0305673E7,2.13,4.566,48.076,"October 13, 22",0.04566
2022-10-12,47.72,48.0,47.41,47.63,47.63,5351338.0,5351338.0,-0.09,-0.189,47.68,"October 12, 22",-0.00189
2022-10-11,48.29,48.555,47.43,47.69,47.69,7806573.0,7806573.0,-0.6,-1.242,47.89167,"October 11, 22",-0.01242
2022-10-10,48.89,49.13,48.175,48.6,48.6,4931055.0,4931055.0,-0.29,-0.593,48.635,"October 10, 22",-0.00593
2022-10-07,49.44,49.61,48.5,48.73,48.73,4881425.0,4881425.0,-0.71,-1.436,48.94667,"October 07, 22",-0.01436
2022-10-06,50.16,50.75,49.9,50.08,50.08,6508628.0,6508628.0,-0.08,-0.159,50.24333,"October 06, 22",-0.00159
2022-10-05,49.95,50.58,49.275,50.35,50.35,5178844.0,5178844.0,0.4,0.801,50.06833,"October 05, 22",0.00801
2022-10-04,49.87,50.76,49.86,50.74,50.74,8832267.0,8832267.0,0.87,1.745,50.45333,"October 04, 22",0.01745
2022-10-03,48.44,49.475,48.3,49.23,49.23,5778234.0,5778234.0,0.79,1.631,49.00167,"October 03, 22",0.01631
2022-09-30,48.4799995,49.2299995,47.8600006,47.8899994,47.8899994,6277400.0,6277400.0,-0.59,-1.217,48.32667,"September 30, 22",-0.01217
2022-09-29,49.1599998,49.1599998,48.0400009,48.4799995,48.4799995,6384600.0,6384600.0,-0.68,-1.383,48.56,"September 29, 22",-0.01383
2022-09-28,48.1899986,49.8800011,48.1699982,49.6899986,49.6899986,7825400.0,7825400.0,1.5,3.113,49.24667,"September 28, 22",0.03113
2022-09-27,48.8100014,49.1399994,47.7999992,48.0499992,48.0499992,6616900.0,6616900.0,-0.76,-1.557,48.33,"September 27, 22",-0.01557
2022-09-26,48.8899994,49.3699989,48.1899986,48.3100014,48.3100014,6194000.0,6194000.0,-0.58,-1.186,48.62333,"September 26, 22",-0.01186
2022-09-23,49.6399994,49.7000008,48.5149994,49.1100006,49.1100006,7014300.0,7014300.0,-0.53,-1.068,49.10833,"September 23, 22",-0.01068
2022-09-22,50.0600014,50.5200005,49.8600006,50.0800018,50.0800018,6186200.0,6186200.0,0.02,0.04,50.15333,"September 22, 22",4.0E-4
2022-09-21,51.6500015,52.0299988,50.2400017,50.2599983,50.2599983,6596000.0,6596000.0,-1.39,-2.691,50.84333,"September 21, 22",-0.02691
2022-09-20,51.7799988,52.1199989,51.3600006,51.5200005,51.5200005,5358400.0,5358400.0,-0.26,-0.502,51.66667,"September 20, 22",-0.00502
2022-09-19,51.7200012,52.3300018,51.5649986,52.3300018,52.3300018,7144500.0,7144500.0,0.61,1.179,52.075,"September 19, 22",0.01179
