date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,89.9,90.63,87.65,89.25,89.25,2.4664774E7,2.4664774E7,-0.65,-0.723,89.17667,"October 28, 22",-0.00723
2022-10-27,89.84,90.44,88.67,88.94,88.94,2.4947355E7,2.4947355E7,-0.9,-1.002,89.35,"October 27, 22",-0.01002
2022-10-26,87.76,89.32,87.7,88.62,88.62,2.2708438E7,2.2708438E7,0.86,0.98,88.54667,"October 26, 22",0.0098
2022-10-25,87.0,87.83,86.53,87.43,87.43,1.8842347E7,1.8842347E7,0.43,0.494,87.26333,"October 25, 22",0.00494
2022-10-24,86.88,87.95,86.41,87.34,87.34,2.2263907E7,2.2263907E7,0.46,0.529,87.23333,"October 24, 22",0.00529
2022-10-21,84.96,87.1,84.74,86.93,86.93,2.5176376E7,2.5176376E7,1.97,2.319,86.25667,"October 21, 22",0.02319
2022-10-20,85.05,85.83,83.9812,84.49,84.49,2.5220599E7,2.5220599E7,-0.56,-0.658,84.76707,"October 20, 22",-0.00658
2022-10-19,82.23,84.72,82.2,84.41,84.41,3.1092643E7,3.1092643E7,2.18,2.651,83.77667,"October 19, 22",0.02651
2022-10-18,81.95,82.75,80.41,81.99,81.99,2.5137158E7,2.5137158E7,0.04,0.049,81.71667,"October 18, 22",4.9E-4
2022-10-17,81.54,82.62,81.05,81.28,81.28,1.8875641E7,1.8875641E7,-0.26,-0.319,81.65,"October 17, 22",-0.00319
2022-10-14,82.48,83.6701,80.12,80.28,80.28,2.6711865E7,2.6711865E7,-2.2,-2.667,81.3567,"October 14, 22",-0.02667
2022-10-13,79.07,83.71,79.05,83.39,83.39,3.4952843E7,3.4952843E7,4.32,5.464,82.05,"October 13, 22",0.05464
2022-10-12,78.96,80.675,78.44,80.12,80.12,2.0551518E7,2.0551518E7,1.16,1.469,79.745,"October 12, 22",0.01469
2022-10-11,78.62,80.85,78.29,79.48,79.48,2.6922251E7,2.6922251E7,0.86,1.094,79.54,"October 11, 22",0.01094
2022-10-10,82.12,82.82,79.86,80.12,80.12,2.3166477E7,2.3166477E7,-2.0,-2.435,80.93333,"October 10, 22",-0.02435
2022-10-07,82.61,83.54,81.21,81.8,81.8,2.8358692E7,2.8358692E7,-0.81,-0.981,82.18333,"October 07, 22",-0.00981
2022-10-06,80.34,82.69,80.28,82.44,82.44,2.6267543E7,2.6267543E7,2.1,2.614,81.80333,"October 06, 22",0.02614
2022-10-05,79.33,81.63,78.65,81.0,81.0,3.0568607E7,3.0568607E7,1.67,2.105,80.42667,"October 05, 22",0.02105
2022-10-04,77.63,79.43,77.02,79.36,79.36,3.2959464E7,3.2959464E7,1.73,2.229,78.60333,"October 04, 22",0.02229
2022-10-03,74.61,76.49,74.49,76.09,76.09,3.4533616E7,3.4533616E7,1.48,1.984,75.69,"October 03, 22",0.01984
2022-09-30,72.0199966,73.0199966,71.3199997,72.0199966,72.0199966,2.16761E7,2.16761E7,0.0,0.0,72.12,"September 30, 22",0.0
2022-09-29,72.0699997,72.75,70.8000031,72.5999985,72.5999985,2.42815E7,2.42815E7,0.53,0.735,72.05,"September 29, 22",0.00735
2022-09-28,70.2200012,73.0,69.8000031,72.5999985,72.5999985,3.15738E7,3.15738E7,2.38,3.389,71.8,"September 28, 22",0.03389
2022-09-27,69.9400024,70.8099976,69.1299973,69.5199966,69.5199966,3.38356E7,3.38356E7,-0.42001,-0.601,69.82,"September 27, 22",-0.00601
2022-09-26,70.0400009,70.9199982,68.6600037,68.75,68.75,3.60798E7,3.60798E7,-1.29,-1.842,69.44333,"September 26, 22",-0.01842
2022-09-23,72.7600021,72.9000015,69.9400024,70.4800034,70.4800034,5.27242E7,5.27242E7,-2.28,-3.134,71.10667,"September 23, 22",-0.03134
2022-09-22,77.3499985,77.5999985,75.6399994,75.6999969,75.6999969,2.8874E7,2.8874E7,-1.65,-2.133,76.31333,"September 22, 22",-0.02133
2022-09-21,78.5500031,78.6600037,75.9400024,75.9700012,75.9700012,3.43529E7,3.43529E7,-2.58,-3.285,76.85667,"September 21, 22",-0.03285
2022-09-20,77.0999985,77.5500031,76.1900024,77.0999985,77.0999985,2.11498E7,2.11498E7,0.0,0.0,76.94667,"September 20, 22",0.0
2022-09-19,75.4599991,77.6900024,75.2799988,77.6399994,77.6399994,1.88129E7,1.88129E7,2.18,2.889,76.87,"September 19, 22",0.02889
2022-09-16,79.9000015,79.9599991,77.3000031,78.4400024,77.5940018,3.51995E7,3.51995E7,-2.306,-2.886,78.28467,"September 16, 22",-0.02886
2022-09-15,80.8099976,81.1500015,79.7600021,80.1500015,79.285553,2.79432E7,2.79432E7,-1.52444,-1.886,80.06519,"September 15, 22",-0.01886
2022-09-14,80.7600021,82.8499985,80.7600021,82.2699966,81.3826904,2.71921E7,2.71921E7,0.62269,0.771,81.66423,"September 14, 22",0.00771
2022-09-13,80.8000031,82.1800003,79.6500015,80.0100021,79.1470642,3.0573E7,3.0573E7,-1.65294,-2.046,80.32569,"September 13, 22",-0.02046
2022-09-12,81.7799988,82.9700012,81.0800018,82.0800018,81.1947403,2.08659E7,2.08659E7,-0.58526,-0.716,81.74825,"September 12, 22",-0.00716
2022-09-09,80.0500031,80.9899979,79.4599991,80.5999985,79.7306976,1.93035E7,1.93035E7,-0.31931,-0.399,80.06023,"September 09, 22",-0.00399
2022-09-08,78.6500015,79.0299988,77.6900024,78.6399994,77.7918396,2.68408E7,2.68408E7,-0.85816,-1.091,78.17061,"September 08, 22",-0.01091
