date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,33.45,34.23,33.39,34.19,34.19,3.6414357E7,3.6414357E7,0.74,2.212,33.93667,"October 28, 22",0.02212
2022-10-27,33.4,33.73,33.3,33.36,33.36,4.1219956E7,4.1219956E7,-0.04,-0.12,33.46333,"October 27, 22",-0.0012
2022-10-26,33.11,33.46,33.02,33.09,33.09,3.8008986E7,3.8008986E7,-0.02,-0.06,33.19,"October 26, 22",-6.0E-4
2022-10-25,32.45,33.07,32.39,33.01,33.01,3.3896276E7,3.3896276E7,0.56,1.726,32.82333,"October 25, 22",0.01726
2022-10-24,32.38,32.77,32.28,32.62,32.62,3.912006E7,3.912006E7,0.24,0.741,32.55667,"October 24, 22",0.00741
2022-10-21,31.35,32.22,31.12,32.19,32.19,5.448824E7,5.448824E7,0.84,2.679,31.84333,"October 21, 22",0.02679
2022-10-20,31.73,32.05,31.17,31.26,31.26,4.3118576E7,4.3118576E7,-0.47,-1.481,31.49333,"October 20, 22",-0.01481
2022-10-19,32.02,32.29,31.59,31.77,31.77,3.5198397E7,3.5198397E7,-0.25,-0.781,31.88333,"October 19, 22",-0.00781
2022-10-18,32.62,32.66,31.93,32.3,32.3,4.8116368E7,4.8116368E7,-0.32,-0.981,32.29667,"October 18, 22",-0.00981
2022-10-17,31.67,32.0,31.58,31.79,31.79,4.7174304E7,4.7174304E7,0.12,0.379,31.79,"October 17, 22",0.00379
2022-10-14,31.82,32.19,30.94,31.01,31.01,6.0872323E7,6.0872323E7,-0.81,-2.546,31.38,"October 14, 22",-0.02546
2022-10-13,29.68,31.62,29.59,31.54,31.54,8.3086253E7,8.3086253E7,1.86,6.267,30.91667,"October 13, 22",0.06267
2022-10-12,30.37,30.69,30.18,30.29,30.29,4.8243553E7,4.8243553E7,-0.08,-0.263,30.38667,"October 12, 22",-0.00263
2022-10-11,30.55,30.865,30.225,30.36,30.36,5.0432799E7,5.0432799E7,-0.19,-0.622,30.48333,"October 11, 22",-0.00622
2022-10-10,31.06,31.19,30.57,30.75,30.75,3.0982341E7,3.0982341E7,-0.31,-0.998,30.83667,"October 10, 22",-0.00998
2022-10-07,31.36,31.46,30.72,30.89,30.89,3.6376358E7,3.6376358E7,-0.47,-1.499,31.02333,"October 07, 22",-0.01499
2022-10-06,31.91,32.13,31.57,31.64,31.64,3.4716797E7,3.4716797E7,-0.27,-0.846,31.78,"October 06, 22",-0.00846
2022-10-05,31.84,32.27,31.73,32.09,32.09,4.1760419E7,4.1760419E7,0.25,0.785,32.03,"October 05, 22",0.00785
2022-10-04,31.66,32.37,31.62,32.34,32.34,5.2541637E7,5.2541637E7,0.68,2.148,32.11,"October 04, 22",0.02148
2022-10-03,30.66,31.34,30.3,31.18,31.18,4.7082874E7,4.7082874E7,0.52,1.696,30.94,"October 03, 22",0.01696
2022-09-30,30.6599998,31.0400009,30.2800007,30.3600006,30.3600006,3.79516E7,3.79516E7,-0.3,-0.978,30.56,"September 30, 22",-0.00978
