date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,92.66,94.7,92.42,94.62,94.62,9161384.0,9161384.0,1.96,2.115,93.91333,"October 28, 22",0.02115
2022-10-27,92.29,93.58,92.28,92.47,92.47,9222101.0,9222101.0,0.18,0.195,92.77667,"October 27, 22",0.00195
2022-10-26,91.91,92.71,91.07,91.4,91.4,1.024751E7,1.024751E7,-0.51,-0.555,91.72667,"October 26, 22",-0.00555
2022-10-25,89.77,91.15,89.72,91.08,91.08,9808764.0,9808764.0,1.31,1.459,90.65,"October 25, 22",0.01459
2022-10-24,89.32,90.205,89.07,89.87,89.87,9152526.0,9152526.0,0.55,0.616,89.715,"October 24, 22",0.00616
2022-10-21,86.4,88.865,86.09,88.69,88.69,1.1908326E7,1.1908326E7,2.29,2.65,87.88167,"October 21, 22",0.0265
2022-10-20,87.79,88.31,86.17,86.32,86.32,8773986.0,8773986.0,-1.47,-1.674,86.93333,"October 20, 22",-0.01674
2022-10-19,88.25,88.85,87.35,88.05,88.05,7705383.0,7705383.0,-0.2,-0.227,88.08333,"October 19, 22",-0.00227
2022-10-18,88.46,88.91,87.44,88.68,88.68,1.0160769E7,1.0160769E7,0.22,0.249,88.34333,"October 18, 22",0.00249
2022-10-17,86.24,87.06,86.14,86.59,86.59,9541751.0,9541751.0,0.35,0.406,86.59667,"October 17, 22",0.00406
2022-10-14,87.25,87.4,84.56,84.74,84.74,9433509.0,9433509.0,-2.51,-2.877,85.56667,"October 14, 22",-0.02877
2022-10-13,82.85,87.085,82.76,86.64,86.64,1.8941864E7,1.8941864E7,3.79,4.575,85.495,"October 13, 22",0.04575
2022-10-12,85.39,85.79,84.73,84.77,84.77,6727864.0,6727864.0,-0.62,-0.726,85.09667,"October 12, 22",-0.00726
2022-10-11,85.12,86.6,84.89,85.44,85.44,8662235.0,8662235.0,0.32,0.376,85.64333,"October 11, 22",0.00376
2022-10-10,85.87,86.33,84.74,85.46,85.46,7565019.0,7565019.0,-0.41,-0.477,85.51,"October 10, 22",-0.00477
2022-10-07,85.99,86.13,84.64,85.16,85.16,7415910.0,7415910.0,-0.83,-0.965,85.31,"October 07, 22",-0.00965
2022-10-06,87.38,88.03,86.6,86.82,86.82,8813448.0,8813448.0,-0.56,-0.641,87.15,"October 06, 22",-0.00641
2022-10-05,87.35,88.58,86.93,87.83,87.83,7055942.0,7055942.0,0.48,0.55,87.78,"October 05, 22",0.0055
2022-10-04,86.64,88.33,86.64,88.31,88.31,9675467.0,9675467.0,1.67,1.928,87.76,"October 04, 22",0.01928
2022-10-03,83.76,86.01,83.5,85.34,85.34,8612862.0,8612862.0,1.58,1.886,84.95,"October 03, 22",0.01886
2022-09-30,83.6999969,84.4499969,82.75,82.8399963,82.8399963,8935700.0,8935700.0,-0.86,-1.027,83.34666,"September 30, 22",-0.01027
2022-09-29,84.6699982,84.75,83.1600037,83.9400024,83.9400024,9357400.0,9357400.0,-0.73,-0.862,83.95,"September 29, 22",-0.00862
2022-09-28,83.9400024,85.8899994,83.6699982,85.4199982,85.4199982,1.19201E7,1.19201E7,1.48,1.763,84.99333,"September 28, 22",0.01763
2022-09-27,84.6200027,84.8899994,82.8700027,83.5800018,83.5800018,1.21796E7,1.21796E7,-1.04,-1.229,83.78,"September 27, 22",-0.01229
2022-09-26,84.4899979,85.2099991,83.4800034,83.8600006,83.8600006,9241600.0,9241600.0,-0.63,-0.746,84.18333,"September 26, 22",-0.00746
2022-09-23,85.5100021,85.5999985,83.7099991,84.75,84.75,1.38316E7,1.38316E7,-0.76,-0.889,84.68667,"September 23, 22",-0.00889
2022-09-22,87.4800034,87.6100006,86.2399979,86.3700027,86.3700027,8925600.0,8925600.0,-1.11,-1.269,86.74,"September 22, 22",-0.01269
2022-09-21,89.6600037,90.3600006,87.6800003,87.6900024,87.6900024,1.08467E7,1.08467E7,-1.97,-2.197,88.57667,"September 21, 22",-0.02197
2022-09-20,89.3199997,89.3799973,88.1299973,88.8700027,88.8700027,6652500.0,6652500.0,-0.45,-0.504,88.79333,"September 20, 22",-0.00504
2022-09-19,88.1699982,90.1200027,88.1100006,89.9899979,89.9899979,8455400.0,8455400.0,1.82,2.064,89.40667,"September 19, 22",0.02064
2022-09-16,89.0699997,89.6100006,88.4400024,89.2099991,88.7850037,1.91414E7,1.91414E7,-0.285,-0.32,88.945,"September 16, 22",-0.0032
2022-09-15,92.0,92.6500015,90.8199997,91.1100006,90.6759491,1.06888E7,1.06888E7,-1.32405,-1.439,91.38198,"September 15, 22",-0.01439
