date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,124.87,129.85,124.87,129.58,129.58,7467301.0,7467301.0,4.71,3.772,128.1,"October 28, 22",0.03772
2022-10-27,126.08,126.85,123.89,124.18,124.18,5843858.0,5843858.0,-1.9,-1.507,124.97333,"October 27, 22",-0.01507
2022-10-26,125.23,128.26,125.03,125.61,125.61,7580553.0,7580553.0,0.38,0.303,126.3,"October 26, 22",0.00303
2022-10-25,126.37,128.56,126.37,128.47,128.47,5112827.0,5112827.0,2.1,1.662,127.8,"October 25, 22",0.01662
2022-10-24,124.87,126.52,123.35,126.06,126.06,6345090.0,6345090.0,1.19,0.953,125.31,"October 24, 22",0.00953
2022-10-21,120.8,124.6,120.43,124.34,124.34,8563417.0,8563417.0,3.54,2.93,123.12333,"October 21, 22",0.0293
2022-10-20,121.07,123.73,120.5,121.1,121.1,6214407.0,6214407.0,0.03,0.025,121.77667,"October 20, 22",2.5E-4
2022-10-19,120.32,122.23,119.81,121.03,121.03,5491177.0,5491177.0,0.71,0.59,121.02333,"October 19, 22",0.0059
2022-10-18,123.48,123.92,119.85,121.38,121.38,6994616.0,6994616.0,-2.1,-1.701,121.71667,"October 18, 22",-0.01701
2022-10-17,119.66,120.96,119.34,120.36,120.36,7294684.0,7294684.0,0.7,0.585,120.22,"October 17, 22",0.00585
2022-10-14,121.16,121.42,116.61,116.8,116.8,1.0898307E7,1.0898307E7,-4.36,-3.599,118.27667,"October 14, 22",-0.03599
2022-10-13,113.41,120.805,112.97,120.18,120.18,1.8732696E7,1.8732696E7,6.77,5.969,117.985,"October 13, 22",0.05969
2022-10-12,117.01,117.81,116.36,116.56,116.56,7052915.0,7052915.0,-0.45,-0.385,116.91,"October 12, 22",-0.00385
2022-10-11,118.06,118.875,116.05,116.92,116.92,1.0414289E7,1.0414289E7,-1.14,-0.966,117.28167,"October 11, 22",-0.00966
2022-10-10,120.77,120.94,117.55,118.74,118.74,8351041.0,8351041.0,-2.03,-1.681,119.07667,"October 10, 22",-0.01681
