date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,71.73,73.3,71.7,73.17,73.17,9545611.0,9545611.0,1.44,2.008,72.72333,"October 28, 22",0.02008
2022-10-27,71.61,72.07,71.49,71.6,71.6,9988787.0,9988787.0,-0.01,-0.014,71.72,"October 27, 22",-1.4E-4
2022-10-26,71.23,72.05,71.01,71.54,71.54,9472681.0,9472681.0,0.31,0.435,71.53333,"October 26, 22",0.00435
2022-10-25,70.31,71.16,69.91,71.07,71.07,1.0620064E7,1.0620064E7,0.76,1.081,70.71333,"October 25, 22",0.01081
2022-10-24,69.4,70.29,69.25,70.15,70.15,1.0953165E7,1.0953165E7,0.75,1.081,69.89667,"October 24, 22",0.01081
2022-10-21,67.83,69.08,67.61,68.91,68.91,9553806.0,9553806.0,1.08,1.592,68.53333,"October 21, 22",0.01592
2022-10-20,68.86,69.02,67.81,67.87,67.87,1.002327E7,1.002327E7,-0.99,-1.438,68.23333,"October 20, 22",-0.01438
2022-10-19,69.25,69.62,68.55,68.83,68.83,8985814.0,8985814.0,-0.42,-0.606,69.0,"October 19, 22",-0.00606
2022-10-18,69.28,69.62,68.74,69.15,69.15,1.1000756E7,1.1000756E7,-0.13,-0.188,69.17,"October 18, 22",-0.00188
2022-10-17,68.24,68.6,68.1,68.26,68.26,9105643.0,9105643.0,0.02,0.029,68.32,"October 17, 22",2.9E-4
2022-10-14,69.18,69.26,67.42,67.53,67.53,1.1611631E7,1.1611631E7,-1.65,-2.385,68.07,"October 14, 22",-0.02385
2022-10-13,67.0,69.025,66.69,68.77,68.77,1.7990368E7,1.7990368E7,1.77,2.642,68.16167,"October 13, 22",0.02642
2022-10-12,67.95,68.42,67.64,67.65,67.65,1.096321E7,1.096321E7,-0.3,-0.442,67.90333,"October 12, 22",-0.00442
2022-10-11,66.78,67.9,66.67,67.29,67.29,1.0783418E7,1.0783418E7,0.51,0.764,67.28667,"October 11, 22",0.00764
2022-10-10,66.62,67.02,66.18,66.74,66.74,1.1798294E7,1.1798294E7,0.12,0.18,66.64667,"October 10, 22",0.0018
2022-10-07,67.38,67.46,66.24,66.5,66.5,1.374073E7,1.374073E7,-0.88,-1.306,66.73333,"October 07, 22",-0.01306
2022-10-06,68.49,68.61,67.36,67.51,67.51,1.0607883E7,1.0607883E7,-0.98,-1.431,67.82667,"October 06, 22",-0.01431
2022-10-05,68.55,68.88,67.79,68.51,68.51,1.0596231E7,1.0596231E7,-0.04,-0.058,68.39333,"October 05, 22",-5.8E-4
2022-10-04,68.29,69.27,68.28,68.91,68.91,1.3362927E7,1.3362927E7,0.62,0.908,68.82,"October 04, 22",0.00908
2022-10-03,67.21,68.05,66.84,67.88,67.88,1.2703137E7,1.2703137E7,0.67,0.997,67.59,"October 03, 22",0.00997
2022-09-30,68.0800018,68.1900024,66.6800003,66.7300034,66.7300034,1.34271E7,1.34271E7,-1.35,-1.983,67.2,"September 30, 22",-0.01983
2022-09-29,68.8899994,69.0299988,67.4899979,67.9100037,67.9100037,1.35082E7,1.35082E7,-0.98,-1.423,68.14333,"September 29, 22",-0.01423
2022-09-28,68.5400009,69.3899994,67.9400024,69.0500031,69.0500031,1.42592E7,1.42592E7,0.51,0.744,68.79333,"September 28, 22",0.00744
2022-09-27,69.7699966,70.1500015,68.0999985,68.2300034,68.2300034,1.71593E7,1.71593E7,-1.53999,-2.207,68.82667,"September 27, 22",-0.02207
2022-09-26,69.2300034,70.0299988,69.0999985,69.4300003,69.4300003,1.1638E7,1.1638E7,0.2,0.289,69.52,"September 26, 22",0.00289
2022-09-23,70.1900024,70.1900024,68.6600037,69.3799973,69.3799973,1.59095E7,1.59095E7,-0.81001,-1.154,69.41,"September 23, 22",-0.01154
2022-09-22,70.7399979,71.0599976,70.4499969,70.5800018,70.5800018,1.04284E7,1.04284E7,-0.16,-0.226,70.69667,"September 22, 22",-0.00226
2022-09-21,71.3799973,72.0800018,70.6399994,70.6800003,70.6800003,1.41897E7,1.41897E7,-0.7,-0.981,71.13333,"September 21, 22",-0.00981
2022-09-20,70.8700027,71.1100006,70.4000015,70.9499969,70.9499969,9169900.0,9169900.0,0.07999,0.113,70.82,"September 20, 22",0.00113
2022-09-19,70.5999985,71.3899994,70.5999985,71.3399963,71.3399963,9370400.0,9370400.0,0.74,1.048,71.11,"September 19, 22",0.01048
2022-09-16,70.9100037,71.4100037,70.9000015,71.3300018,70.8690033,1.34526E7,1.34526E7,-0.041,-0.058,71.05967,"September 16, 22",-5.8E-4
2022-09-15,71.7200012,71.7900009,70.9700012,71.1600037,70.7001038,1.12347E7,1.12347E7,-1.0199,-1.422,71.15337,"September 15, 22",-0.01422
2022-09-14,72.0100021,72.0999985,71.3399963,71.7600021,71.2962189,1.22915E7,1.22915E7,-0.71378,-0.991,71.57874,"September 14, 22",-0.00991
2022-09-13,73.6500015,73.75,71.5899963,71.7900009,71.3260269,1.29408E7,1.29408E7,-2.32397,-3.155,72.22201,"September 13, 22",-0.03155
2022-09-12,74.0400009,74.5199966,73.9400024,74.2699966,73.7899933,8680000.0,8680000.0,-0.25001,-0.338,74.08333,"September 12, 22",-0.00338
2022-09-09,73.4499969,74.4700012,73.1800003,73.9800034,73.5018768,1.8139E7,1.8139E7,0.05188,0.071,73.71729,"September 09, 22",7.1E-4
2022-09-08,73.0899963,73.5400009,72.4000015,73.2600021,72.7865295,1.48439E7,1.48439E7,-0.30347,-0.415,72.90884,"September 08, 22",-0.00415
2022-09-07,72.3799973,73.5400009,72.3199997,73.4499969,72.975296,1.96323E7,1.96323E7,0.5953,0.822,72.9451,"September 07, 22",0.00822
2022-09-06,72.5999985,73.1800003,72.0500031,72.1500015,71.6837006,2.18718E7,2.18718E7,-0.9163,-1.262,72.30457,"September 06, 22",-0.01262
2022-09-02,74.0800018,74.3700027,72.3300018,72.5599976,72.0910492,1.58461E7,1.58461E7,-1.98895,-2.685,72.93035,"September 02, 22",-0.02685
2022-09-01,72.8600006,73.6800003,72.5800018,73.5199966,73.0448456,1.59682E7,1.59682E7,0.18484,0.254,73.10162,"September 01, 22",0.00254
2022-08-31,73.7900009,73.9199982,73.1100006,73.1100006,72.6374969,1.03978E7,1.03978E7,-1.1525,-1.562,73.2225,"August 31, 22",-0.01562
2022-08-30,74.4700012,74.4700012,73.3700027,73.5599976,73.0845871,1.03167E7,1.03167E7,-1.38541,-1.86,73.64153,"August 30, 22",-0.0186
2022-08-29,74.0100021,74.75,73.8199997,74.3300018,73.8496094,1.32143E7,1.32143E7,-0.16039,-0.217,74.13987,"August 29, 22",-0.00217
2022-08-26,76.3799973,76.4700012,74.3600006,74.4499969,73.9688339,1.12125E7,1.12125E7,-2.41116,-3.157,74.93295,"August 26, 22",-0.03157
2022-08-25,76.0199966,76.3399963,75.6600037,76.3399963,75.8466187,6105000.0,6105000.0,-0.17338,-0.228,75.94887,"August 25, 22",-0.00228
2022-08-24,75.9300003,76.1500015,75.6699982,75.9899979,75.4988785,8061900.0,8061900.0,-0.43112,-0.568,75.77296,"August 24, 22",-0.00568
2022-08-23,75.8499985,75.9100037,75.4700012,75.8000031,75.310112,1.01834E7,1.01834E7,-0.53989,-0.712,75.56337,"August 23, 22",-0.00712
2022-08-22,76.6800003,76.6999969,76.0,76.1299973,75.6379776,7113700.0,7113700.0,-1.04202,-1.359,76.11266,"August 22, 22",-0.01359
2022-08-19,76.9199982,77.2799988,76.7699966,76.9100037,76.412941,6456500.0,6456500.0,-0.50706,-0.659,76.82098,"August 19, 22",-0.00659
2022-08-18,76.7799988,77.2699966,76.6900024,77.1600037,76.6613235,5777700.0,5777700.0,-0.11868,-0.155,76.87377,"August 18, 22",-0.00155
2022-08-17,76.8000031,77.1999969,76.7099991,76.9000015,76.4029999,9667600.0,9667600.0,-0.397,-0.517,76.771,"August 17, 22",-0.00517
2022-08-16,76.5400009,77.4000015,76.4800034,77.1200027,76.621582,1.23126E7,1.23126E7,0.08158,0.107,76.83386,"August 16, 22",0.00107
2022-08-15,75.4700012,76.3399963,75.3499985,76.2600021,75.7671356,1.02072E7,1.02072E7,0.29713,0.394,75.81904,"August 15, 22",0.00394
