date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,35.87,36.9171,35.66,36.82,36.82,5460643.0,5460643.0,0.95,2.648,36.4657,"October 28, 22",0.02648
2022-10-27,36.13,36.385,35.8173,35.97,35.97,8435884.0,8435884.0,-0.16,-0.443,36.05743,"October 27, 22",-0.00443
2022-10-26,36.04,36.28,35.72,35.95,35.95,8945488.0,8945488.0,-0.09,-0.25,35.98333,"October 26, 22",-0.0025
2022-10-25,34.7,36.06,34.69,36.02,36.02,7177174.0,7177174.0,1.32,3.804,35.59,"October 25, 22",0.03804
2022-10-24,35.0,35.145,34.38,34.65,34.65,6075863.0,6075863.0,-0.35,-1.0,34.725,"October 24, 22",-0.01
2022-10-21,34.5,34.68,33.96,34.67,34.67,9827082.0,9827082.0,0.17,0.493,34.43667,"October 21, 22",0.00493
2022-10-20,34.61,34.96,34.325,34.43,34.43,7603736.0,7603736.0,-0.18,-0.52,34.57167,"October 20, 22",-0.0052
2022-10-19,35.17,35.27,34.4,34.6,34.6,7613867.0,7613867.0,-0.57,-1.621,34.75667,"October 19, 22",-0.01621
2022-10-18,35.68,35.965,35.16,35.49,35.49,7742386.0,7742386.0,-0.19,-0.533,35.53833,"October 18, 22",-0.00533
2022-10-17,34.38,35.16,34.335,35.03,35.03,7687804.0,7687804.0,0.65,1.891,34.84167,"October 17, 22",0.01891
2022-10-14,35.07,35.15,33.7,33.77,33.77,9014996.0,9014996.0,-1.3,-3.707,34.20667,"October 14, 22",-0.03707
2022-10-13,33.29,34.81,33.125,34.64,34.64,1.4574848E7,1.4574848E7,1.35,4.055,34.19167,"October 13, 22",0.04055
2022-10-12,34.4,34.4218,33.83,34.0,34.0,8900202.0,8900202.0,-0.4,-1.163,34.08393,"October 12, 22",-0.01163
2022-10-11,34.04,34.73,33.71,34.46,34.46,8848033.0,8848033.0,0.42,1.234,34.3,"October 11, 22",0.01234
2022-10-10,34.62,34.92,34.09,34.14,34.14,7805633.0,7805633.0,-0.48,-1.386,34.38333,"October 10, 22",-0.01386
2022-10-07,35.03,35.26,34.3345,34.53,34.53,6487697.0,6487697.0,-0.5,-1.427,34.70817,"October 07, 22",-0.01427
2022-10-06,36.45,36.58,35.32,35.37,35.37,8931795.0,8931795.0,-1.08,-2.963,35.75667,"October 06, 22",-0.02963
2022-10-05,36.77,36.83,35.98,36.57,36.57,7072773.0,7072773.0,-0.2,-0.544,36.46,"October 05, 22",-0.00544
2022-10-04,37.09,37.6,36.98,37.26,37.26,8890017.0,8890017.0,0.17,0.458,37.28,"October 04, 22",0.00458
2022-10-03,36.58,36.9,35.99,36.68,36.68,1.1621105E7,1.1621105E7,0.1,0.273,36.52333,"October 03, 22",0.00273
2022-09-30,35.7900009,36.2700005,35.7200012,36.0099983,36.0099983,7700800.0,7700800.0,0.22,0.615,36.0,"September 30, 22",0.00615
2022-09-29,36.3300018,36.3300018,35.4199982,35.6300011,35.6300011,7684000.0,7684000.0,-0.7,-1.927,35.79333,"September 29, 22",-0.01927
2022-09-28,36.2400017,36.7999992,35.9199982,36.6500015,36.6500015,7304200.0,7304200.0,0.41,1.131,36.45667,"September 28, 22",0.01131
2022-09-27,36.7900009,37.0550003,35.9020004,35.9700012,35.9700012,1.07944E7,1.07944E7,-0.82,-2.229,36.309,"September 27, 22",-0.02229
2022-09-26,37.2400017,37.2700005,36.0550003,36.4500008,36.4500008,1.00272E7,1.00272E7,-0.79,-2.121,36.59167,"September 26, 22",-0.02121
2022-09-23,37.5400009,37.75,37.0149994,37.4599991,37.4599991,7329900.0,7329900.0,-0.08,-0.213,37.40833,"September 23, 22",-0.00213
2022-09-22,38.1599998,38.1800003,37.7750015,37.9300003,37.9300003,6380200.0,6380200.0,-0.23,-0.603,37.96167,"September 22, 22",-0.00603
2022-09-21,39.1699982,39.4150009,38.2700005,38.2900009,38.2900009,9215800.0,9215800.0,-0.88,-2.247,38.65833,"September 21, 22",-0.02247
