date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,65.88,67.55,65.79,67.41,67.41,1.3592734E7,1.3592734E7,1.53,2.322,66.91667,"October 28, 22",0.02322
2022-10-27,65.56,66.35,65.42,65.61,65.61,1.22573E7,1.22573E7,0.05,0.076,65.79333,"October 27, 22",7.6E-4
2022-10-26,65.47,65.8,64.81,65.09,65.09,1.3535258E7,1.3535258E7,-0.38,-0.58,65.23333,"October 26, 22",-0.0058
2022-10-25,64.05,65.29,63.9,65.12,65.12,1.4201385E7,1.4201385E7,1.07,1.671,64.77,"October 25, 22",0.01671
2022-10-24,63.65,64.34,63.145,63.84,63.84,9920636.0,9920636.0,0.19,0.299,63.775,"October 24, 22",0.00299
2022-10-21,62.39,63.78,61.96,63.31,63.31,1.4730415E7,1.4730415E7,0.92,1.475,63.01667,"October 21, 22",0.01475
2022-10-20,63.79,63.79,61.86,62.16,62.16,1.5519185E7,1.5519185E7,-1.63,-2.555,62.60333,"October 20, 22",-0.02555
2022-10-19,63.77,64.2,63.22,63.77,63.77,1.2843631E7,1.2843631E7,0.0,0.0,63.73,"October 19, 22",0.0
2022-10-18,64.71,64.96,63.97,64.61,64.61,1.6041492E7,1.6041492E7,-0.1,-0.155,64.51333,"October 18, 22",-0.00155
2022-10-17,63.0,64.05,63.0,63.45,63.45,1.4121165E7,1.4121165E7,0.45,0.714,63.5,"October 17, 22",0.00714
2022-10-14,63.71,64.17,61.84,62.15,62.15,1.965318E7,1.965318E7,-1.56,-2.449,62.72,"October 14, 22",-0.02449
2022-10-13,60.59,63.31,60.35,63.06,63.06,3.0581107E7,3.0581107E7,2.47,4.077,62.24,"October 13, 22",0.04077
2022-10-12,63.54,63.66,61.48,61.52,61.52,2.0915252E7,2.0915252E7,-2.02,-3.179,62.22,"October 12, 22",-0.03179
2022-10-11,63.63,64.445,63.3,63.64,63.64,1.7109045E7,1.7109045E7,0.01,0.016,63.795,"October 11, 22",1.6E-4
2022-10-10,63.89,64.63,63.78,63.87,63.87,1.651681E7,1.651681E7,-0.02,-0.031,64.09333,"October 10, 22",-3.1E-4
2022-10-07,64.92,65.16,63.32,63.76,63.76,2.1084749E7,2.1084749E7,-1.16,-1.787,64.08,"October 07, 22",-0.01787
2022-10-06,67.04,67.15,65.04,65.11,65.11,2.5670364E7,2.5670364E7,-1.93,-2.879,65.76667,"October 06, 22",-0.02879
2022-10-05,67.98,67.98,66.58,67.33,67.33,1.7205374E7,1.7205374E7,-0.65,-0.956,67.29667,"October 05, 22",-0.00956
2022-10-04,67.9,68.92,67.48,68.86,68.86,1.6997161E7,1.6997161E7,0.96,1.414,68.42,"October 04, 22",0.01414
2022-10-03,66.58,67.8,66.12,67.43,67.43,2.5447751E7,2.5447751E7,0.85,1.277,67.11667,"October 03, 22",0.01277
2022-09-30,67.1200027,67.3799973,65.3700027,65.5100021,65.5100021,2.27594E7,2.27594E7,-1.61,-2.399,66.08667,"September 30, 22",-0.02399
2022-09-29,69.2300034,69.3899994,66.6600037,66.8000031,66.8000031,2.0331E7,2.0331E7,-2.43,-3.51,67.61667,"September 29, 22",-0.0351
2022-09-28,69.6500015,70.0199966,68.7399979,69.5899963,69.5899963,2.29413E7,2.29413E7,-0.06001,-0.086,69.45,"September 28, 22",-8.6E-4
2022-09-27,70.4899979,70.5999985,68.5100021,68.8499985,68.8499985,1.9143E7,1.9143E7,-1.64,-2.327,69.32,"September 27, 22",-0.02327
2022-09-26,71.5800018,71.6699982,69.3300018,70.0299988,70.0299988,1.79695E7,1.79695E7,-1.55,-2.165,70.34333,"September 26, 22",-0.02165
2022-09-23,71.8899994,71.9899979,70.8399963,71.7600021,71.7600021,1.621E7,1.621E7,-0.13,-0.181,71.53,"September 23, 22",-0.00181
2022-09-22,72.8000031,73.0899963,72.2200012,72.5999985,72.5999985,1.73504E7,1.73504E7,-0.2,-0.275,72.63667,"September 22, 22",-0.00275
2022-09-21,74.3499985,74.8499985,72.8300018,72.8600006,72.8600006,1.52306E7,1.52306E7,-1.49,-2.004,73.51333,"September 21, 22",-0.02004
2022-09-20,74.4700012,74.4700012,73.3300018,73.8700027,73.8700027,1.17042E7,1.17042E7,-0.6,-0.806,73.89,"September 20, 22",-0.00806
2022-09-19,73.7399979,74.9700012,73.5400009,74.9599991,74.9599991,1.07314E7,1.07314E7,1.22,1.654,74.49,"September 19, 22",0.01654
2022-09-16,74.4800034,75.0500031,74.3399963,74.4700012,73.9690018,1.61107E7,1.61107E7,-0.511,-0.686,74.453,"September 16, 22",-0.00686
2022-09-15,76.0500031,76.0500031,74.5599976,74.75,74.2471161,1.8055E7,1.8055E7,-1.80289,-2.371,74.95237,"September 15, 22",-0.02371
2022-09-14,76.0699997,77.0899963,75.9899979,76.6600037,76.1442719,1.11487E7,1.11487E7,0.07427,0.098,76.40809,"September 14, 22",9.8E-4
2022-09-13,77.3300018,77.6500015,75.6699982,76.0400009,75.5284424,1.75781E7,1.75781E7,-1.80156,-2.33,76.28281,"September 13, 22",-0.0233
2022-09-12,77.5899963,78.2200012,77.3499985,78.1200027,77.5944519,1.13403E7,1.13403E7,0.00446,0.006,77.72148,"September 12, 22",6.0E-5
2022-09-09,77.5299988,77.8199997,76.8499985,77.3799973,76.8594208,1.05884E7,1.05884E7,-0.67058,-0.865,77.17647,"September 09, 22",-0.00865
2022-09-08,76.8399963,77.5800018,76.6600037,77.0699997,76.5515137,1.25753E7,1.25753E7,-0.28848,-0.375,76.93051,"September 08, 22",-0.00375
2022-09-07,75.1500015,77.2399979,75.0699997,77.1299973,76.6111069,1.57549E7,1.57549E7,1.46111,1.944,76.30703,"September 07, 22",0.01944
2022-09-06,75.0199966,75.8300018,74.5999985,74.7900009,74.28685,1.64502E7,1.64502E7,-0.73315,-0.977,74.90562,"September 06, 22",-0.00977
2022-09-02,75.5999985,76.3099976,74.3799973,74.5999985,74.0981293,1.27646E7,1.27646E7,-1.50187,-1.987,74.92937,"September 02, 22",-0.01987
2022-09-01,74.0500031,75.5199966,74.0500031,75.4100037,74.9026794,1.408E7,1.408E7,0.85268,1.151,74.82423,"September 01, 22",0.01151
2022-08-31,74.8700027,75.3300018,74.3099976,74.3399963,73.8398743,1.10064E7,1.10064E7,-1.03013,-1.376,74.49329,"August 31, 22",-0.01376
2022-08-30,75.9199982,75.9800034,74.5500031,74.8300018,74.3265839,1.02803E7,1.02803E7,-1.59341,-2.099,74.9522,"August 30, 22",-0.02099
2022-08-29,75.3199997,76.5,74.8799973,75.9400024,75.4291153,1.12387E7,1.12387E7,0.10912,0.145,75.60304,"August 29, 22",0.00145
2022-08-26,76.9199982,77.1800003,75.6399994,75.7099991,75.2006607,8866200.0,8866200.0,-1.71934,-2.235,76.00689,"August 26, 22",-0.02235
2022-08-25,76.5999985,76.8899994,76.0199966,76.8899994,76.3727188,7300900.0,7300900.0,-0.22728,-0.297,76.42757,"August 25, 22",-0.00297
2022-08-24,76.0800018,76.5199966,75.8899994,76.4199982,75.9058838,7501100.0,7501100.0,-0.17412,-0.229,76.10529,"August 24, 22",-0.00229
2022-08-23,76.5,76.6699982,75.8700027,76.1800003,75.6674957,7873500.0,7873500.0,-0.8325,-1.088,76.06917,"August 23, 22",-0.01088
2022-08-22,77.3300018,77.4700012,76.4400024,76.6399994,76.1244049,1.32265E7,1.32265E7,-1.2056,-1.559,76.67814,"August 22, 22",-0.01559
2022-08-19,77.6399994,78.0500031,77.3499985,77.6999969,77.177269,8643300.0,8643300.0,-0.46273,-0.596,77.52576,"August 19, 22",-0.00596
2022-08-18,77.5199966,77.9800034,77.4700012,77.7399979,77.2170029,8279500.0,8279500.0,-0.30299,-0.391,77.55567,"August 18, 22",-0.00391
2022-08-17,77.2600021,77.7900009,77.1999969,77.4499969,76.9289474,1.0643E7,1.0643E7,-0.33105,-0.428,77.30632,"August 17, 22",-0.00428
2022-08-16,77.1900024,77.8600006,77.1100006,77.5800018,77.0580826,7788800.0,7788800.0,-0.13192,-0.171,77.34269,"August 16, 22",-0.00171
2022-08-15,76.5699997,77.4400024,76.4300003,77.3600006,76.8395615,7785500.0,7785500.0,0.26956,0.352,76.90319,"August 15, 22",0.00352
2022-08-12,76.0,76.7300034,75.8499985,76.7200012,76.2038651,7899400.0,7899400.0,0.20387,0.268,76.26129,"August 12, 22",0.00268
2022-08-11,75.6100006,76.25,75.2699966,75.4899979,74.9821396,8024100.0,8024100.0,-0.62786,-0.83,75.50071,"August 11, 22",-0.0083
2022-08-10,75.5100021,75.6699982,74.9499969,75.5,74.9920731,7889300.0,7889300.0,-0.51793,-0.686,75.20402,"August 10, 22",-0.00686
2022-08-09,74.5699997,75.3099976,74.5199966,75.1699982,74.6642914,8106800.0,8106800.0,0.09429,0.126,74.83143,"August 09, 22",0.00126
2022-08-08,74.8700027,75.2200012,73.9899979,74.3399963,73.8398743,8449500.0,8449500.0,-1.03013,-1.376,74.34996,"August 08, 22",-0.01376
2022-08-05,74.3000031,74.6399994,73.5299988,74.2300034,73.7306213,1.10251E7,1.10251E7,-0.56938,-0.766,73.96687,"August 05, 22",-0.00766
2022-08-04,74.3799973,75.0400009,74.1399994,74.5,73.9988022,8664100.0,8664100.0,-0.3812,-0.513,74.39293,"August 04, 22",-0.00513
2022-08-03,73.7699966,74.5199966,72.6200027,74.3399963,73.8398743,1.09802E7,1.09802E7,0.06988,0.095,73.65996,"August 03, 22",9.5E-4
