date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-28,140.94,145.155,139.925,144.96,144.96,7041985.0,7041985.0,4.02,2.852,143.34667,"October 28, 22",0.02852
2022-10-27,146.1,147.03,144.32,144.83,144.83,6323016.0,6323016.0,-1.27,-0.869,145.39333,"October 27, 22",-0.00869
2022-10-26,144.8,148.32,144.4,145.39,145.39,3432357.0,3432357.0,0.59,0.407,146.03667,"October 26, 22",0.00407
2022-10-25,143.06,146.97,143.06,146.57,146.57,3727651.0,3727651.0,3.51,2.454,145.53333,"October 25, 22",0.02454
2022-10-24,141.75,143.6,139.22,142.99,142.99,4540754.0,4540754.0,1.24,0.875,141.93667,"October 24, 22",0.00875
2022-10-21,138.21,142.53,137.45,142.4,142.4,7785409.0,7785409.0,4.19,3.032,140.79333,"October 21, 22",0.03032
2022-10-20,139.18,141.78,137.91,138.37,138.37,5097409.0,5097409.0,-0.81,-0.582,139.35333,"October 20, 22",-0.00582
2022-10-19,141.54,142.46,139.61,141.1,141.1,3567878.0,3567878.0,-0.44,-0.311,141.05667,"October 19, 22",-0.00311
2022-10-18,145.15,145.57,141.31,142.7,142.7,5183063.0,5183063.0,-2.45,-1.688,143.19333,"October 18, 22",-0.01688
2022-10-17,138.16,141.135,138.1,140.76,140.76,6522425.0,6522425.0,2.6,1.882,139.99833,"October 17, 22",0.01882
2022-10-14,141.92,142.66,135.05,135.27,135.27,6710553.0,6710553.0,-6.65,-4.686,137.66,"October 14, 22",-0.04686
2022-10-13,134.84,141.31,133.55,140.52,140.52,9782925.0,9782925.0,5.68,4.212,138.46,"October 13, 22",0.04212
2022-10-12,138.65,140.07,137.53,139.0,139.0,9721154.0,9721154.0,0.35,0.252,138.86667,"October 12, 22",0.00252
2022-10-11,139.09,141.47,137.72,138.64,138.64,6001931.0,6001931.0,-0.45,-0.324,139.27667,"October 11, 22",-0.00324
2022-10-10,140.86,141.26,138.4,139.78,139.78,4864357.0,4864357.0,-1.08,-0.767,139.81333,"October 10, 22",-0.00767
2022-10-07,143.5,143.82,139.83,140.65,140.65,5594007.0,5594007.0,-2.85,-1.986,141.43333,"October 07, 22",-0.01986
2022-10-06,146.39,147.83,145.025,145.66,145.66,7213356.0,7213356.0,-0.73,-0.499,146.17167,"October 06, 22",-0.00499
2022-10-05,145.23,147.665,143.68,146.7,146.7,6267626.0,6267626.0,1.47,1.012,146.015,"October 05, 22",0.01012
2022-10-04,146.13,149.01,145.71,147.57,147.57,9832037.0,9832037.0,1.44,0.985,147.43,"October 04, 22",0.00985
2022-10-03,142.32,143.91,140.2,142.59,142.59,8643979.0,8643979.0,0.27,0.19,142.23333,"October 03, 22",0.0019
2022-09-30,143.6100006,146.5399933,142.0299988,142.4499969,142.4499969,6115500.0,6115500.0,-1.16,-0.808,143.67333,"September 30, 22",-0.00808
2022-09-29,148.1300049,148.3300018,143.9100037,145.3099976,145.3099976,6156800.0,6156800.0,-2.82001,-1.904,145.85,"September 29, 22",-0.01904
2022-09-28,147.1699982,151.3000031,146.4299927,150.5099945,150.5099945,6930700.0,6930700.0,3.34,2.269,149.41333,"September 28, 22",0.02269
2022-09-27,148.2400055,149.7400055,144.9700012,146.5500031,146.5500031,7281700.0,7281700.0,-1.69,-1.14,147.08667,"September 27, 22",-0.0114
2022-09-26,145.8200073,149.2700043,145.8000031,146.0899963,146.0899963,6419800.0,6419800.0,0.26999,0.185,147.05333,"September 26, 22",0.00185
2022-09-23,147.8800049,148.1199951,144.5500031,146.4199982,146.4199982,5605800.0,5605800.0,-1.46001,-0.987,146.36333,"September 23, 22",-0.00987
2022-09-22,152.6300049,153.1799927,149.1000061,149.8699951,149.8699951,5669400.0,5669400.0,-2.76001,-1.808,150.71666,"September 22, 22",-0.01808
2022-09-21,157.5700073,159.0299988,153.3800049,153.4100037,153.4100037,5111200.0,5111200.0,-4.16,-2.64,155.27334,"September 21, 22",-0.0264
2022-09-20,158.1900024,158.7899933,155.8099976,157.1300049,157.1300049,4571000.0,4571000.0,-1.06,-0.67,157.24333,"September 20, 22",-0.0067
2022-09-19,156.2599945,159.8699951,156.1600037,159.8399963,159.8399963,5014300.0,5014300.0,3.58,2.291,158.62333,"September 19, 22",0.02291
