date,open,high,low,close,volume
1/3/1977,1.8673,1.8946,1.8673,1.8946,198400
1/4/1977,1.8946,1.9039,1.8734,1.8795,308800
1/5/1977,1.8795,1.8795,1.8185,1.8185,286400
1/6/1977,1.8185,1.8429,1.8185,1.8336,382400
1/7/1977,1.8336,1.84,1.8214,1.8336,667200
1/10/1977,1.8336,1.849,1.8185,1.8458,208000
1/11/1977,1.8458,1.8644,1.8246,1.8307,212800
1/12/1977,1.8246,1.8246,1.7941,1.8124,336000
1/13/1977,1.8124,1.8551,1.8092,1.8551,436800
1/14/1977,1.8551,1.8551,1.8307,1.8307,166400
1/17/1977,1.8307,1.8368,1.8185,1.8368,80000
1/18/1977,1.8307,1.8307,1.8246,1.8277,118400
1/19/1977,1.8307,1.8856,1.8307,1.8856,540800
1/20/1977,1.8856,1.8917,1.8551,1.8551,222400
1/21/1977,1.8551,1.8612,1.8458,1.8458,100800
1/24/1977,1.849,1.8702,1.849,1.8673,299200
1/25/1977,1.8673,1.8766,1.8551,1.8702,182400
1/26/1977,1.8734,1.8888,1.8734,1.8795,124800
1/27/1977,1.8795,1.8795,1.8734,1.8766,124800
1/28/1977,1.8766,1.8946,1.8734,1.8795,368000
1/31/1977,1.8795,1.8946,1.8673,1.8673,633600
2/1/1977,1.8673,1.8856,1.8673,1.8734,208000
2/2/1977,1.8734,1.8888,1.8673,1.8734,745600
2/3/1977,1.8734,1.8824,1.8673,1.8702,188800
2/4/1977,1.8766,1.8917,1.8766,1.8824,166400
2/7/1977,1.8824,1.91,1.8824,1.91,164800
2/8/1977,1.9312,1.9832,1.9312,1.971,628800
2/9/1977,2.0259,2.0748,2.0259,2.0382,1396800
2/10/1977,2.0443,2.0596,2.0443,2.0565,851200
2/11/1977,2.0565,2.0655,2.0382,2.0565,622400
2/14/1977,2.0443,2.0443,2.0259,2.0443,491200
2/15/1977,2.0443,2.0565,2.0382,2.0504,342400
2/16/1977,2.0411,2.0411,2.0259,2.032,326400
2/17/1977,2.032,2.032,1.9954,1.9954,281600
2/18/1977,1.9954,1.9954,1.971,1.9954,564800
2/22/1977,1.9923,1.9923,1.9771,1.9832,307200
2/23/1977,1.9832,1.9986,1.9832,1.9832,129600
2/24/1977,1.9832,1.9893,1.9588,1.9588,587200
2/25/1977,1.9588,1.9801,1.9556,1.962,200000
2/28/1977,1.962,1.9771,1.962,1.9649,275200
3/1/1977,1.9649,1.9893,1.962,1.9893,198400
3/2/1977,1.9893,2.0137,1.9864,2.0108,174400
3/3/1977,2.0137,2.0504,2.0137,2.0289,188800
3/4/1977,2.0352,2.084,2.0352,2.0748,635200
3/7/1977,2.0748,2.0809,2.0626,2.0626,289600
3/8/1977,2.0626,2.0899,2.0565,2.0687,401600
3/9/1977,2.0687,2.0687,2.0382,2.0687,233600
3/10/1977,2.032,2.032,2.0198,2.0259,561600
3/11/1977,2.0259,2.0382,2.023,2.0259,480000
3/14/1977,2.0259,2.032,2.0167,2.0167,204800
3/15/1977,2.0167,2.0289,2.0137,2.0167,390400
3/16/1977,2.0167,2.023,2.0167,2.0167,632000
3/17/1977,2.0167,2.032,2.0015,2.032,361600
3/18/1977,2.0382,2.0533,2.0382,2.0443,528000
3/21/1977,2.0382,2.0382,2.0015,2.0015,355200
3/22/1977,2.0015,2.0076,1.9923,1.9986,172800
3/23/1977,1.9986,2.0045,1.9679,1.9742,449600
3/24/1977,1.9588,1.9588,1.9405,1.9466,680000
3/25/1977,1.9466,1.9527,1.9376,1.9376,270400
3/28/1977,1.9376,1.9466,1.9376,1.9434,164800
3/29/1977,1.9466,1.9649,1.9466,1.962,270400
3/30/1977,1.962,1.9771,1.9588,1.962,244800
3/31/1977,1.962,1.971,1.9588,1.9649,193600
4/1/1977,1.9649,1.9742,1.9649,1.9649,142400
4/4/1977,1.9649,1.9649,1.9527,1.9527,217600
4/5/1977,1.9527,1.9801,1.9527,1.9649,377600
4/6/1977,1.9649,2.0289,1.9649,2.0259,329600
4/7/1977,2.0259,2.0352,2.0198,2.0259,155200
4/11/1977,2.0259,2.0352,2.0076,2.0259,142400
4/12/1977,2.0289,2.0533,2.0289,2.0504,284800
4/13/1977,2.0504,2.148,2.0443,2.1358,673600
4/14/1977,2.1358,2.1509,2.1114,2.1236,1228800
4/15/1977,2.1114,2.1114,2.0809,2.0931,420800
4/18/1977,2.0931,2.1114,2.087,2.087,497600
