timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-10,19422.61000000,20475.00000000,18920.35000000,19412.98000000,19422.61000000,20475.00000000,18920.35000000,19412.98000000,2066177.44805000,2066177.44805000
2022-09-30,20048.44000000,22799.00000000,18125.98000000,19422.61000000,20048.44000000,22799.00000000,18125.98000000,19422.61000000,9838930.53657000,9838930.53657000
2022-08-31,23296.36000000,25211.32000000,19520.00000000,20050.02000000,23296.36000000,25211.32000000,19520.00000000,20050.02000000,5692462.41571000,5692462.41571000
2022-07-31,19942.21000000,24668.00000000,18781.00000000,23293.32000000,19942.21000000,24668.00000000,18781.00000000,23293.32000000,4983278.58810000,4983278.58810000
2022-06-30,31801.05000000,31982.97000000,17622.00000000,19942.21000000,31801.05000000,31982.97000000,17622.00000000,19942.21000000,2816058.47323000,2816058.47323000
2022-05-31,37630.80000000,40023.77000000,26700.00000000,31801.04000000,37630.80000000,40023.77000000,26700.00000000,31801.04000000,2387839.68080000,2387839.68080000
2022-04-30,45510.35000000,47444.11000000,37578.20000000,37630.80000000,45510.35000000,47444.11000000,37578.20000000,37630.80000000,1267655.68178000,1267655.68178000
2022-03-31,43160.00000000,48189.84000000,37155.00000000,45510.34000000,43160.00000000,48189.84000000,37155.00000000,45510.34000000,1501398.79591000,1501398.79591000
2022-02-28,38466.90000000,45821.00000000,34322.28000000,43160.00000000,38466.90000000,45821.00000000,34322.28000000,43160.00000000,1253514.21906000,1253514.21906000
2022-01-31,46216.93000000,47990.00000000,32917.17000000,38466.90000000,46216.93000000,47990.00000000,32917.17000000,38466.90000000,1279407.46572000,1279407.46572000
2021-12-31,56950.56000000,59053.55000000,42000.30000000,46216.93000000,56950.56000000,59053.55000000,42000.30000000,46216.93000000,1233745.52432000,1233745.52432000
2021-11-30,61299.81000000,69000.00000000,53256.64000000,56950.56000000,61299.81000000,69000.00000000,53256.64000000,56950.56000000,1291900.10525000,1291900.10525000
2021-10-31,43820.01000000,67000.00000000,43283.03000000,61299.80000000,43820.01000000,67000.00000000,43283.03000000,61299.80000000,1565556.29262000,1565556.29262000
2021-09-30,47100.89000000,52920.00000000,39600.00000000,43824.10000000,47100.89000000,52920.00000000,39600.00000000,43824.10000000,1527799.51077000,1527799.51077000
2021-08-31,41461.84000000,50500.00000000,37332.70000000,47100.89000000,41461.84000000,50500.00000000,37332.70000000,47100.89000000,1635402.87425000,1635402.87425000
2021-07-31,35045.00000000,42448.00000000,29278.00000000,41461.83000000,35045.00000000,42448.00000000,29278.00000000,41461.83000000,1778463.26484000,1778463.26484000
2021-06-30,37253.82000000,41330.00000000,28805.00000000,35045.00000000,37253.82000000,41330.00000000,28805.00000000,35045.00000000,2901775.30592000,2901775.30592000
2021-05-31,57697.25000000,59500.00000000,30000.00000000,37253.81000000,57697.25000000,59500.00000000,30000.00000000,37253.81000000,3536245.25657000,3536245.25657000
2021-04-30,58739.46000000,64854.00000000,46930.00000000,57694.27000000,58739.46000000,64854.00000000,46930.00000000,57694.27000000,1993468.93801000,1993468.93801000
2021-03-31,45134.11000000,61844.00000000,44950.53000000,58740.55000000,45134.11000000,61844.00000000,44950.53000000,58740.55000000,2098808.02743000,2098808.02743000
2021-02-28,33092.97000000,58352.80000000,32296.16000000,45135.66000000,33092.97000000,58352.80000000,32296.16000000,45135.66000000,2518242.14852000,2518242.14852000
2021-01-31,28923.63000000,41950.00000000,28130.00000000,33092.98000000,28923.63000000,41950.00000000,28130.00000000,33092.98000000,3440864.75002000,3440864.75002000
2020-12-31,19695.87000000,29300.00000000,17572.33000000,28923.63000000,19695.87000000,29300.00000000,17572.33000000,28923.63000000,2495281.85622000,2495281.85622000
2020-11-30,13791.00000000,19863.16000000,13195.05000000,19695.87000000,13791.00000000,19863.16000000,13195.05000000,19695.87000000,2707064.91117000,2707064.91117000
2020-10-31,10776.59000000,14100.00000000,10374.00000000,13791.00000000,10776.59000000,14100.00000000,10374.00000000,13791.00000000,1592634.41995000,1592634.41995000
2020-09-30,11649.51000000,12050.85000000,9825.00000000,10776.59000000,11649.51000000,12050.85000000,9825.00000000,10776.59000000,1730389.16018000,1730389.16018000
2020-08-31,11335.46000000,12468.00000000,10518.50000000,11649.51000000,11335.46000000,12468.00000000,10518.50000000,11649.51000000,1891193.00713000,1891193.00713000
2020-07-31,9138.08000000,11444.00000000,8893.03000000,11335.46000000,9138.08000000,11444.00000000,8893.03000000,11335.46000000,1507827.21494000,1507827.21494000
2020-06-30,9448.27000000,10380.00000000,8833.00000000,9138.55000000,9448.27000000,10380.00000000,8833.00000000,9138.55000000,1504745.51792000,1504745.51792000
2020-05-31,8620.00000000,10067.00000000,8117.00000000,9448.27000000,8620.00000000,10067.00000000,8117.00000000,9448.27000000,2685340.07851000,2685340.07851000
2020-04-30,6412.14000000,9460.00000000,6150.11000000,8620.00000000,6412.14000000,9460.00000000,6150.11000000,8620.00000000,2528373.69112000,2528373.69112000
2020-03-31,8523.61000000,9188.00000000,3782.13000000,6410.44000000,8523.61000000,9188.00000000,3782.13000000,6410.44000000,3789768.91313000,3789768.91313000
2020-02-29,9351.71000000,10500.00000000,8445.00000000,8523.61000000,9351.71000000,10500.00000000,8445.00000000,8523.61000000,1609726.15456000,1609726.15456000
