symbol,name,currency,stockExchange,exchangeShortName
BIPUSD,MinterNetwork USD,USD,CCC,CRYPTO
CFXUSD,Conflux USD,USD,CCC,CRYPTO
OBSRUSD,Observer USD,USD,CCC,CRYPTO
ECCUSD,ECC USD,USD,CCC,CRYPTO
CCAUSD,CounosCoin USD,USD,CCC,CRYPTO
LOKIUSD,Loki USD,USD,CCC,CRYPTO
ALGOUSD,Algorand USD,USD,CCC,CRYPTO
APEUSD,,USD,CCC,CRYPTO
CLAMUSD,Clams USD,USD,CCC,CRYPTO
IRISUSD,IRISnet USD,USD,CCC,CRYPTO
GLMUSD,Golem USD,USD,CCC,CRYPTO
GMTUSD,,USD,CCC,CRYPTO
ASDUSD,ASD USD,USD,CCC,CRYPTO
PAXGUSD,,USD,CCC,CRYPTO
NEXOUSD,,USD,CCC,CRYPTO
1INCH-USD,,USD,CCC,CRYPTO
NIMUSD,Nimiq USD,USD,CCC,CRYPTO
UBTUSD,Unibright USD,USD,CCC,CRYPTO
VLXUSD,Velas USD,USD,CCC,CRYPTO
KRTUSD,TerraKRW USD,USD,CCC,CRYPTO
PROMUSD,Prometeus USD,USD,CCC,CRYPTO
MXUSD,MX Token USD,USD,CCC,CRYPTO
MRXUSD,MetrixCoin USD,USD,CCC,CRYPTO
WEMIXUSD,WEMIX USD,USD,CCC,CRYPTO
LNUSD,LINK USD,USD,CCC,CRYPTO
BITUSD,BitRewards USD,USD,CCC,CRYPTO
CTCUSD,Creditcoin USD,USD,CCC,CRYPTO
BANDUSD,BandProtocol USD,USD,CCC,CRYPTO
FRAXUSD,Frax USD,USD,CCC,CRYPTO
TTTUSD,Tapcoin USD,USD,CCC,CRYPTO
RLYUSD,Rally USD,USD,CCC,CRYPTO
VBNBUSD,Venus BNB USD,USD,CCC,CRYPTO
ALTUSD,Alt.Estate token USD,USD,CCC,CRYPTO
MOBUSD,MobileCoin USD,USD,CCC,CRYPTO
GRNUSD,GreenPower USD,USD,CCC,CRYPTO
GEL-USD,,USD,CCC,CRYPTO
FRONTUSD,Frontier USD,USD,CCC,CRYPTO
COP-USD,,USD,CCC,CRYPTO
ATRIUSD,AtariToken USD,USD,CCC,CRYPTO
HYCUSD,HYCON USD,USD,CCC,CRYPTO
ERGUSD,Ergo USD,USD,CCC,CRYPTO
MINTUSD,MintCoin USD,USD,CCC,CRYPTO
CVXUSD,Convex Finance USD,USD,CCC,CRYPTO
XBYUSD,XTRABYTES USD,USD,CCC,CRYPTO
LATUSD,PlatON USD,USD,CCC,CRYPTO
RLCUSD,iExec RLC USD,USD,CCC,CRYPTO
SUPERUSD,SuperCoin USD,USD,CCC,CRYPTO
AVAXUSD,Avalanche USD,USD,CCC,CRYPTO
XCPUSD,Counterparty USD,USD,CCC,CRYPTO
VGXUSD,VoyagerToken USD,USD,CCC,CRYPTO
KAVAUSD,Kava USD,USD,CCC,CRYPTO
PLAUSD,Plair USD,USD,CCC,CRYPTO
XCHUSD,Chia Network USD,USD,CCC,CRYPTO
DEROUSD,Dero USD,USD,CCC,CRYPTO
YGGUSD,Yield Guild Games USD,USD,CCC,CRYPTO
FSNUSD,Fusion USD,USD,CCC,CRYPTO
COMPUSD,Compound USD,USD,CCC,CRYPTO
ANCUSD,Anoncoin USD,USD,CCC,CRYPTO
