date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.4219698326,0.4241976507,0.4191126792,0.4220256162,0.4220256162,2.7796772E7,2.7796772E7,6.0E-5,0.014,0.42178,"October 09, 22",1.4E-4
2022-10-08,0.423993,0.427017,0.419093,0.421959,0.421959,3.3856845E7,3.3856845E7,-0.00203,-0.479,0.42269,"October 08, 22",-0.00479
2022-10-07,0.428791,0.430451,0.421522,0.424025,0.424025,5.6021678E7,5.6021678E7,-0.00477,-1.112,0.42533,"October 07, 22",-0.01112
2022-10-06,0.431031,0.437116,0.425587,0.428784,0.428784,6.2510205E7,6.2510205E7,-0.00225,-0.522,0.4305,"October 06, 22",-0.00522
2022-10-05,0.435682,0.436771,0.423619,0.431018,0.431018,6.162612E7,6.162612E7,-0.00466,-1.07,0.43047,"October 05, 22",-0.0107
2022-10-04,0.427629,0.437853,0.425369,0.435656,0.435656,6.3046484E7,6.3046484E7,0.00803,1.878,0.43296,"October 04, 22",0.01878
2022-10-03,0.419535,0.428955,0.415804,0.427635,0.427635,6.4670553E7,6.4670553E7,0.0081,1.931,0.42413,"October 03, 22",0.01931
2022-10-02,0.430166,0.43283,0.417636,0.419459,0.419459,5.0443853E7,5.0443853E7,-0.01071,-2.49,0.42331,"October 02, 22",-0.0249
2022-10-01,0.434652,0.436456,0.427594,0.430097,0.430097,3.9261545E7,3.9261545E7,-0.00455,-1.047,0.43138,"October 01, 22",-0.01047
2022-09-30,0.438226,0.441495,0.429305,0.434732,0.434732,7.6964757E7,7.6964757E7,-0.00349,-0.796,0.43518,"September 30, 22",-0.00796
2022-09-29,0.436183,0.439327,0.427695,0.438136,0.438136,7.6929336E7,7.6929336E7,0.00195,0.447,0.43505,"September 29, 22",0.00447
2022-09-28,0.441332,0.44309,0.425095,0.43614,0.43614,8.6418547E7,8.6418547E7,-0.00519,-1.176,0.43477,"September 28, 22",-0.01176
2022-09-27,0.447244,0.463228,0.437313,0.441153,0.441153,9.7898458E7,9.7898458E7,-0.00609,-1.362,0.44723,"September 27, 22",-0.01362
2022-09-26,0.446227,0.450754,0.436583,0.447201,0.447201,8.6904622E7,8.6904622E7,9.7E-4,0.217,0.44485,"September 26, 22",0.00217
2022-09-25,0.451064,0.462823,0.438542,0.446411,0.446411,7.2750124E7,7.2750124E7,-0.00465,-1.031,0.44926,"September 25, 22",-0.01031
2022-09-24,0.461917,0.468907,0.450408,0.451137,0.451137,7.7619498E7,7.7619498E7,-0.01078,-2.334,0.45682,"September 24, 22",-0.02334
2022-09-23,0.458328,0.482434,0.446012,0.461802,0.461802,1.42102514E8,1.42102514E8,0.00347,0.757,0.46342,"September 23, 22",0.00757
2022-09-22,0.43878,0.466586,0.434399,0.458358,0.458358,1.08508403E8,1.08508403E8,0.01958,4.462,0.45311,"September 22, 22",0.04462
2022-09-21,0.442357,0.464415,0.431165,0.438913,0.438913,1.77116312E8,1.77116312E8,-0.00344,-0.778,0.44483,"September 21, 22",-0.00778
2022-09-20,0.452682,0.454545,0.437401,0.442281,0.442281,7.3489136E7,7.3489136E7,-0.0104,-2.297,0.44474,"September 20, 22",-0.02297
2022-09-19,0.44773,0.457049,0.433142,0.452745,0.452745,1.16884661E8,1.16884661E8,0.00502,1.121,0.44765,"September 19, 22",0.01121
2022-09-18,0.485973,0.490319,0.440674,0.447752,0.447752,8.8195699E7,8.8195699E7,-0.03822,-7.865,0.45958,"September 18, 22",-0.07865
2022-09-17,0.4746,0.488359,0.472362,0.485938,0.485938,6.5450331E7,6.5450331E7,0.01134,2.389,0.48222,"September 17, 22",0.02389
2022-09-16,0.4662,0.474759,0.454076,0.474655,0.474655,6.9520733E7,6.9520733E7,0.00846,1.815,0.46783,"September 16, 22",0.01815
2022-09-15,0.480733,0.482043,0.461906,0.466158,0.466158,9.1362662E7,9.1362662E7,-0.01457,-3.031,0.47004,"September 15, 22",-0.03031
2022-09-14,0.4635,0.487123,0.461976,0.480979,0.480979,9.7808763E7,9.7808763E7,0.01748,3.771,0.47669,"September 14, 22",0.03771
2022-09-13,0.501491,0.509213,0.461282,0.463528,0.463528,1.50795679E8,1.50795679E8,-0.03796,-7.569,0.47801,"September 13, 22",-0.07569
2022-09-12,0.51,0.520029,0.49594,0.501366,0.501366,1.33833302E8,1.33833302E8,-0.00863,-1.692,0.50578,"September 12, 22",-0.01692
2022-09-11,0.512216,0.520135,0.5001,0.510007,0.510007,1.05108644E8,1.05108644E8,-0.00221,-0.431,0.51008,"September 11, 22",-0.00431
2022-09-10,0.502242,0.524265,0.494615,0.5122,0.5122,1.54282752E8,1.54282752E8,0.00996,1.983,0.51036,"September 10, 22",0.01983
2022-09-09,0.479136,0.504996,0.478336,0.502253,0.502253,1.32655752E8,1.32655752E8,0.02312,4.825,0.4952,"September 09, 22",0.04825
2022-09-08,0.478702,0.483227,0.462658,0.479034,0.479034,8.3818534E7,8.3818534E7,3.3E-4,0.069,0.47497,"September 08, 22",6.9E-4
2022-09-07,0.462521,0.482124,0.453645,0.478764,0.478764,1.04202995E8,1.04202995E8,0.01624,3.511,0.47151,"September 07, 22",0.03511
2022-09-06,0.498575,0.512163,0.459443,0.462565,0.462565,1.61836062E8,1.61836062E8,-0.03601,-7.223,0.47806,"September 06, 22",-0.07223
2022-09-05,0.503476,0.507577,0.482531,0.49851,0.49851,9.7041582E7,9.7041582E7,-0.00497,-0.987,0.49621,"September 05, 22",-0.00987
2022-09-04,0.480302,0.510027,0.475645,0.503544,0.503544,1.3095061E8,1.3095061E8,0.02324,4.839,0.49641,"September 04, 22",0.04839
2022-09-03,0.454396,0.485993,0.45348,0.480366,0.480366,1.31208796E8,1.31208796E8,0.02597,5.715,0.47328,"September 03, 22",0.05715
2022-09-02,0.457568,0.466559,0.448779,0.454339,0.454339,7.6176514E7,7.6176514E7,-0.00323,-0.706,0.45656,"September 02, 22",-0.00706
2022-09-01,0.446004,0.462364,0.440772,0.457527,0.457527,8.6107536E7,8.6107536E7,0.01152,2.583,0.45355,"September 01, 22",0.02583
2022-08-31,0.453156,0.46323,0.444212,0.446051,0.446051,8.3215747E7,8.3215747E7,-0.00711,-1.569,0.45116,"August 31, 22",-0.01569
2022-08-30,0.450313,0.462905,0.438507,0.453084,0.453084,1.07338252E8,1.07338252E8,0.00277,0.615,0.4515,"August 30, 22",0.00615
2022-08-29,0.429238,0.452966,0.423691,0.450377,0.450377,9.9900978E7,9.9900978E7,0.02114,4.925,0.44234,"August 29, 22",0.04925
2022-08-28,0.449803,0.454407,0.427315,0.429201,0.429201,8.6800731E7,8.6800731E7,-0.0206,-4.58,0.43697,"August 28, 22",-0.0458
2022-08-27,0.43151,0.451401,0.425879,0.449876,0.449876,1.30925485E8,1.30925485E8,0.01837,4.257,0.44239,"August 27, 22",0.04257
2022-08-26,0.464381,0.481994,0.425618,0.431602,0.431602,2.36349199E8,2.36349199E8,-0.03278,-7.059,0.4464,"August 26, 22",-0.07059
2022-08-25,0.457763,0.474066,0.457367,0.464365,0.464365,8.9843297E7,8.9843297E7,0.0066,1.442,0.46527,"August 25, 22",0.01442
2022-08-24,0.465893,0.469029,0.453559,0.45777,0.45777,7.579574E7,7.579574E7,-0.00812,-1.743,0.46012,"August 24, 22",-0.01743
2022-08-23,0.461435,0.469989,0.445703,0.46581,0.46581,8.6282956E7,8.6282956E7,0.00438,0.949,0.4605,"August 23, 22",0.00949
2022-08-22,0.462661,0.463122,0.437345,0.461506,0.461506,1.37841055E8,1.37841055E8,-0.00115,-0.249,0.45399,"August 22, 22",-0.00249
2022-08-21,0.450969,0.472667,0.446801,0.462537,0.462537,1.21262938E8,1.21262938E8,0.01157,2.566,0.46067,"August 21, 22",0.02566
2022-08-20,0.449938,0.463261,0.43484,0.450979,0.450979,1.50463302E8,1.50463302E8,0.00104,0.231,0.44969,"August 20, 22",0.00231
2022-08-19,0.511959,0.512079,0.446152,0.449937,0.449937,2.49683196E8,2.49683196E8,-0.06202,-12.114,0.46939,"August 19, 22",-0.12114
2022-08-18,0.538572,0.544218,0.507636,0.511969,0.511969,1.02361493E8,1.02361493E8,-0.0266,-4.939,0.52127,"August 18, 22",-0.04939
2022-08-17,0.556935,0.581184,0.52967,0.53853,0.53853,1.83747485E8,1.83747485E8,-0.0184,-3.304,0.54979,"August 17, 22",-0.03304
2022-08-16,0.55028,0.570048,0.548208,0.557119,0.557119,6.0530103E7,6.0530103E7,0.00684,1.243,0.55846,"August 16, 22",0.01243
2022-08-15,0.569712,0.581162,0.543588,0.549628,0.549628,3.8368621E7,3.8368621E7,-0.02008,-3.525,0.55813,"August 15, 22",-0.03525
2022-08-14,0.559491,0.59488,0.557286,0.569903,0.569903,6.2444316E7,6.2444316E7,0.01041,1.861,0.57402,"August 14, 22",0.01861
2022-08-13,0.540711,0.567571,0.538259,0.559881,0.559881,5.0771991E7,5.0771991E7,0.01917,3.545,0.55524,"August 13, 22",0.03545
2022-08-12,0.530457,0.542349,0.521271,0.540841,0.540841,2.5170182E7,2.5170182E7,0.01038,1.957,0.53482,"August 12, 22",0.01957
2022-08-11,0.537715,0.546516,0.528933,0.530564,0.530564,2.6242558E7,2.6242558E7,-0.00715,-1.33,0.53534,"August 11, 22",-0.0133
