date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.33421028,0.33935568,0.33112374,0.3373675,0.3373675,6.3744668E7,6.3744668E7,0.00316,0.946,0.33595,"October 09, 22",0.00946
2022-10-08,0.341536,0.342134,0.33073,0.334906,0.334906,1.1686539E7,1.1686539E7,-0.00663,-1.941,0.33592,"October 08, 22",-0.01941
2022-10-07,0.349023,0.350227,0.335751,0.341621,0.341621,1.7678638E7,1.7678638E7,-0.0074,-2.12,0.34253,"October 07, 22",-0.0212
2022-10-06,0.353884,0.359119,0.346864,0.349199,0.349199,1.7952031E7,1.7952031E7,-0.00468,-1.322,0.35173,"October 06, 22",-0.01322
2022-10-05,0.357772,0.360248,0.344248,0.353904,0.353904,1.6733668E7,1.6733668E7,-0.00387,-1.082,0.3528,"October 05, 22",-0.01082
2022-10-04,0.354323,0.360066,0.349701,0.357743,0.357743,1.7799972E7,1.7799972E7,0.00342,0.965,0.35584,"October 04, 22",0.00965
2022-10-03,0.354367,0.361296,0.343264,0.354396,0.354396,2.2775927E7,2.2775927E7,3.0E-5,0.008,0.35299,"October 03, 22",8.0E-5
2022-10-02,0.354962,0.372491,0.35157,0.354299,0.354299,2.4425411E7,2.4425411E7,-6.6E-4,-0.186,0.35945,"October 02, 22",-0.00186
2022-10-01,0.35346,0.368418,0.352195,0.354892,0.354892,2.1875108E7,2.1875108E7,0.00143,0.405,0.3585,"October 01, 22",0.00405
2022-09-30,0.354956,0.366466,0.346669,0.353495,0.353495,3.8037163E7,3.8037163E7,-0.00146,-0.411,0.35554,"September 30, 22",-0.00411
2022-09-29,0.349584,0.364085,0.332948,0.354957,0.354957,3.450044E7,3.450044E7,0.00537,1.536,0.35066,"September 29, 22",0.01536
2022-09-28,0.352189,0.356646,0.331784,0.349422,0.349422,3.5007258E7,3.5007258E7,-0.00277,-0.787,0.34595,"September 28, 22",-0.00787
2022-09-27,0.36861,0.375473,0.337277,0.352206,0.352206,3.8169536E7,3.8169536E7,-0.0164,-4.449,0.35499,"September 27, 22",-0.04449
2022-09-26,0.388186,0.392351,0.357085,0.368626,0.368626,3.8856704E7,3.8856704E7,-0.01956,-5.039,0.37269,"September 26, 22",-0.05039
2022-09-25,0.385395,0.401338,0.37783,0.388285,0.388285,4.864647E7,4.864647E7,0.00289,0.75,0.38915,"September 25, 22",0.0075
2022-09-24,0.399104,0.404492,0.36983,0.385331,0.385331,4.5982425E7,4.5982425E7,-0.01377,-3.45,0.38655,"September 24, 22",-0.0345
2022-09-23,0.369966,0.410059,0.363207,0.399173,0.399173,9.1656987E7,9.1656987E7,0.02921,7.895,0.39081,"September 23, 22",0.07895
2022-09-22,0.335111,0.400342,0.328446,0.369862,0.369862,8.5077987E7,8.5077987E7,0.03475,10.37,0.36622,"September 22, 22",0.1037
2022-09-21,0.329851,0.340597,0.308529,0.335193,0.335193,4.0747706E7,4.0747706E7,0.00534,1.619,0.32811,"September 21, 22",0.01619
2022-09-20,0.317217,0.347014,0.316949,0.329682,0.329682,5.5602122E7,5.5602122E7,0.01247,3.931,0.33121,"September 20, 22",0.03931
2022-09-19,0.293081,0.324718,0.29123,0.317175,0.317175,3.9865538E7,3.9865538E7,0.02409,8.22,0.31104,"September 19, 22",0.0822
2022-09-18,0.31096,0.318024,0.28933,0.293014,0.293014,1.474308E7,1.474308E7,-0.01795,-5.772,0.30012,"September 18, 22",-0.05772
2022-09-17,0.297875,0.311423,0.297658,0.310927,0.310927,7368425.0,7368425.0,0.01305,4.381,0.30667,"September 17, 22",0.04381
2022-09-16,0.294919,0.300667,0.290141,0.297899,0.297899,1.1431878E7,1.1431878E7,0.00298,1.01,0.29624,"September 16, 22",0.0101
2022-09-15,0.302951,0.303026,0.288929,0.294945,0.294945,1.4229009E7,1.4229009E7,-0.00801,-2.644,0.29563,"September 15, 22",-0.02644
2022-09-14,0.296514,0.304931,0.294918,0.303086,0.303086,1.0882182E7,1.0882182E7,0.00657,2.216,0.30098,"September 14, 22",0.02216
2022-09-13,0.323604,0.323925,0.294538,0.296519,0.296519,2.3858666E7,2.3858666E7,-0.02708,-8.368,0.30499,"September 13, 22",-0.08368
2022-09-12,0.326436,0.332996,0.316929,0.323696,0.323696,1.8336671E7,1.8336671E7,-0.00274,-0.839,0.32454,"September 12, 22",-0.00839
2022-09-11,0.322137,0.330903,0.316506,0.326588,0.326588,1.6920277E7,1.6920277E7,0.00445,1.381,0.32467,"September 11, 22",0.01381
2022-09-10,0.32456,0.327955,0.317117,0.322089,0.322089,1.7676011E7,1.7676011E7,-0.00247,-0.761,0.32239,"September 10, 22",-0.00761
2022-09-09,0.307857,0.326438,0.30736,0.324501,0.324501,2.4220452E7,2.4220452E7,0.01664,5.405,0.31943,"September 09, 22",0.05405
2022-09-08,0.299118,0.308417,0.29292,0.30776,0.30776,1.5508119E7,1.5508119E7,0.00864,2.888,0.30303,"September 08, 22",0.02888
2022-09-07,0.285287,0.301782,0.28122,0.299,0.299,1.8095619E7,1.8095619E7,0.01371,4.806,0.294,"September 07, 22",0.04806
