date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,13.136413,13.251453,13.051227,13.091558,13.091558,1.48714192E8,1.48714192E8,-0.04486,-0.341,13.13141,"October 09, 22",-0.00341
2022-10-08,13.057254,13.351964,12.94414,13.149438,13.149438,3.0846698E7,3.0846698E7,0.09218,0.706,13.14851,"October 08, 22",0.00706
2022-10-07,13.016445,13.091624,12.648936,13.057634,13.057634,4.1945806E7,4.1945806E7,0.04119,0.316,12.93273,"October 07, 22",0.00316
2022-10-06,13.009595,13.46148,12.87247,13.01786,13.01786,5.4909315E7,5.4909315E7,0.00827,0.064,13.11727,"October 06, 22",6.4E-4
2022-10-05,13.024349,13.139833,12.61632,13.008994,13.008994,3.7067339E7,3.7067339E7,-0.01536,-0.118,12.92172,"October 05, 22",-0.00118
2022-10-04,12.857965,13.286854,12.746809,13.02254,13.02254,4.6603164E7,4.6603164E7,0.16457,1.28,13.01873,"October 04, 22",0.0128
2022-10-03,11.991678,12.956764,11.825141,12.856771,12.856771,5.9530224E7,5.9530224E7,0.86509,7.214,12.54623,"October 03, 22",0.07214
2022-10-02,12.683885,12.896966,11.954201,11.99161,11.99161,3.4912676E7,3.4912676E7,-0.69228,-5.458,12.28093,"October 02, 22",-0.05458
2022-10-01,13.023849,13.099085,12.490015,12.682851,12.682851,2.5963749E7,2.5963749E7,-0.341,-2.618,12.75732,"October 01, 22",-0.02618
2022-09-30,12.77474,13.246485,12.610486,13.025216,13.025216,6.4373618E7,6.4373618E7,0.25048,1.961,12.96073,"September 30, 22",0.01961
2022-09-29,12.995051,13.073945,12.41617,12.772794,12.772794,6.5793792E7,6.5793792E7,-0.22226,-1.71,12.7543,"September 29, 22",-0.0171
2022-09-28,13.487967,13.582785,12.625195,12.994683,12.994683,9.5906649E7,9.5906649E7,-0.49328,-3.657,13.06755,"September 28, 22",-0.03657
2022-09-27,13.906409,14.736331,13.159324,13.489703,13.489703,1.05013918E8,1.05013918E8,-0.41671,-2.997,13.79512,"September 27, 22",-0.02997
2022-09-26,13.974322,14.896025,13.744382,13.90974,13.90974,1.18678297E8,1.18678297E8,-0.06458,-0.462,14.18338,"September 26, 22",-0.00462
2022-09-25,13.63559,14.834113,13.594617,13.977296,13.977296,7.8915863E7,7.8915863E7,0.34171,2.506,14.13534,"September 25, 22",0.02506
2022-09-24,14.221784,14.292032,13.557282,13.636627,13.636627,5.1191822E7,5.1191822E7,-0.58516,-4.115,13.82865,"September 24, 22",-0.04115
2022-09-23,14.629919,15.26778,13.441727,14.222702,14.222702,1.23798493E8,1.23798493E8,-0.40722,-2.783,14.31074,"September 23, 22",-0.02783
2022-09-22,13.387527,14.997907,13.26128,14.631552,14.631552,1.17661514E8,1.17661514E8,1.24403,9.292,14.29691,"September 22, 22",0.09292
2022-09-21,13.914701,15.100755,12.952489,13.391301,13.391301,1.50472756E8,1.50472756E8,-0.5234,-3.761,13.81485,"September 21, 22",-0.03761
2022-09-20,15.619681,15.890963,13.812921,13.915927,13.915927,1.12879782E8,1.12879782E8,-1.70375,-10.908,14.53994,"September 20, 22",-0.10908
2022-09-19,14.703049,16.081453,14.605794,15.622043,15.622043,1.5546383E8,1.5546383E8,0.91899,6.25,15.43643,"September 19, 22",0.0625
2022-09-18,16.408517,16.413753,14.571646,14.696834,14.696834,8.5973264E7,8.5973264E7,-1.71168,-10.432,15.22741,"September 18, 22",-0.10432
2022-09-17,16.599512,16.9633,16.040425,16.406237,16.406237,9.8592093E7,9.8592093E7,-0.19328,-1.164,16.46999,"September 17, 22",-0.01164
2022-09-16,14.899479,16.793488,14.600118,16.603504,16.603504,1.61932727E8,1.61932727E8,1.70402,11.437,15.99904,"September 16, 22",0.11437
2022-09-15,13.973223,15.562088,13.226523,14.901702,14.901702,1.47223346E8,1.47223346E8,0.92848,6.645,14.56344,"September 15, 22",0.06645
2022-09-14,13.896664,14.446643,13.382469,13.971345,13.971345,6.5062691E7,6.5062691E7,0.07468,0.537,13.93349,"September 14, 22",0.00537
2022-09-13,15.532176,16.211498,13.705453,13.898133,13.898133,1.19344908E8,1.19344908E8,-1.63404,-10.52,14.60503,"September 13, 22",-0.1052
2022-09-12,15.695619,16.52272,14.977027,15.532071,15.532071,9.9976146E7,9.9976146E7,-0.16355,-1.042,15.67727,"September 12, 22",-0.01042
2022-09-11,15.991881,16.315845,15.234388,15.69776,15.69776,6.5942831E7,6.5942831E7,-0.29412,-1.839,15.74933,"September 11, 22",-0.01839
2022-09-10,16.132896,16.413525,15.456033,15.993847,15.993847,1.06122058E8,1.06122058E8,-0.13905,-0.862,15.95447,"September 10, 22",-0.00862
2022-09-09,13.889269,17.176696,13.753918,16.128753,16.128753,2.23745402E8,2.23745402E8,2.23948,16.124,15.68646,"September 09, 22",0.16124
2022-09-08,12.929728,14.149082,12.627314,13.88406,13.88406,1.11316398E8,1.11316398E8,0.95433,7.381,13.55349,"September 08, 22",0.07381
2022-09-07,11.776545,13.249254,11.536656,12.93105,12.93105,6.8870226E7,6.8870226E7,1.15451,9.803,12.57232,"September 07, 22",0.09803
2022-09-06,12.632565,12.989801,11.747341,11.778465,11.778465,7.2589779E7,7.2589779E7,-0.8541,-6.761,12.17187,"September 06, 22",-0.06761
2022-09-05,13.045985,13.359,12.472006,12.633857,12.633857,4.0883551E7,4.0883551E7,-0.41213,-3.159,12.82162,"September 05, 22",-0.03159
2022-09-04,12.625111,13.049732,12.401842,13.045824,13.045824,3.3637096E7,3.3637096E7,0.42071,3.332,12.83247,"September 04, 22",0.03332
2022-09-03,12.609438,12.884555,12.12618,12.625072,12.625072,3.9130192E7,3.9130192E7,0.01563,0.124,12.54527,"September 03, 22",0.00124
2022-09-02,12.734923,13.080664,12.328828,12.611994,12.611994,6.4297527E7,6.4297527E7,-0.12293,-0.965,12.67383,"September 02, 22",-0.00965
2022-09-01,11.815873,12.852511,11.458586,12.732039,12.732039,7.5965525E7,7.5965525E7,0.91617,7.754,12.34771,"September 01, 22",0.07754
2022-08-31,11.930274,12.349513,11.548275,11.818317,11.818317,6.633949E7,6.633949E7,-0.11196,-0.938,11.90537,"August 31, 22",-0.00938
2022-08-30,11.433167,12.167634,11.116288,11.928001,11.928001,8.3883255E7,8.3883255E7,0.49483,4.328,11.73731,"August 30, 22",0.04328
2022-08-29,10.563388,11.729498,10.170159,11.434386,11.434386,6.6070171E7,6.6070171E7,0.871,8.245,11.11135,"August 29, 22",0.08245
2022-08-28,11.171314,11.375358,10.447761,10.563615,10.563615,4.2383327E7,4.2383327E7,-0.6077,-5.44,10.79558,"August 28, 22",-0.0544
2022-08-27,11.547455,11.547455,10.685465,11.1697,11.1697,7.7646752E7,7.7646752E7,-0.37776,-3.271,11.13421,"August 27, 22",-0.03271
2022-08-26,12.852171,13.126144,11.337775,11.549237,11.549237,1.13078874E8,1.13078874E8,-1.30293,-10.138,12.00439,"August 26, 22",-0.10138
2022-08-25,13.020522,13.40798,12.558325,12.855431,12.855431,1.03982404E8,1.03982404E8,-0.16509,-1.268,12.94058,"August 25, 22",-0.01268
2022-08-24,12.130379,13.448001,11.593282,13.018447,13.018447,1.56177783E8,1.56177783E8,0.88807,7.321,12.68658,"August 24, 22",0.07321
2022-08-23,11.08862,12.378233,10.965282,12.124474,12.124474,9.8992652E7,9.8992652E7,1.03585,9.342,11.82266,"August 23, 22",0.09342
2022-08-22,10.647027,11.144849,10.042558,11.090075,11.090075,4.1104523E7,4.1104523E7,0.44305,4.161,10.75916,"August 22, 22",0.04161
2022-08-21,10.23413,10.787856,10.213204,10.64242,10.64242,2.7715462E7,2.7715462E7,0.40829,3.989,10.54783,"August 21, 22",0.03989
2022-08-20,10.754097,10.974602,9.969335,10.233866,10.233866,3.9396893E7,3.9396893E7,-0.52023,-4.838,10.3926,"August 20, 22",-0.04838
2022-08-19,11.442457,11.449141,10.155755,10.755987,10.755987,7.2165069E7,7.2165069E7,-0.68647,-5.999,10.78696,"August 19, 22",-0.05999
2022-08-18,11.75174,12.289484,11.402706,11.442792,11.442792,5.7025061E7,5.7025061E7,-0.30895,-2.629,11.71166,"August 18, 22",-0.02629
2022-08-17,11.398939,11.929171,11.186181,11.74853,11.74853,4.1619652E7,4.1619652E7,0.34959,3.067,11.62129,"August 17, 22",0.03067
2022-08-16,11.403023,11.666379,11.182047,11.401485,11.401485,2.0987547E7,2.0987547E7,-0.00154,-0.014,11.41664,"August 16, 22",-1.4E-4
2022-08-15,11.589031,11.941788,11.194758,11.403963,11.403963,1.2491726E7,1.2491726E7,-0.18507,-1.597,11.5135,"August 15, 22",-0.01597
2022-08-14,11.911304,12.183497,11.490007,11.587776,11.587776,1.2167948E7,1.2167948E7,-0.32353,-2.716,11.75376,"August 14, 22",-0.02716
2022-08-13,12.053986,12.415853,11.843246,11.907499,11.907499,1.5191247E7,1.5191247E7,-0.14649,-1.215,12.05553,"August 13, 22",-0.01215
2022-08-12,11.767761,12.08694,11.442517,12.064021,12.064021,1.8301371E7,1.8301371E7,0.29626,2.518,11.86449,"August 12, 22",0.02518
2022-08-11,11.979303,12.320366,11.698314,11.754816,11.754816,2.3915427E7,2.3915427E7,-0.22449,-1.874,11.9245,"August 11, 22",-0.01874
2022-08-10,11.384187,12.02483,10.579633,11.979118,11.979118,3.9647381E7,3.9647381E7,0.59493,5.226,11.52786,"August 10, 22",0.05226
