Date,Open,High,Low,Close,Volume,Market Cap
Oct-30-2022,8.39017556379199e-7,8.452774226900521e-7,8.238703890339975e-7,8.257460657479549e-7,19318640.746341463,782254713.5218433
Oct-29-2022,8.201375867693304e-7,8.481995454781807e-7,8.17469773684327e-7,8.3900915871888e-7,18267811.809302326,781235230.449002
Oct-28-2022,8.044521681014104e-7,8.200104596917815e-7,7.925902232771778e-7,8.184936500178505e-7,14537891.954545455,757796634.4713912
Oct-27-2022,8.245735005437967e-7,8.278815416978127e-7,8.038643898406082e-7,8.04717557502065e-7,18463589.48826291,767221515.0343121
Oct-26-2022,8.027343975254091e-7,8.27647183001645e-7,8.020655742536466e-7,8.245735005437967e-7,23397524.842105262,766115041.8327115
Oct-25-2022,7.735294363955566e-7,8.169017709763074e-7,7.687153275575203e-7,8.027343975254091e-7,15216406.237113401,739788540.5757928
Oct-24-2022,7.822444532582016e-7,7.833378796845978e-7,7.685487306313735e-7,7.742174402058556e-7,15567870.42857143,729124254.3234559
Oct-23-2022,7.677103997735082e-7,7.80804880373977e-7,7.629191521370736e-7,7.769898038504477e-7,12060469.144385027,722478708.8109618
Oct-22-2022,7.638159121253676e-7,7.687183476986623e-7,7.637804657431081e-7,7.672667421779131e-7,14226837.192139737,720305574.2213416
Oct-21-2022,7.649581559601445e-7,7.668786123778674e-7,7.552890944561216e-7,7.635742729766578e-7,14121363.60165975,717041727.3476416
Oct-20-2022,7.64315550500297e-7,7.740523524590683e-7,7.623027189451028e-7,7.649581559601445e-7,13008151.861538462,719777722.7347436
Oct-19-2022,7.68191693363128e-7,7.778729004904856e-7,7.641262333193512e-7,7.641262333193512e-7,16237637.636363637,722669188.7993762
Oct-18-2022,7.833293774096984e-7,7.848873492146313e-7,7.665945696862697e-7,7.692588309909804e-7,14836014.576923076,729137162.6796298
Oct-17-2022,7.735705917207644e-7,7.844956811855827e-7,7.667493772937062e-7,7.844956811855827e-7,13858894.618811881,729873762.9522135
Oct-16-2022,7.682756351604072e-7,7.76594058315941e-7,7.638424884849854e-7,7.735705917207644e-7,15056452.314655172,724110899.8383845
Oct-15-2022,8.054713752313344e-7,8.075911871167222e-7,7.677171169980202e-7,7.684186437620622e-7,34131882.34074074,738050589.487852
Oct-14-2022,7.639259692139347e-7,8.436188775697218e-7,7.63893821200858e-7,8.048106838589744e-7,28657477.723076925,747542565.4181114
Oct-13-2022,7.711570234761853e-7,7.726871854011513e-7,7.392140738417772e-7,7.640977770834594e-7,16847659.48780488,714319817.0934081
Oct-12-2022,7.636424717613989e-7,7.755102627124647e-7,7.624864063359553e-7,7.708837196339106e-7,17179423.045454547,724125170.1903989
Oct-11-2022,7.675996746398132e-7,7.675996746398132e-7,7.553385138840312e-7,7.636424717613989e-7,17180463.265306123,717493599.4350878
Oct-10-2022,7.746909806611568e-7,7.802218104756419e-7,7.652375253344403e-7,7.675996746398132e-7,14142654.155,727039229.1318519
