date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.0616455551,0.0624031964,0.0611673064,0.0620213871,0.0620213871,1.7911221E7,1.7911221E7,3.8E-4,0.616,0.06186,"October 09, 22",0.00616
2022-10-08,0.062377,0.062683,0.061194,0.061656,0.061656,1.9095712E7,1.9095712E7,-7.2E-4,-1.154,0.06184,"October 08, 22",-0.01154
2022-10-07,0.063451,0.063833,0.061273,0.062365,0.062365,4.3536103E7,4.3536103E7,-0.00109,-1.718,0.06249,"October 07, 22",-0.01718
2022-10-06,0.064807,0.066874,0.06281,0.063454,0.063454,6.2562661E7,6.2562661E7,-0.00135,-2.083,0.06438,"October 06, 22",-0.02083
2022-10-05,0.065861,0.066888,0.06264,0.064795,0.064795,1.04923092E8,1.04923092E8,-0.00107,-1.625,0.06477,"October 05, 22",-0.01625
2022-10-04,0.060333,0.066475,0.059943,0.06586,0.06586,1.62660037E8,1.62660037E8,0.00553,9.166,0.06409,"October 04, 22",0.09166
2022-10-03,0.059265,0.060579,0.058794,0.060339,0.060339,2.7767737E7,2.7767737E7,0.00107,1.805,0.0599,"October 03, 22",0.01805
2022-10-02,0.060602,0.060965,0.058802,0.059268,0.059268,2.6832851E7,2.6832851E7,-0.00133,-2.195,0.05968,"October 02, 22",-0.02195
2022-10-01,0.061682,0.063155,0.060257,0.060597,0.060597,5.7021834E7,5.7021834E7,-0.00108,-1.751,0.06134,"October 01, 22",-0.01751
2022-09-30,0.060882,0.062271,0.059636,0.061673,0.061673,5.4303947E7,5.4303947E7,7.9E-4,1.298,0.06119,"September 30, 22",0.01298
2022-09-29,0.060506,0.06108,0.059275,0.060867,0.060867,3.05462E7,3.05462E7,3.6E-4,0.595,0.06041,"September 29, 22",0.00595
2022-09-28,0.060501,0.061128,0.058482,0.060506,0.060506,3.9096474E7,3.9096474E7,1.0E-5,0.017,0.06004,"September 28, 22",1.7E-4
2022-09-27,0.061126,0.063065,0.059736,0.060487,0.060487,5.1608064E7,5.1608064E7,-6.4E-4,-1.047,0.0611,"September 27, 22",-0.01047
2022-09-26,0.061174,0.061882,0.059735,0.061128,0.061128,4.7462512E7,4.7462512E7,-5.0E-5,-0.082,0.06091,"September 26, 22",-8.2E-4
2022-09-25,0.063101,0.063886,0.060049,0.061179,0.061179,5.9536257E7,5.9536257E7,-0.00192,-3.043,0.0617,"September 25, 22",-0.03043
2022-09-24,0.063369,0.068317,0.062407,0.063104,0.063104,1.93620979E8,1.93620979E8,-2.7E-4,-0.426,0.06461,"September 24, 22",-0.00426
2022-09-23,0.059592,0.064319,0.059122,0.063369,0.063369,1.23644335E8,1.23644335E8,0.00378,6.343,0.06227,"September 23, 22",0.06343
2022-09-22,0.057157,0.060087,0.056827,0.059587,0.059587,4.3984586E7,4.3984586E7,0.00243,4.251,0.05883,"September 22, 22",0.04251
2022-09-21,0.05841,0.06092,0.056064,0.057162,0.057162,6.4425141E7,6.4425141E7,-0.00125,-2.14,0.05805,"September 21, 22",-0.0214
