date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,6.3101976356,6.5000487991,6.2808112505,6.4430088402,6.4430088402,1.8366948E7,1.8366948E7,0.13281,2.105,6.40796,"October 09, 22",0.02105
2022-10-08,6.329028,6.399742,6.261759,6.311989,6.311989,1.1680199E7,1.1680199E7,-0.01704,-0.269,6.3245,"October 08, 22",-0.00269
2022-10-07,6.341283,6.399685,6.251185,6.330608,6.330608,2.4183267E7,2.4183267E7,-0.01067,-0.168,6.32716,"October 07, 22",-0.00168
2022-10-06,6.440904,6.521925,6.312125,6.341355,6.341355,3.376902E7,3.376902E7,-0.09955,-1.546,6.3918,"October 06, 22",-0.01546
2022-10-05,6.500607,6.510954,6.271708,6.440762,6.440762,3.4515054E7,3.4515054E7,-0.05984,-0.921,6.40781,"October 05, 22",-0.00921
2022-10-04,6.370424,6.541058,6.340972,6.500227,6.500227,3.2227749E7,3.2227749E7,0.1298,2.038,6.46075,"October 04, 22",0.02038
2022-10-03,6.159975,6.409497,6.089717,6.370586,6.370586,3.8379E7,3.8379E7,0.21061,3.419,6.28993,"October 03, 22",0.03419
2022-10-02,6.26222,6.329918,6.13002,6.151886,6.151886,2.9571269E7,2.9571269E7,-0.11033,-1.762,6.20394,"October 02, 22",-0.01762
2022-10-01,6.328014,6.339383,6.211383,6.270643,6.270643,2.743518E7,2.743518E7,-0.05737,-0.907,6.2738,"October 01, 22",-0.00907
2022-09-30,6.439236,6.578416,6.211031,6.320401,6.320401,6.196021E7,6.196021E7,-0.11884,-1.846,6.36995,"September 30, 22",-0.01846
2022-09-29,6.389986,6.489866,6.259999,6.431053,6.431053,4.3925436E7,4.3925436E7,0.04107,0.643,6.39364,"September 29, 22",0.00643
2022-09-28,6.370061,6.469619,6.171068,6.381772,6.381772,4.3186709E7,4.3186709E7,0.01171,0.184,6.34082,"September 28, 22",0.00184
2022-09-27,6.551401,6.801362,6.240267,6.369771,6.369771,5.9373954E7,5.9373954E7,-0.18163,-2.772,6.47047,"September 27, 22",-0.02772
2022-09-26,6.19996,6.585858,6.151965,6.559239,6.559239,7.1981413E7,7.1981413E7,0.35928,5.795,6.43235,"September 26, 22",0.05795
2022-09-25,6.270258,6.37768,6.082381,6.201762,6.201762,2.9872792E7,2.9872792E7,-0.0685,-1.092,6.22061,"September 25, 22",-0.01092
2022-09-24,6.44001,6.510175,6.232166,6.270659,6.270659,3.1572381E7,3.1572381E7,-0.16935,-2.63,6.33767,"September 24, 22",-0.0263
2022-09-23,6.448603,6.639592,6.190571,6.438748,6.438748,7.1553287E7,7.1553287E7,-0.00985,-0.153,6.42297,"September 23, 22",-0.00153
2022-09-22,6.1209,6.528568,6.080751,6.448407,6.448407,4.9558729E7,4.9558729E7,0.32751,5.351,6.35258,"September 22, 22",0.05351
