date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,26.94871,27.144377,26.80328,26.877365,26.877365,2.6760448E8,2.6760448E8,-0.07134,-0.265,26.94167,"October 09, 22",-0.00265
2022-10-08,27.500409,27.629442,26.663793,26.972697,26.972697,1.2469211E7,1.2469211E7,-0.52771,-1.919,27.08864,"October 08, 22",-0.01919
2022-10-07,27.841496,27.871532,27.110024,27.502417,27.502417,2.8101623E7,2.8101623E7,-0.33908,-1.218,27.49466,"October 07, 22",-0.01218
2022-10-06,27.638863,28.956026,27.629281,27.840276,27.840276,5.0575513E7,5.0575513E7,0.20141,0.729,28.14186,"October 06, 22",0.00729
2022-10-05,27.905571,28.01313,27.133534,27.635133,27.635133,1.9593699E7,1.9593699E7,-0.27044,-0.969,27.59393,"October 05, 22",-0.00969
2022-10-04,27.43148,28.096734,27.292604,27.905693,27.905693,2.9310974E7,2.9310974E7,0.47421,1.729,27.76501,"October 04, 22",0.01729
2022-10-03,26.94103,27.653391,26.539983,27.432483,27.432483,2.7438827E7,2.7438827E7,0.49145,1.824,27.20862,"October 03, 22",0.01824
2022-10-02,27.540338,27.759104,26.733517,26.940819,26.940819,2.2701408E7,2.2701408E7,-0.59952,-2.177,27.14448,"October 02, 22",-0.02177
2022-10-01,27.749109,27.892015,27.282613,27.543874,27.543874,1.3215587E7,1.3215587E7,-0.20524,-0.74,27.57283,"October 01, 22",-0.0074
2022-09-30,27.814484,28.30943,27.263756,27.740959,27.740959,3.8817412E7,3.8817412E7,-0.07353,-0.264,27.77138,"September 30, 22",-0.00264
2022-09-29,27.627245,28.260052,27.071067,27.802786,27.802786,3.9357141E7,3.9357141E7,0.17554,0.635,27.7113,"September 29, 22",0.00635
2022-09-28,28.109553,28.270584,26.640297,27.630454,27.630454,5.6405233E7,5.6405233E7,-0.4791,-1.704,27.51378,"September 28, 22",-0.01704
2022-09-27,28.475148,30.236062,27.593205,28.103653,28.103653,9.2424504E7,9.2424504E7,-0.37149,-1.305,28.64431,"September 27, 22",-0.01305
