date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,0.8145257245,0.8300410784,0.8079372645,0.8196649901,0.8196649901,2.1807152E7,2.1807152E7,0.00514,0.631,0.81921,"October 09, 22",0.00631
2022-10-08,0.831468,0.834926,0.808352,0.814498,0.814498,2.3474601E7,2.3474601E7,-0.01697,-2.041,0.81926,"October 08, 22",-0.02041
2022-10-07,0.833644,0.848309,0.818607,0.83157,0.83157,5.3372139E7,5.3372139E7,-0.00207,-0.248,0.83283,"October 07, 22",-0.00248
2022-10-06,0.85153,0.859839,0.830405,0.833703,0.833703,7.3917419E7,7.3917419E7,-0.01783,-2.094,0.84132,"October 06, 22",-0.02094
2022-10-05,0.835422,0.860937,0.821,0.851527,0.851527,8.562606E7,8.562606E7,0.0161,1.927,0.84449,"October 05, 22",0.01927
2022-10-04,0.800272,0.843754,0.799991,0.83543,0.83543,9.4512246E7,9.4512246E7,0.03516,4.394,0.82639,"October 04, 22",0.04394
2022-10-03,0.76323,0.807508,0.754528,0.800376,0.800376,7.4996885E7,7.4996885E7,0.03715,4.867,0.78747,"October 03, 22",0.04867
2022-10-02,0.766958,0.783752,0.761194,0.763146,0.763146,3.5703446E7,3.5703446E7,-0.00381,-0.497,0.76936,"October 02, 22",-0.00497
2022-10-01,0.778116,0.781366,0.759452,0.76702,0.76702,2.5685278E7,2.5685278E7,-0.0111,-1.427,0.76928,"October 01, 22",-0.01427
2022-09-30,0.763529,0.789775,0.760674,0.777819,0.777819,7.7976348E7,7.7976348E7,0.01429,1.872,0.77609,"September 30, 22",0.01872
2022-09-29,0.747304,0.764794,0.731178,0.763137,0.763137,6.0210551E7,6.0210551E7,0.01583,2.118,0.75304,"September 29, 22",0.02118
2022-09-28,0.739016,0.754677,0.712042,0.747316,0.747316,6.1829757E7,6.1829757E7,0.0083,1.123,0.73801,"September 28, 22",0.01123
2022-09-27,0.755701,0.793619,0.726153,0.738904,0.738904,1.04679406E8,1.04679406E8,-0.0168,-2.223,0.75289,"September 27, 22",-0.02223
2022-09-26,0.739588,0.761669,0.726257,0.755717,0.755717,7.5766324E7,7.5766324E7,0.01613,2.181,0.74788,"September 26, 22",0.02181
2022-09-25,0.752869,0.767141,0.731067,0.739763,0.739763,4.1346651E7,4.1346651E7,-0.01311,-1.741,0.74599,"September 25, 22",-0.01741
2022-09-24,0.778487,0.782331,0.750004,0.752755,0.752755,4.749015E7,4.749015E7,-0.02573,-3.305,0.7617,"September 24, 22",-0.03305
2022-09-23,0.752296,0.785366,0.722783,0.778428,0.778428,9.4489736E7,9.4489736E7,0.02613,3.473,0.76219,"September 23, 22",0.03473
