date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,3.494348881,3.5343352659,3.4840008412,3.503,3.503,6688399.0,6688399.0,0.00865,0.248,3.50711,"October 09, 22",0.00248
2022-10-08,3.551334,3.578357,3.462354,3.494347,3.494347,1.1263689E7,1.1263689E7,-0.05699,-1.605,3.51169,"October 08, 22",-0.01605
2022-10-07,3.622325,3.628341,3.514133,3.552326,3.552326,1.5868091E7,1.5868091E7,-0.07,-1.932,3.56493,"October 07, 22",-0.01932
2022-10-06,3.697058,3.765089,3.583383,3.623326,3.623326,2.1363274E7,2.1363274E7,-0.07373,-1.994,3.65727,"October 06, 22",-0.01994
2022-10-05,3.623981,3.729722,3.547087,3.697043,3.697043,3.0317225E7,3.0317225E7,0.07306,2.016,3.65795,"October 05, 22",0.02016
2022-10-04,3.542342,3.65595,3.52708,3.623633,3.623633,1.8890943E7,1.8890943E7,0.08129,2.295,3.60222,"October 04, 22",0.02295
2022-10-03,3.479921,3.565327,3.411404,3.541388,3.541388,1.9808973E7,1.9808973E7,0.06147,1.766,3.50604,"October 03, 22",0.01766
2022-10-02,3.55632,3.616926,3.466281,3.479987,3.479987,1.3307048E7,1.3307048E7,-0.07633,-2.146,3.52106,"October 02, 22",-0.02146
2022-10-01,3.558971,3.595344,3.527338,3.556326,3.556326,9548521.0,9548521.0,-0.00264,-0.074,3.55967,"October 01, 22",-7.4E-4
2022-09-30,3.587326,3.647912,3.512357,3.558988,3.558988,2.3699753E7,2.3699753E7,-0.02834,-0.79,3.57309,"September 30, 22",-0.0079
2022-09-29,3.579062,3.608619,3.503394,3.58727,3.58727,2.1341784E7,2.1341784E7,0.00821,0.229,3.56643,"September 29, 22",0.00229
2022-09-28,3.617996,3.643951,3.446063,3.577925,3.577925,2.7764016E7,2.7764016E7,-0.04007,-1.108,3.55598,"September 28, 22",-0.01108
2022-09-27,3.686628,3.820945,3.553073,3.617985,3.617985,3.8430145E7,3.8430145E7,-0.06864,-1.862,3.664,"September 27, 22",-0.01862
2022-09-26,3.64844,3.730274,3.557375,3.685658,3.685658,2.8663901E7,2.8663901E7,0.03722,1.02,3.65777,"September 26, 22",0.0102
2022-09-25,3.699241,3.769376,3.611347,3.649333,3.649333,1.8460515E7,1.8460515E7,-0.04991,-1.349,3.67669,"September 25, 22",-0.01349
2022-09-24,3.792532,3.871984,3.66734,3.699338,3.699338,2.334542E7,2.334542E7,-0.09319,-2.457,3.74622,"September 24, 22",-0.02457
2022-09-23,3.866043,3.950349,3.612549,3.792292,3.792292,4.4677731E7,4.4677731E7,-0.07375,-1.908,3.78506,"September 23, 22",-0.01908
2022-09-22,3.641046,3.899329,3.620986,3.865038,3.865038,3.6718389E7,3.6718389E7,0.22399,6.152,3.79512,"September 22, 22",0.06152
2022-09-21,3.820787,4.039196,3.546099,3.641033,3.641033,5.0730097E7,5.0730097E7,-0.17975,-4.705,3.74211,"September 21, 22",-0.04705
2022-09-20,4.054799,4.09165,3.800775,3.820766,3.820766,4.1514294E7,4.1514294E7,-0.23403,-5.772,3.9044,"September 20, 22",-0.05772
2022-09-19,3.917424,4.080436,3.806387,4.055844,4.055844,4.9815823E7,4.9815823E7,0.13842,3.533,3.98089,"September 19, 22",0.03533
2022-09-18,4.380155,4.411396,3.881445,3.916428,3.916428,3.8946129E7,3.8946129E7,-0.46373,-10.587,4.06976,"September 18, 22",-0.10587
2022-09-17,4.206963,4.390837,4.203422,4.379049,4.379049,2.8493517E7,2.8493517E7,0.17209,4.091,4.32444,"September 17, 22",0.04091
2022-09-16,4.185344,4.249944,4.09342,4.206013,4.206013,3.2355182E7,3.2355182E7,0.02067,0.494,4.18313,"September 16, 22",0.00494
2022-09-15,4.507674,4.521672,4.130426,4.184421,4.184421,4.5201312E7,4.5201312E7,-0.32325,-7.171,4.27884,"September 15, 22",-0.07171
2022-09-14,4.418486,4.548227,4.341797,4.508656,4.508656,4.6901217E7,4.6901217E7,0.09017,2.041,4.46623,"September 14, 22",0.02041
2022-09-13,5.095418,5.097659,4.403028,4.418562,4.418562,8.6619887E7,8.6619887E7,-0.67686,-13.284,4.63975,"September 13, 22",-0.13284
2022-09-12,4.897082,5.279713,4.710913,5.093577,5.093577,1.12975247E8,1.12975247E8,0.1965,4.013,5.02807,"September 12, 22",0.04013
2022-09-11,4.816408,5.047041,4.629471,4.896936,4.896936,5.9187183E7,5.9187183E7,0.08053,1.672,4.85782,"September 11, 22",0.01672
2022-09-10,4.813727,4.912449,4.652526,4.81495,4.81495,5.2649468E7,5.2649468E7,0.00122,0.025,4.79331,"September 10, 22",2.5E-4
2022-09-09,4.68837,4.90035,4.616505,4.811707,4.811707,5.4998931E7,5.4998931E7,0.12334,2.631,4.77619,"September 09, 22",0.02631
2022-09-08,4.378722,4.713754,4.378701,4.690395,4.690395,8.0720212E7,8.0720212E7,0.31167,7.118,4.59428,"September 08, 22",0.07118
2022-09-07,4.072449,4.429417,4.030121,4.378297,4.378297,5.4685778E7,5.4685778E7,0.30585,7.51,4.27928,"September 07, 22",0.0751
2022-09-06,4.233436,4.539604,3.95866,4.07143,4.07143,8.2426211E7,8.2426211E7,-0.16201,-3.827,4.1899,"September 06, 22",-0.03827
2022-09-05,4.240485,4.283247,4.115085,4.233283,4.233283,2.2375731E7,2.2375731E7,-0.0072,-0.17,4.21054,"September 05, 22",-0.0017
