date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-09,32.583804339,33.1315609656,32.4495686645,32.7180184024,32.7180184024,3.0436476E7,3.0436476E7,0.13421,0.412,32.76638,"October 09, 22",0.00412
2022-10-08,32.973184,33.070006,32.353957,32.578067,32.578067,3.4709761E7,3.4709761E7,-0.39512,-1.198,32.66734,"October 08, 22",-0.01198
2022-10-07,33.359058,33.773544,32.432578,32.980728,32.980728,8.2515933E7,8.2515933E7,-0.37833,-1.134,33.06228,"October 07, 22",-0.01134
2022-10-06,34.044027,34.498696,33.246879,33.367647,33.367647,9.5803212E7,9.5803212E7,-0.67638,-1.987,33.70441,"October 06, 22",-0.01987
2022-10-05,34.109418,34.379598,33.163862,34.049061,34.049061,9.1358286E7,9.1358286E7,-0.06036,-0.177,33.86417,"October 05, 22",-0.00177
2022-10-04,32.899902,34.411536,32.839755,34.105357,34.105357,1.00894644E8,1.00894644E8,1.20545,3.664,33.78555,"October 04, 22",0.03664
2022-10-03,32.060644,33.267909,31.740049,32.899801,32.899801,8.7150225E7,8.7150225E7,0.83916,2.617,32.63592,"October 03, 22",0.02617
2022-10-02,32.444612,33.01878,31.889563,32.055056,32.055056,6.6280051E7,6.6280051E7,-0.38956,-1.201,32.32113,"October 02, 22",-0.01201
2022-10-01,33.253301,33.253304,32.354359,32.445005,32.445005,6.0113288E7,6.0113288E7,-0.8083,-2.431,32.68422,"October 01, 22",-0.02431
2022-09-30,33.936687,35.21278,32.625647,33.259113,33.259113,1.66865959E8,1.66865959E8,-0.67757,-1.997,33.69918,"September 30, 22",-0.01997
2022-09-29,33.239832,34.42759,32.64359,33.924645,33.924645,1.27692954E8,1.27692954E8,0.68481,2.06,33.66528,"September 29, 22",0.0206
2022-09-28,32.683685,33.804198,31.636577,33.234813,33.234813,1.26004768E8,1.26004768E8,0.55113,1.686,32.89186,"September 28, 22",0.01686
2022-09-27,33.886126,35.422899,32.077676,32.679162,32.679162,1.6004742E8,1.6004742E8,-1.20696,-3.562,33.39325,"September 27, 22",-0.03562
2022-09-26,32.325318,33.988886,31.865514,33.889416,33.889416,1.19011795E8,1.19011795E8,1.5641,4.839,33.24794,"September 26, 22",0.04839
2022-09-25,33.391121,34.044162,31.870189,32.329868,32.329868,6.9735524E7,6.9735524E7,-1.06125,-3.178,32.74807,"September 25, 22",-0.03178
2022-09-24,33.670678,34.773144,33.141736,33.385288,33.385288,1.10481501E8,1.10481501E8,-0.28539,-0.848,33.76672,"September 24, 22",-0.00848
2022-09-23,32.415589,33.959173,31.213281,33.661073,33.661073,1.23442426E8,1.23442426E8,1.24548,3.842,32.94451,"September 23, 22",0.03842
2022-09-22,30.658119,32.864686,30.585964,32.419597,32.419597,9.1608778E7,9.1608778E7,1.76148,5.746,31.95675,"September 22, 22",0.05746
2022-09-21,31.423825,33.462923,30.020505,30.662496,30.662496,1.20228347E8,1.20228347E8,-0.76133,-2.423,31.38197,"September 21, 22",-0.02423
2022-09-20,32.634828,32.887959,31.306122,31.414309,31.414309,8.5634528E7,8.5634528E7,-1.22052,-3.74,31.86946,"September 20, 22",-0.0374
2022-09-19,31.101683,33.083549,30.507705,32.63514,32.63514,1.16386365E8,1.16386365E8,1.53346,4.93,32.07546,"September 19, 22",0.0493
2022-09-18,33.697802,33.988604,30.845767,31.09573,31.09573,7.3132255E7,7.3132255E7,-2.60207,-7.722,31.9767,"September 18, 22",-0.07722
2022-09-17,32.24295,33.895465,32.218739,33.690363,33.690363,4.9349888E7,4.9349888E7,1.44741,4.489,33.26819,"September 17, 22",0.04489
2022-09-16,33.085063,33.253844,31.501377,32.236922,32.236922,8.4984648E7,8.4984648E7,-0.84814,-2.564,32.33071,"September 16, 22",-0.02564
2022-09-15,34.114569,34.86625,32.414566,33.06979,33.06979,1.09165476E8,1.09165476E8,-1.04478,-3.063,33.4502,"September 15, 22",-0.03063
2022-09-14,33.001648,34.35272,32.689542,34.117666,34.117666,1.12211204E8,1.12211204E8,1.11602,3.382,33.71998,"September 14, 22",0.03382
2022-09-13,37.433575,38.977383,32.917192,32.99874,32.99874,1.82478451E8,1.82478451E8,-4.43483,-11.847,34.96444,"September 13, 22",-0.11847
2022-09-12,34.999318,38.399047,34.419016,37.453668,37.453668,1.83581227E8,1.83581227E8,2.45435,7.013,36.75724,"September 12, 22",0.07013
2022-09-11,35.061964,36.017681,34.069643,35.005472,35.005472,7.9086547E7,7.9086547E7,-0.05649,-0.161,35.03093,"September 11, 22",-0.00161
2022-09-10,34.688144,35.417335,34.279639,35.05777,35.05777,7.2944783E7,7.2944783E7,0.36963,1.066,34.91825,"September 10, 22",0.01066
2022-09-09,33.61972,35.975852,33.594881,34.684892,34.684892,1.28041716E8,1.28041716E8,1.06517,3.168,34.75188,"September 09, 22",0.03168
2022-09-08,32.695323,34.032847,32.005797,33.613466,33.613466,1.0174449E8,1.0174449E8,0.91814,2.808,33.21737,"September 08, 22",0.02808
2022-09-07,30.879119,32.949141,30.320211,32.693917,32.693917,8.5766756E7,8.5766756E7,1.8148,5.877,31.98776,"September 07, 22",0.05877
2022-09-06,32.176357,33.883417,30.449479,30.877216,30.877216,1.28372991E8,1.28372991E8,-1.29914,-4.038,31.7367,"September 06, 22",-0.04038
2022-09-05,32.159469,32.504394,31.146116,32.174218,32.174218,5.4569947E7,5.4569947E7,0.01475,0.046,31.94158,"September 05, 22",4.6E-4
2022-09-04,31.119512,32.195655,31.025471,32.163174,32.163174,3.6667459E7,3.6667459E7,1.04366,3.354,31.79477,"September 04, 22",0.03354
2022-09-03,31.242843,31.284877,30.805651,31.116195,31.116195,3.3119213E7,3.3119213E7,-0.12665,-0.405,31.06891,"September 03, 22",-0.00405
